Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
DBL RAIL Vodka,3455,43.0,4.6046511627907,198.0,2020-03-20
SHOT Tullamore Dew,3327,42.0,2.8571428571429,120.0,2020-03-20
SHOT Seagrams VO,3325,39.0,0.61538461538462,24.0,2020-03-20
Skyy Orange BOMB,3372,31.0,2.5806451612903,80.0,2020-03-20
BTL Miller High Life,3122,28.0,1.1607142857143,32.5,2020-03-20
PINT Miller High Life,3137,23.0,3.0,69.0,2020-03-20
PINT LKFT IPA,3136,20.0,3.45,69.0,2020-03-20
SHOT Cazadores Reposado,3479,17.0,3.2941176470588,56.0,2020-03-20
PINT Moon Man,3349,13.0,3.8076923076923,49.5,2020-03-20
PINT Schlitz,3139,12.0,2.5,30.0,2020-03-20
PINT Spotted Cow,3140,12.0,4.0,48.0,2020-03-20
SHOT Jameson,3317,11.0,1.4545454545455,16.0,2020-03-20
DBL Titos,3654,11.0,8.0,88.0,2020-03-20
DBL Skyy Ginger,3672,10.0,2.1,21.0,2020-03-20
PINT LKFT Hazy Rabbit,3348,10.0,3.45,34.5,2020-03-20
DBL RAIL Gin,3453,9.0,5.5,49.5,2020-03-20
DBL RAIL Whiskey,3459,8.0,4.75,38.0,2020-03-20
SHOT Hennessey,3450,8.0,5.0,40.0,2020-03-20
SHOT Fernet,3507,8.0,2.0,16.0,2020-03-20
Skyy Watermelon BOMB,3374,7.0,1.7142857142857,12.0,2020-03-20
PINT Beer of the Week,3356,7.0,3.0,21.0,2020-03-20
SHOT Dr McGullicuddys,3226,7.0,2.5714285714286,18.0,2020-03-20
PINT Stein,3141,7.0,3.8571428571429,27.0,2020-03-20
SHOT Lemon Drop,3276,6.0,4.0,24.0,2020-03-20
PIT Schlitz,3144,6.0,11.0,66.0,2020-03-20
HH PINT Angry Orchard,3352,6.0,4.5,27.0,2020-03-20
Skyy Cherry BOMB,3370,6.0,2.6666666666667,16.0,2020-03-20
PINT Guinness,3350,6.0,5.0,30.0,2020-03-20
SHOT Jack Daniels,3527,6.0,4.0,24.0,2020-03-20
SHOT Skyy Orange,3677,6.0,1.5,9.0,2020-03-20
