Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
RAIL Vodka,3339,136.0,4.9963235294118,679.5,2019-03-22
SHOT Tullamore Dew,3327,111.0,4.0990990990991,455.0,2019-03-22
PINT Guinness,3350,103.0,4.621359223301,476.0,2019-03-22
PINT Stein,3141,99.0,3.4545454545455,342.0,2019-03-22
BTL Miller High Life,3122,92.0,3.25,299.0,2019-03-22
PINT Green Beer,3406,83.0,2.2771084337349,189.0,2019-03-22
PINT Miller High Life,3137,76.0,3.0,228.0,2019-03-22
Skyy Raspberry BOMB,3369,71.0,4.0,284.0,2019-03-22
PINT LKFT IPA,3136,66.0,3.5681818181818,235.5,2019-03-22
PINT Spotted Cow,3140,61.0,3.5901639344262,219.0,2019-03-22
RAIL Whiskey,3340,46.0,4.5978260869565,211.5,2019-03-22
PINT Moon Man,3349,46.0,3.5869565217391,165.0,2019-03-22
Skyy Peach BOMB,3367,36.0,3.2222222222222,116.0,2019-03-22
Cazadores Blanco,3280,36.0,4.2222222222222,152.0,2019-03-22
PINT Beer of the Week,3356,34.0,3.0,102.0,2019-03-22
SHOT Seagrams VO,3325,33.0,3.2727272727273,108.0,2019-03-22
Hennessey,3190,29.0,5.5172413793103,160.0,2019-03-22
PINT K4 Fantasy Factory,3351,28.0,3.9107142857143,109.5,2019-03-22
PINT Schlitz,3139,26.0,3.0,78.0,2019-03-22
SHOT Jameson,3317,25.0,4.84,121.0,2019-03-22
PINT Miller Lite,3138,24.0,4.7083333333333,113.0,2019-03-22
SHOT Car Bomb,3269,24.0,6.0,144.0,2019-03-22
Skyy Orange BOMB,3372,22.0,4.0,88.0,2019-03-22
SHOT Ballyhoo,3405,21.0,3.0,63.0,2019-03-22
Jack Daniels,3315,21.0,6.4761904761905,136.0,2019-03-22
CAN PBR 16oz,3129,21.0,4.0,84.0,2019-03-22
SHOT Dr McGullicuddys,3226,19.0,3.0,57.0,2019-03-22
HH PINT Abita Wrought Iron,3354,19.0,3.6315789473684,69.0,2019-03-22
Bloody Mary,3199,18.0,7.1111111111111,128.0,2019-03-22
PIT Miller Lite,3143,17.0,10.0,170.0,2019-03-22
PIT Schlitz,3144,15.0,10.0,150.0,2019-03-22
PINT LKFT Hazy Rabbit,3348,15.0,3.5,52.5,2019-03-22
SHOT Goldschlager,3230,14.0,4.0,56.0,2019-03-22
Moscow Mule,3207,13.0,7.0,91.0,2019-03-22
CAN Press Blk/Hyb,3130,13.0,5.0,65.0,2019-03-22
PIT Spotted Cow,3145,12.0,14.0,168.0,2019-03-22
CAN Coors Light,3116,12.0,4.0,48.0,2019-03-22
SHOT of the WEEK,3254,12.0,3.0,36.0,2019-03-22
Skyy Cherry BOMB,3370,12.0,4.0,48.0,2019-03-22
PIT Green Beer,3407,12.0,8.75,105.0,2019-03-22
RAIL Rum,3343,11.0,4.9545454545455,54.5,2019-03-22
RAIL Tequila,3344,11.0,5.3636363636364,59.0,2019-03-22
Titos,3307,11.0,7.0,77.0,2019-03-22
Skyy Cherry,3297,11.0,4.3636363636364,48.0,2019-03-22
Skyy Apricot BOMB,3368,10.0,3.2,32.0,2019-03-22
RAIL Gin,3341,9.0,5.8888888888889,53.0,2019-03-22
HH PINT Angry Orchard,3352,9.0,3.5,31.5,2019-03-22
Bacardi,3255,9.0,5.6666666666667,51.0,2019-03-22
Skyy,3296,7.0,6.8571428571429,48.0,2019-03-22
BTL Pabst,3126,7.0,3.25,22.75,2019-03-22
PINT O&apos;&apos;so Hop Debacle,3355,7.0,3.4285714285714,24.0,2019-03-22
BTL Miller Lite,3391,7.0,3.25,22.75,2019-03-22
PIT Beer of the Week,3362,6.0,10.0,60.0,2019-03-22
BTL Bud Light,3388,6.0,4.0,24.0,2019-03-22
RAIL Brandy,3342,6.0,4.5,27.0,2019-03-22
Makers Mark,3322,6.0,8.0,48.0,2019-03-22
CAN Press Lime,3132,6.0,5.0,30.0,2019-03-22
BTL Budweiser,3115,6.0,4.0,24.0,2019-03-22
Patron XO,3285,6.0,4.0,24.0,2019-03-22
Irish Coffee,3202,6.0,7.0,42.0,2019-03-22
Trinidad Tea,3213,5.0,8.0,40.0,2019-03-22
Cazadores Reposado,3281,5.0,4.0,20.0,2019-03-22
Cuervo Gold,3282,5.0,4.0,20.0,2019-03-22
BTL Spaten Lager,3127,5.0,4.5,22.5,2019-03-22
Cab/Merlot,3329,5.0,5.0,25.0,2019-03-22
Pinot Grigio,3333,5.0,5.0,25.0,2019-03-22
Crown Royal,3312,5.0,6.2,31.0,2019-03-22
Jim Beam,3318,5.0,5.6,28.0,2019-03-22
Skyy Ginger BOMB,3371,5.0,4.0,20.0,2019-03-22
Skyy Raspberry,3302,4.0,6.0,24.0,2019-03-22
Seagrams 7,3324,4.0,6.0,24.0,2019-03-22
BTL LH Milk Stout,3119,4.0,4.5,18.0,2019-03-22
BTL LKFT Fixed Gear,3120,4.0,4.5,18.0,2019-03-22
BTL Bud Light,3114,4.0,4.0,16.0,2019-03-22
