Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
SHOT Tullamore Dew,3327,53.0,2.3396226415094,124.0,2020-12-18
PINT Moon Man,3349,46.0,2.6086956521739,120.0,2020-12-18
PINT Spotted Cow,3140,40.0,3.675,147.0,2020-12-18
SHOT Seagrams VO,3325,35.0,1.9714285714286,69.0,2020-12-18
PINT Schlitz,3139,34.0,2.9117647058824,99.0,2020-12-18
PINT Stein,3141,27.0,3.5,94.5,2020-12-18
CAN PBR 16oz,3129,27.0,4.0,108.0,2020-12-18
PINT LKFT IPA,3136,24.0,3.1875,76.5,2020-12-18
Skyy Peach BOMB,3367,21.0,2.8571428571429,60.0,2020-12-18
Skyy Cherry BOMB,3370,20.0,2.2,44.0,2020-12-18
DBL RAIL Vodka,3455,19.0,4.6842105263158,89.0,2020-12-18
Skyy Raspberry BOMB,3369,18.0,3.1111111111111,56.0,2020-12-18
BTL Miller High Life,3122,17.0,2.6764705882353,45.5,2020-12-18
DBL Jack Daniels,3526,15.0,8.0,120.0,2020-12-18
SHOT Jameson,3317,12.0,2.3333333333333,28.0,2020-12-18
PINT LKFT Hazy Rabbit,3348,11.0,3.4090909090909,37.5,2020-12-18
SHOT Jack Daniels,3527,11.0,2.1818181818182,24.0,2020-12-18
DBL Skyy Raspb,3668,11.0,6.3636363636364,70.0,2020-12-18
SHOT Cazadores Reposado,3479,10.0,2.0,20.0,2020-12-18
SHOT Fernet,3507,9.0,1.3333333333333,12.0,2020-12-18
SHOT Bulleit Rye,3590,9.0,3.5555555555556,32.0,2020-12-18
DBL Seagrams 7,3594,9.0,7.0,63.0,2020-12-18
SHOT Canad. Club,3618,9.0,3.0,27.0,2020-12-18
SHOT Skyy Raspb,3669,8.0,1.875,15.0,2020-12-18
BTL Miller Lite,3391,8.0,2.4375,19.5,2020-12-18
CAN Press Blk/Hyb,3130,8.0,5.0,40.0,2020-12-18
CAN Press Pom/Gin,3131,8.0,5.0,40.0,2020-12-18
BTL Budweiser,3115,7.0,4.5,31.5,2020-12-18
PINT Abita TurboDog,3353,7.0,3.2142857142857,22.5,2020-12-18
DBL Titos,3654,7.0,8.5714285714286,60.0,2020-12-18
 SHOT Crown Royal,3529,6.0,4.0,24.0,2020-12-18
BTL MGD,3121,6.0,3.25,19.5,2020-12-18
PINT Miller High Life,3137,6.0,2.0,12.0,2020-12-18
PIT Schlitz,3144,6.0,11.0,66.0,2020-12-18
Moscow Mule,3207,6.0,7.0,42.0,2020-12-18
DBL RAIL Tequila,3461,5.0,4.3,21.5,2020-12-18
DBL Crown Royal,3528,5.0,8.0,40.0,2020-12-18
DBL Kraken,3500,4.0,8.0,32.0,2020-12-18
DBL Jim Beam,3530,4.0,7.0,28.0,2020-12-18
SHOT Jim Beam,3531,4.0,4.0,16.0,2020-12-18
SHOT Absolut Citron,3657,4.0,4.0,16.0,2020-12-18
SHOT Skyy Peach,3665,4.0,0.75,3.0,2020-12-18
DBL Bulleit Bourbon,3587,4.0,8.0,32.0,2020-12-18
DBL RAIL Whiskey,3459,4.0,5.125,20.5,2020-12-18
SHOT Rumpleminz,3242,4.0,4.0,16.0,2020-12-18
BTL ODouls,3125,4.0,3.25,13.0,2020-12-18
BTL Corona,3117,3.0,3.0,9.0,2020-12-18
PIT Miller High Life,3142,3.0,11.0,33.0,2020-12-18
DBL RAIL Gin,3453,3.0,4.5,13.5,2020-12-18
Skyy Orange BOMB,3372,3.0,0.0,0.0,2020-12-18
PINT Guinness,3350,3.0,3.6666666666667,11.0,2020-12-18
DBL Absolut Citron,3656,3.0,8.0,24.0,2020-12-18
