Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
DBL RAIL Vodka,3455,64.0,4.609375,295.0,2021-03-26
SHOT Tullamore Dew,3327,40.0,3.7,148.0,2021-03-26
PINT Moon Man,3349,37.0,3.0405405405405,112.5,2021-03-26
PINT Stein,3141,34.0,3.4558823529412,117.5,2021-03-26
SHOT Seagrams VO,3325,32.0,2.4375,78.0,2021-03-26
PINT Spotted Cow,3140,31.0,3.6290322580645,112.5,2021-03-26
SHOT Skyy Peach,3665,31.0,2.6129032258065,81.0,2021-03-26
BTL Miller Lite,3391,27.0,2.7685185185185,74.75,2021-03-26
PINT Schlitz,3139,26.0,2.7692307692308,72.0,2021-03-26
SHOT Cazadores Blanco,3481,24.0,3.1666666666667,76.0,2021-03-26
DBL Skyy Cherry,3670,23.0,6.0869565217391,140.0,2021-03-26
BTL Miller High Life,3122,22.0,2.8068181818182,61.75,2021-03-26
Skyy Cherry BOMB,3370,21.0,1.7142857142857,36.0,2021-03-26
DBL RAIL Gin,3453,18.0,4.6388888888889,83.5,2021-03-26
PINT LKFT IPA,3136,18.0,3.5833333333333,64.5,2021-03-26
PINT Miller High Life,3137,18.0,2.8333333333333,51.0,2021-03-26
PINT Beer of the Week,3356,15.0,2.8,42.0,2021-03-26
Skyy Peach BOMB,3367,14.0,2.2857142857143,32.0,2021-03-26
DBL RAIL Tequila,3461,13.0,5.0384615384615,65.5,2021-03-26
CAN PBR 16oz,3129,13.0,3.7307692307692,48.5,2021-03-26
SHOT Jameson,3317,13.0,3.0769230769231,40.0,2021-03-26
PINT LKFT Hazy Rabbit,3348,12.0,3.625,43.5,2021-03-26
SHOT Bulleit Rye,3590,12.0,3.3333333333333,40.0,2021-03-26
DBL Bulleit Bourbon,3587,11.0,8.2727272727273,91.0,2021-03-26
SHOT Seagrams 7,3595,10.0,3.0,30.0,2021-03-26
DBL RAIL Whiskey,3459,10.0,4.25,42.5,2021-03-26
SHOT Cazadores Reposado,3479,10.0,4.0,40.0,2021-03-26
SHOT Fernet,3507,10.0,2.8,28.0,2021-03-26
DBL Jack Daniels,3526,10.0,8.0,80.0,2021-03-26
CAN Coors Light,3116,10.0,2.8,28.0,2021-03-26
SHOT Jagermeister,3234,9.0,4.0,36.0,2021-03-26
SHOT Captain Morgan,3497,9.0,3.5555555555556,32.0,2021-03-26
BTL Modelo Especial,3124,8.0,4.5,36.0,2021-03-26
DBL Captain Morgan,3496,8.0,8.0,64.0,2021-03-26
DBL RAIL Rum,3457,8.0,4.625,37.0,2021-03-26
Skyy Ginger BOMB,3371,8.0,2.5,20.0,2021-03-26
DBL RAIL Brandy,3448,8.0,5.625,45.0,2021-03-26
HH PINT Angry Orchard,3352,7.0,3.8571428571429,27.0,2021-03-26
HH PINT LKFT Oktoberfest,3697,7.0,3.4285714285714,24.0,2021-03-26
CAN Press Blk/Hyb,3130,5.0,5.0,25.0,2021-03-26
SHOT of the WEEK,3254,5.0,3.0,15.0,2021-03-26
SHOT Rumpleminz,3242,4.0,2.0,8.0,2021-03-26
PIT Miller Lite,3143,4.0,11.0,44.0,2021-03-26
SHOT Lemon Drop,3276,4.0,4.0,16.0,2021-03-26
BTL Blue Moon,3113,4.0,4.5,18.0,2021-03-26
BTL MGD,3121,4.0,3.25,13.0,2021-03-26
RAIL Gin,3341,4.0,3.5,14.0,2021-03-26
SHOT RAIL Tequila,3462,4.0,2.25,9.0,2021-03-26
BTL Hop Refresher,3703,4.0,4.5,18.0,2021-03-26
