Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
DBL RAIL Vodka,3455,145.0,5.1448275862069,746.0,2019-11-22
Skyy Raspberry BOMB,3369,130.0,1.9384615384615,252.0,2019-11-22
SHOT Tullamore Dew,3327,110.0,3.0181818181818,332.0,2019-11-22
Skyy Orange BOMB,3372,101.0,2.2970297029703,232.0,2019-11-22
SHOT Seagrams VO,3325,98.0,1.530612244898,150.0,2019-11-22
PINT Spotted Cow,3140,88.0,4.2102272727273,370.5,2019-11-22
BTL Miller High Life,3122,77.0,1.7305194805195,133.25,2019-11-22
PINT LKFT IPA,3136,45.0,3.7666666666667,169.5,2019-11-22
PINT Miller High Life,3137,43.0,2.8604651162791,123.0,2019-11-22
DBL RAIL Whiskey,3459,42.0,4.6904761904762,197.0,2019-11-22
BTL Miller Lite,3391,40.0,2.68125,107.25,2019-11-22
PINT Moon Man,3349,36.0,3.6666666666667,132.0,2019-11-22
PINT LKFT Hazy Rabbit,3348,35.0,3.7714285714286,132.0,2019-11-22
PINT Stein,3141,35.0,3.6,126.0,2019-11-22
PINT Miller Lite,3138,31.0,3.0,93.0,2019-11-22
Skyy Ginger BOMB,3371,29.0,2.3448275862069,68.0,2019-11-22
SHOT Cazadores Blanco,3481,29.0,2.0689655172414,60.0,2019-11-22
DBL Titos,3654,29.0,8.3103448275862,241.0,2019-11-22
PINT Schlitz,3139,24.0,3.0,72.0,2019-11-22
CAN PBR 16oz,3129,20.0,3.8,76.0,2019-11-22
Bloody Mary,3199,16.0,7.0625,113.0,2019-11-22
BTL of the Week,3696,16.0,3.0,48.0,2019-11-22
DBL Skyy Ginger,3672,15.0,6.0666666666667,91.0,2019-11-22
SHOT Skyy Raspb,3669,15.0,3.0,45.0,2019-11-22
SHOT Fireball,3584,15.0,4.0,60.0,2019-11-22
DBL RAIL Tequila,3461,15.0,5.6333333333333,84.5,2019-11-22
PIT Schlitz,3144,15.0,11.0,165.0,2019-11-22
BTL Corona,3117,15.0,4.5,67.5,2019-11-22
CAN Press Blk/Hyb,3130,14.0,5.0,70.0,2019-11-22
HH PINT Abita Wrought Iron,3354,14.0,3.75,52.5,2019-11-22
SHOT Cazadores Reposado,3479,14.0,3.7142857142857,52.0,2019-11-22
SHOT Fernet,3507,14.0,2.8571428571429,40.0,2019-11-22
SHOT Hennessey,3450,13.0,3.8461538461538,50.0,2019-11-22
PIT Miller High Life,3142,13.0,11.0,143.0,2019-11-22
DBL of the WEEK,3251,12.0,5.0,60.0,2019-11-22
DBL RAIL Gin,3453,12.0,5.3333333333333,64.0,2019-11-22
DBL Captain Morgan,3496,11.0,7.2727272727273,80.0,2019-11-22
HH PINT Angry Orchard,3352,11.0,4.5,49.5,2019-11-22
Skyy Cherry BOMB,3370,10.0,2.0,20.0,2019-11-22
Skyy Peach BOMB,3367,10.0,0.8,8.0,2019-11-22
RAIL Vodka,3339,10.0,3.5,35.0,2019-11-22
SHOT Jameson,3317,9.0,3.5555555555556,32.0,2019-11-22
SHOT Dr McGullicuddys,3226,9.0,2.3333333333333,21.0,2019-11-22
DBL Bacardi,3492,9.0,6.0,54.0,2019-11-22
DBL Tanqueray,3488,9.0,8.0,72.0,2019-11-22
DBL Hennessey,3449,9.0,3.6666666666667,33.0,2019-11-22
SHOT RAIL Tequila,3462,9.0,3.0,27.0,2019-11-22
PINT Staghorn,3690,9.0,3.6666666666667,33.0,2019-11-22
