Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
SHOT Seagrams VO,3325,52.0,1.2692307692308,66.0,2020-11-27
Skyy Cherry BOMB,3370,48.0,3.6666666666667,176.0,2020-11-27
PINT Spotted Cow,3140,39.0,4.0,156.0,2020-11-27
DBL RAIL Vodka,3455,30.0,4.9166666666667,147.5,2020-11-27
BTL Miller High Life,3122,26.0,3.125,81.25,2020-11-27
SHOT Cazadores Blanco,3481,22.0,3.0909090909091,68.0,2020-11-27
SHOT Tullamore Dew,3327,21.0,2.8571428571429,60.0,2020-11-27
PINT Stein,3141,19.0,3.7894736842105,72.0,2020-11-27
Skyy Raspberry BOMB,3369,18.0,2.0,36.0,2020-11-27
PINT Schlitz,3139,16.0,2.25,36.0,2020-11-27
PINT Moon Man,3349,14.0,1.6071428571429,22.5,2020-11-27
Skyy Peach BOMB,3367,12.0,4.0,48.0,2020-11-27
BTL Miller Lite,3391,12.0,2.7083333333333,32.5,2020-11-27
Cocktail of the Week,3250,12.0,4.0,48.0,2020-11-27
CAN PBR 16oz,3129,12.0,3.6666666666667,44.0,2020-11-27
CAN Coors Light,3116,12.0,4.0,48.0,2020-11-27
CAN Press Pom/Gin,3131,11.0,4.5454545454545,50.0,2020-11-27
PINT LKFT Hazy Rabbit,3348,11.0,4.3636363636364,48.0,2020-11-27
SHOT Jameson,3317,9.0,0.88888888888889,8.0,2020-11-27
BTL MGD,3121,9.0,3.25,29.25,2020-11-27
CAN Press Blk/Hyb,3130,8.0,5.0,40.0,2020-11-27
PINT LKFT IPA,3136,8.0,4.3125,34.5,2020-11-27
DBL Titos,3654,8.0,8.25,66.0,2020-11-27
PINT Miller High Life,3137,7.0,3.0,21.0,2020-11-27
DBL RAIL Whiskey,3459,7.0,5.5714285714286,39.0,2020-11-27
SHOT Cazadores Reposado,3479,7.0,2.2857142857143,16.0,2020-11-27
DBL RAIL Tequila,3461,7.0,4.2142857142857,29.5,2020-11-27
SHOT RAIL Tequila,3462,6.0,0.5,3.0,2020-11-27
DBL Captain Morgan,3496,6.0,8.0,48.0,2020-11-27
DBL RAIL Gin,3453,6.0,4.25,25.5,2020-11-27
