Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
DBL RAIL Vodka,3455,118.0,5.2372881355932,618.0,2021-07-16
Skyy Cherry BOMB,3370,108.0,3.0,324.0,2021-07-16
SHOT Seagrams VO,3325,93.0,2.0322580645161,189.0,2021-07-16
SHOT Tullamore Dew,3327,69.0,3.2463768115942,224.0,2021-07-16
SHOT Fernet,3507,62.0,3.2903225806452,204.0,2021-07-16
PINT Spotted Cow,3140,61.0,4.1803278688525,255.0,2021-07-16
BTL Miller High Life,3122,57.0,2.9078947368421,165.75,2021-07-16
PINT Miller High Life,3137,54.0,2.9444444444444,159.0,2021-07-16
PINT Stein,3141,50.0,3.96,198.0,2021-07-16
PINT LKFT IPA,3136,49.0,3.8571428571429,189.0,2021-07-16
SHOT Cazadores Blanco,3481,47.0,3.7446808510638,176.0,2021-07-16
DBL Captain Morgan,3496,44.0,7.8181818181818,344.0,2021-07-16
CAN Press Blk/Hyb,3130,42.0,4.7619047619048,200.0,2021-07-16
Skyy Peach BOMB,3367,41.0,3.5121951219512,144.0,2021-07-16
PINT Schlitz,3139,34.0,3.0,102.0,2021-07-16
CAN Coors Light,3116,32.0,3.75,120.0,2021-07-16
PIT Miller High Life,3142,29.0,11.0,319.0,2021-07-16
SHOT Skyy,3663,29.0,3.0,87.0,2021-07-16
PINT Moon Man,3349,28.0,3.375,94.5,2021-07-16
DBL RAIL Gin,3453,26.0,4.6538461538462,121.0,2021-07-16
CAN PBR 16oz,3129,25.0,4.0,100.0,2021-07-16
BTL Miller Lite,3391,22.0,2.3636363636364,52.0,2021-07-16
PINT LKFT Hazy Rabbit,3348,19.0,3.3157894736842,63.0,2021-07-16
RAIL Vodka,3339,19.0,3.7105263157895,70.5,2021-07-16
CAN Press Pom/Gin,3131,19.0,5.0,95.0,2021-07-16
BTL Corona,3117,19.0,4.5,85.5,2021-07-16
DBL RAIL Whiskey,3459,18.0,5.4166666666667,97.5,2021-07-16
PIT Miller Lite,3143,17.0,11.0,187.0,2021-07-16
PIT Schlitz,3144,17.0,10.352941176471,176.0,2021-07-16
SHOT Jameson,3317,15.0,2.4,36.0,2021-07-16
DBL RAIL Rum,3457,15.0,5.0,75.0,2021-07-16
HH PINT Angry Orchard,3352,14.0,4.0714285714286,57.0,2021-07-16
Skyy Raspberry BOMB,3369,14.0,3.1428571428571,44.0,2021-07-16
VBALL HI-LIFE,3411,14.0,0.0,0.0,2021-07-16
SHOT Jagermeister,3234,13.0,3.3846153846154,44.0,2021-07-16
DBL Titos,3654,13.0,8.0769230769231,105.0,2021-07-16
DBL Skyy Raspb,3668,11.0,6.5454545454545,72.0,2021-07-16
DBL Hennessey,3449,11.0,11.545454545455,127.0,2021-07-16
DBL Jack Daniels,3526,11.0,8.0,88.0,2021-07-16
PIT LKFT Hazy Rabbit,3359,11.0,15.0,165.0,2021-07-16
PIT Spotted Cow,3145,10.0,15.0,150.0,2021-07-16
BTL Modelo Especial,3124,10.0,4.55,45.5,2021-07-16
PINT Miller Lite,3138,9.0,3.0,27.0,2021-07-16
CAN Press GF/CAR,3133,9.0,5.0,45.0,2021-07-16
SHOT Rumpleminz,3242,9.0,4.0,36.0,2021-07-16
Skyy Orange BOMB,3372,9.0,3.5555555555556,32.0,2021-07-16
HH PINT LKFT Oktoberfest,3697,8.0,4.3125,34.5,2021-07-16
DBL Bulleit Bourbon,3587,8.0,8.0,64.0,2021-07-16
SHOT Casamigos,3686,8.0,5.0,40.0,2021-07-16
DBL Skyy Cherry,3670,7.0,7.5714285714286,53.0,2021-07-16
SHOT Campari,3549,7.0,2.1428571428571,15.0,2021-07-16
SHOT Hennessey,3450,7.0,2.8571428571429,20.0,2021-07-16
VBALL LITE,3410,7.0,0.0,0.0,2021-07-16
SHOT Goldschlager,3230,7.0,4.0,28.0,2021-07-16
BTL Bud Light,3114,7.0,4.5,31.5,2021-07-16
CAN Schlitz 16oz,3134,6.0,3.3333333333333,20.0,2021-07-16
SHOT Jager Bomb,3274,6.0,5.0,30.0,2021-07-16
VBALL SCHLITZ,3412,6.0,0.0,0.0,2021-07-16
Cazadores Blanco,3280,5.0,5.0,25.0,2021-07-16
CAN Press Lime,3132,5.0,5.0,25.0,2021-07-16
BTL Blue Moon,3113,5.0,4.5,22.5,2021-07-16
DBL RAIL Brandy,3448,5.0,5.9,29.5,2021-07-16
DBL RAIL Tequila,3461,5.0,5.5,27.5,2021-07-16
DBL Makers Mark,3534,5.0,8.4,42.0,2021-07-16
SHOT Bacardi,3493,5.0,3.0,15.0,2021-07-16
SHOT Skyy Cherry,3671,5.0,3.0,15.0,2021-07-16
House Red,3699,5.0,4.0,20.0,2021-07-16
SHOT Titos,3655,4.0,4.0,16.0,2021-07-16
DBL Seagrams 7,3594,4.0,7.0,28.0,2021-07-16
SHOT South. Comfort,3597,4.0,4.0,16.0,2021-07-16
D.E. GF BOMB,3716,4.0,4.0,16.0,2021-07-16
DBL Jose Cuervo,3474,4.0,6.0,24.0,2021-07-16
BTL Spaten Lager,3127,4.0,5.0,20.0,2021-07-16
RAIL Whiskey,3340,4.0,3.5,14.0,2021-07-16
PINT Guinness,3350,4.0,2.25,9.0,2021-07-16
Pinot Grigio,3333,3.0,5.0,15.0,2021-07-16
Crown Royal,3312,3.0,5.3333333333333,16.0,2021-07-16
PIT LKFT IPA,3358,3.0,15.0,45.0,2021-07-16
Cuervo Gold,3282,3.0,5.0,15.0,2021-07-16
DBL Bacardi,3492,3.0,6.0,18.0,2021-07-16
SHOT RAIL GIN,3454,3.0,3.0,9.0,2021-07-16
DBL Jameson,3538,3.0,8.0,24.0,2021-07-16
SHOT Yukon Jack,3545,3.0,4.0,12.0,2021-07-16
SHOT Fireball,3584,3.0,4.0,12.0,2021-07-16
DBL Bulleit Rye,3589,3.0,8.0,24.0,2021-07-16
BTL Hop Refresher,3703,3.0,4.5,13.5,2021-07-16
DBL D.E. Grapefruit,3713,3.0,0.0,0.0,2021-07-16
DBL Skyy Peach,3664,2.0,8.0,16.0,2021-07-16
3rd Space Frog Weiss,3717,2.0,5.0,10.0,2021-07-16
DBL Casamigos,3688,2.0,10.25,20.5,2021-07-16
DBL Jim Beam,3530,2.0,7.0,14.0,2021-07-16
DBL Cazadores Blanco,3480,2.0,4.0,8.0,2021-07-16
SHOT RAIL Tequila,3462,2.0,3.0,6.0,2021-07-16
BTL Budweiser,3115,2.0,4.5,9.0,2021-07-16
BTL LH Milk Stout,3119,2.0,6.0,12.0,2021-07-16
PIT Angry Orchard,3361,2.0,15.0,30.0,2021-07-16
VBALL SPOT COW,3415,2.0,4.0,8.0,2021-07-16
White Russian,3215,2.0,5.0,10.0,2021-07-16
Long Island,3204,2.0,0.0,0.0,2021-07-16
Moscow Mule,3207,1.0,7.0,7.0,2021-07-16
Tom Collins,3212,1.0,5.0,5.0,2021-07-16
SHOT Dr McGullicuddys,3226,1.0,3.0,3.0,2021-07-16
Jack Daniels,3315,1.0,5.0,5.0,2021-07-16
RAIL Gin,3341,1.0,3.5,3.5,2021-07-16
VBALL STEIN,3416,1.0,4.0,4.0,2021-07-16
Hendricks Gin,3427,1.0,5.5,5.5,2021-07-16
PIT Moon Man,3357,1.0,15.0,15.0,2021-07-16
BTL MGD,3121,1.0,3.25,3.25,2021-07-16
Absolut,3286,1.0,8.0,8.0,2021-07-16
Skyy Raspberry,3302,1.0,4.0,4.0,2021-07-16
Titos,3307,1.0,5.0,5.0,2021-07-16
PIT Stein,3146,1.0,15.0,15.0,2021-07-16
Bloody Mary,3199,1.0,7.0,7.0,2021-07-16
Brew Crew Margarita,3200,1.0,7.0,7.0,2021-07-16
DBL Cazadores Reposado,3478,1.0,7.0,7.0,2021-07-16
SHOT Cazadores Reposado,3479,1.0,4.0,4.0,2021-07-16
DBL Tanqueray,3488,1.0,8.0,8.0,2021-07-16
SHOT RAIL Vodka,3456,1.0,3.0,3.0,2021-07-16
DBL Coconut Jack,3498,1.0,6.0,6.0,2021-07-16
DBL Meyers Dark,3504,1.0,6.0,6.0,2021-07-16
SHOT Jack Daniels,3527,1.0,4.0,4.0,2021-07-16
 SHOT Crown Royal,3529,1.0,4.0,4.0,2021-07-16
DBL Amaretto,3560,1.0,7.0,7.0,2021-07-16
SHOT Baileys Irish,3541,1.0,4.0,4.0,2021-07-16
SHOT Kahlua,3543,1.0,4.0,4.0,2021-07-16
SHOT Makers Mark,3535,1.0,0.0,0.0,2021-07-16
Casamigos,3687,1.0,6.0,6.0,2021-07-16
SHOT Bulleit Rye,3590,1.0,4.0,4.0,2021-07-16
DBL Wild Turkey 101,3615,1.0,0.0,0.0,2021-07-16
SHOT Canad. Club,3618,1.0,3.0,3.0,2021-07-16
