dt,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,clouds_all,weather_main_Clear,weather_main_Clouds,weather_main_Drizzle,weather_main_Fog,weather_main_Haze,weather_main_Mist,weather_main_Rain,weather_main_Smoke,weather_main_Snow,weather_main_Thunderstorm
2019-02-09,23.48383720930233,15.10540697674419,-0.71,47.23,1017.3720930232558,78.55232558139535,11.29761627906977,56.91860465116279,0.3023255813953488,0.26744186046511625,0.0,0.0,0.03488372093023256,0.029069767441860465,0.06395348837209303,0.0,0.3023255813953488,0.0
2019-02-16,23.841573033707867,15.963651685393257,-5.1,39.63,1021.0786516853933,76.64606741573034,9.853595505617976,45.40449438202247,0.39325842696629215,0.20786516853932585,0.0056179775280898875,0.0056179775280898875,0.028089887640449437,0.06179775280898876,0.07303370786516854,0.0,0.2247191011235955,0.0
2019-02-23,22.52359375,18.98416666666667,0.37,42.76,1018.6979166666666,75.33333333333333,3.719427083333333,72.33854166666667,0.171875,0.3385416666666667,0.041666666666666664,0.010416666666666666,0.036458333333333336,0.06770833333333333,0.109375,0.0,0.22395833333333334,0.0
2019-03-02,15.520059523809518,11.202142857142858,-8.72,38.62,1022.8095238095239,66.92261904761905,3.5680952380952378,37.785714285714285,0.5178571428571429,0.30952380952380953,0.0,0.0,0.05952380952380952,0.005952380952380952,0.017857142857142856,0.0,0.08928571428571429,0.0
2019-03-09,35.959689119171,32.900725388601046,14.74,62.64,1010.4248704663213,80.21761658031087,4.331450777202074,56.94818652849741,0.2538860103626943,0.19689119170984457,0.07253886010362694,0.010362694300518135,0.06217616580310881,0.12953367875647667,0.24870466321243523,0.0,0.025906735751295335,0.0
2019-03-16,36.36097142857143,34.28817142857144,21.74,52.23,1021.0857142857143,69.51428571428572,3.2936571428571435,37.78285714285714,0.49142857142857144,0.32571428571428573,0.011428571428571429,0.0,0.04,0.05714285714285714,0.07428571428571429,0.0,0.0,0.0
2019-03-23,39.34154761904763,37.1767261904762,18.03,61.41,1022.9345238095239,64.04166666666667,3.737857142857143,23.214285714285715,0.7083333333333334,0.2619047619047619,0.0,0.0,0.0,0.0,0.02976190476190476,0.0,0.0,0.0
2019-03-30,39.04173410404624,36.56676300578035,19.24,61.57,1020.2312138728323,62.30057803468208,3.927803468208092,53.179190751445084,0.3179190751445087,0.4682080924855491,0.023121387283236993,0.0,0.005780346820809248,0.028901734104046242,0.15028901734104047,0.0,0.005780346820809248,0.0
2019-04-06,45.80578378378378,42.86735135135135,30.74,74.57,1012.0324324324324,76.5081081081081,5.156972972972973,56.56216216216216,0.21621621621621623,0.24324324324324326,0.005405405405405406,0.0,0.05945945945945946,0.16216216216216217,0.24864864864864866,0.0,0.05945945945945946,0.005405405405405406
2019-04-13,43.103461538461545,40.273021978021966,23.49,68.58,1011.2252747252747,72.41758241758242,5.032637362637362,66.60989010989012,0.15934065934065933,0.3956043956043956,0.016483516483516484,0.0,0.03296703296703297,0.10989010989010989,0.2032967032967033,0.0,0.08241758241758242,0.0
2019-04-20,53.95709302325583,52.13988372093025,31.73,81.41,1012.0174418604652,56.093023255813954,4.199418604651163,20.78488372093023,0.7151162790697675,0.13953488372093023,0.01744186046511628,0.0,0.0,0.0,0.12209302325581395,0.0,0.0,0.005813953488372093
2019-04-27,41.15152073732718,39.68087557603687,25.23,60.06,1018.4700460829494,79.35023041474655,3.0500000000000016,74.09677419354838,0.12442396313364056,0.12903225806451613,0.04608294930875576,0.009216589861751152,0.004608294930875576,0.35023041474654376,0.30414746543778803,0.0,0.03225806451612903,0.0
2019-05-04,49.65208092485549,48.034913294797704,32.77,76.91,1015.5028901734104,67.79190751445087,3.8369364161849715,56.86705202312139,0.30057803468208094,0.3872832369942196,0.03468208092485549,0.005780346820809248,0.0,0.017341040462427744,0.2543352601156069,0.0,0.0,0.0
2019-05-11,53.206999999999994,51.809411764705885,35.04,77.9,1013.6411764705882,61.09411764705882,3.593588235294118,48.129411764705885,0.38235294117647056,0.5352941176470588,0.0,0.0,0.0,0.011764705882352941,0.06470588235294118,0.0,0.0,0.0058823529411764705
2019-05-18,53.59606741573034,52.225224719101135,39.04,82.36,1012.876404494382,73.86516853932584,5.634606741573033,59.60674157303371,0.2752808988764045,0.3146067415730337,0.011235955056179775,0.0,0.0056179775280898875,0.10674157303370786,0.2752808988764045,0.0,0.0,0.011235955056179775
2019-05-25,60.76784530386741,60.12883977900553,46.04,86.23,1010.4309392265193,76.54696132596685,5.594585635359117,49.84530386740332,0.3370165745856354,0.24861878453038674,0.022099447513812154,0.027624309392265192,0.0,0.13812154696132597,0.2265193370165746,0.0,0.0,0.0
2019-06-01,60.22311764705879,59.19917647058822,38.17,82.89,1012.6941176470589,69.21176470588236,5.375235294117648,24.294117647058822,0.5882352941176471,0.21764705882352942,0.0,0.0,0.029411764705882353,0.01764705882352941,0.13529411764705881,0.0,0.0,0.011764705882352941
2019-06-08,61.59950549450546,60.57796703296705,46.62,80.89,1015.0824175824176,66.22527472527473,7.465604395604392,49.18131868131868,0.34065934065934067,0.2967032967032967,0.04395604395604396,0.0,0.016483516483516484,0.04395604395604396,0.25824175824175827,0.0,0.0,0.0
2019-06-15,59.42757894736846,58.704368421052656,47.17,80.42,1011.1736842105263,77.32105263157895,8.084894736842104,62.089473684210525,0.23684210526315788,0.4052631578947368,0.08947368421052632,0.005263157894736842,0.0,0.06842105263157895,0.19473684210526315,0.0,0.0,0.0
