file_name,date
0102_01082021.csv,2021-01-08
0104_01102020.csv,2020-01-10
0109_01152021.csv,2021-01-15
0111_01172020.csv,2020-01-17
0116_01222021.csv,2021-01-22
0118_01242020.csv,2020-01-24
0123_01292021.csv,2021-01-29
0125_01312020.csv,2020-01-31
0130_02052021.csv,2021-02-05
0201_02072020.csv,2020-02-07
0206_02122021.csv,2021-02-12
0208_02142020.csv,2020-02-14
0209_02152019.csv,2019-02-15
0213_02192021.csv,2021-02-19
0215_02212020.csv,2020-02-21
0216_02222019.csv,2019-02-22
0220_02262021.csv,2021-02-26
0222_02282020.csv,2020-02-28
0223_03012019.csv,2019-03-01
0227_03052021.csv,2021-03-05
0229_03062020.csv,2020-03-06
0302_03082019.csv,2019-03-08
0306_03122021.csv,2021-03-12
0307_03132020.csv,2020-03-13
0309_03152019.csv,2019-03-15
0313_03192021.csv,2021-03-19
0314_03202020.csv,2020-03-20
0316_03222019.csv,2019-03-22
0320_03262021.csv,2021-03-26
0321_03272020.csv,2020-03-27
0323_03292019.csv,2019-03-29
0327_04022021.csv,2021-04-02
0328_04032020.csv,2020-04-03
0330_04052019.csv,2019-04-05
0403_04092021.csv,2021-04-09
0406_04122019.csv,2019-04-12
0410_04162021.csv,2021-04-16
0413_04192019.csv,2019-04-19
0417_04232021.csv,2021-04-23
0420_04262019.csv,2019-04-26
0424_04302021.csv,2021-04-30
0427_05032019.csv,2019-05-03
0501_05072021.csv,2021-05-07
0504_05102019.csv,2019-05-10
0508_05142021.csv,2021-05-14
0511_05172019.csv,2019-05-17
0515_05212021.csv,2021-05-21
0518_05242019.csv,2019-05-24
0522_05282021.csv,2021-05-28
0523_05292020.csv,2020-05-29
0525_05312019.csv,2019-05-31
0529_06042021.csv,2021-06-04
0530_06052020.csv,2020-06-05
0601_06072019.csv,2019-06-07
0605_06112021.csv,2021-06-11
0606_06122020.csv,2020-06-12
0608_06142019.csv,2019-06-14
0612_06182021.csv,2021-06-18
0613_06192020.csv,2020-06-19
0615_06212019.csv,2019-06-21
0619_06252021.csv,2021-06-25
0620_06262020.csv,2020-06-26
0622_06282019.csv,2019-06-28
0626_07022021.csv,2021-07-02
0627_07032020.csv,2020-07-03
0629_07052019.csv,2019-07-05
0703_07092021.csv,2021-07-09
0704_07102020.csv,2020-07-10
0706_07122019.csv,2019-07-12
0710_07162021.csv,2021-07-16
0711_07142020.csv,2020-07-14
0713_07192019.csv,2019-07-19
0717_07232021.csv,2021-07-23
0718_07242020.csv,2020-07-24
0720_07262019.csv,2019-07-26
0724_07302021.csv,2021-07-30
0725_07312020.csv,2020-07-31
0727_08022019.csv,2019-08-02
0731_08062021.csv,2021-08-06
0801_08072020.csv,2020-08-07
0803_08092019.csv,2019-08-09
0807_08132021.csv,2021-08-13
0808_08142020.csv,2020-08-14
0810_08162019.csv,2019-08-16
0814_08202021.csv,2021-08-20
0815_08212020.csv,2020-08-21
0817_08232019.csv,2019-08-23
0821_08272021.csv,2021-08-27
0822_08282020.csv,2020-08-28
0824_08302019.csv,2019-08-30
0828_09032021.csv,2021-09-03
0829_09042020.csv,2020-09-04
0831_09062019.csv,2019-09-06
0904_09102021.csv,2021-09-10
0905_09112020.csv,2020-09-11
0907_09132019.csv,2019-09-13
0911_09172021.csv,2021-09-17
0912_09182020.csv,2020-09-18
0914_09202019.csv,2019-09-20
0918_09242021.csv,2021-09-24
0919_09252020.csv,2020-09-25
0921_09272019.csv,2019-09-27
0926_10022020.csv,2020-10-02
0928_10042019.csv,2019-10-04
1003_10092020.csv,2020-10-09
1005_10112019.csv,2019-10-11
1010_10162020.csv,2020-10-16
1012_10182019.csv,2019-10-18
1017_10232020.csv,2020-10-23
1019_10252019.csv,2019-10-25
1024_10302020.csv,2020-10-30
1026_11012019.csv,2019-11-01
1031_11062020.csv,2020-11-06
1102_11082019.csv,2019-11-08
1107_11132020.csv,2020-11-13
1109_11152019.csv,2019-11-15
1114_11202020.csv,2020-11-20
1116_11222019.csv,2019-11-22
1121_11272020.csv,2020-11-27
1123_11292019.csv,2019-11-29
1128_12042020.csv,2020-12-04
1130_12062019.csv,2019-12-06
1205_12112020.csv,2020-12-11
1207_12132019.csv,2019-12-13
1212_12182020.csv,2020-12-18
1214_12202019.csv,2019-12-20
1219_12252020.csv,2020-12-25
1221_12272019.csv,2019-12-27
1226_01012021.csv,2021-01-01
1228_01032020.csv,2020-01-03
