Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
PIT Spotted Cow,3145,2.0,15.0,30.0,2021-01-08
SIDE Mayo,2849,2.0,0.25,0.5,2021-01-08
Chix Caesar Salad,2871,2.0,9.0,18.0,2021-01-08
Cup SOUP,2872,2.0,2.5,5.0,2021-01-08
BTL Eastside Dark,3118,2.0,5.0,10.0,2021-01-08
BTL LKFT Fixed Gear,3120,2.0,5.0,10.0,2021-01-08
Tater Tots,2836,2.0,2.0,4.0,2021-01-08
House Salad SM,2837,2.0,3.75,7.5,2021-01-08
BTL Hop Refresher,3703,2.0,4.5,9.0,2021-01-08
SHOT Skyy Cherry,3671,2.0,1.5,3.0,2021-01-08
House White,3698,2.0,4.0,8.0,2021-01-08
Patty Melt,3705,2.0,9.5,19.0,2021-01-08
RAIL Gin,3341,2.0,3.5,7.0,2021-01-08
SHOT RAIL GIN,3454,2.0,3.0,6.0,2021-01-08
SHOT Jose Cuervo,3475,2.0,1.5,3.0,2021-01-08
SHOT Patron XO,3477,1.0,4.0,4.0,2021-01-08
SHOT RAIL Tequila,3462,1.0,3.0,3.0,2021-01-08
Coke - Refill,3464,1.0,0.0,0.0,2021-01-08
SHOT RAIL Whiskey,3460,1.0,3.0,3.0,2021-01-08
SHOT Meyers Dark,3505,1.0,3.0,3.0,2021-01-08
RAIL Rum,3343,1.0,3.5,3.5,2021-01-08
PINT Abita TurboDog,3353,1.0,4.5,4.5,2021-01-08
PIT LKFT Hazy Rabbit,3359,1.0,15.0,15.0,2021-01-08
SHOT Skyy Raspb,3669,1.0,3.0,3.0,2021-01-08
DBL Skyy Cherry,3670,1.0,7.0,7.0,2021-01-08
SHOT Makers Mark,3535,1.0,4.0,4.0,2021-01-08
SIDE RANCH,2815,1.0,0.25,0.25,2021-01-08
SHRIMP FRY,2735,1.0,9.99,9.99,2021-01-08
House Salad LG,2697,1.0,7.5,7.5,2021-01-08
Thurs Burger,2886,1.0,3.0,3.0,2021-01-08
SIDE Sm Nacho Chez,2852,1.0,0.0,0.0,2021-01-08
SIDE BBQ,2821,1.0,0.25,0.25,2021-01-08
PIT Stein,3146,1.0,15.0,15.0,2021-01-08
7-UP,3147,1.0,1.5,1.5,2021-01-08
PIT Miller High Life,3142,1.0,11.0,11.0,2021-01-08
BTL Bud Light,3114,1.0,4.5,4.5,2021-01-08
BTL Modelo Especial,3124,1.0,4.5,4.5,2021-01-08
Absolut,3286,1.0,8.0,8.0,2021-01-08
Fireball,3313,1.0,5.0,5.0,2021-01-08
Jack Daniels,3315,1.0,5.0,5.0,2021-01-08
Seagrams 7,3324,1.0,4.0,4.0,2021-01-08
Cranberry JC,3156,1.0,1.5,1.5,2021-01-08
DBL RAIL Vodka,3455,131.0,4.9732824427481,651.5,2020-01-10
Skyy Orange BOMB,3372,87.0,1.7931034482759,156.0,2020-01-10
SHOT Seagrams VO,3325,84.0,1.8928571428571,159.0,2020-01-10
SHOT Tullamore Dew,3327,84.0,2.4285714285714,204.0,2020-01-10
Skyy Raspberry BOMB,3369,82.0,2.0975609756098,172.0,2020-01-10
PINT Spotted Cow,3140,65.0,3.8076923076923,247.5,2020-01-10
PINT Stein,3141,65.0,4.0384615384615,262.5,2020-01-10
PINT Schlitz,3139,64.0,2.859375,183.0,2020-01-10
BTL Miller High Life,3122,63.0,2.734126984127,172.25,2020-01-10
Glass Water,3162,43.0,0.0,0.0,2020-01-10
PINT LKFT IPA,3136,40.0,3.6,144.0,2020-01-10
PINT Moon Man,3349,38.0,3.7105263157895,141.0,2020-01-10
SHOT Fernet,3507,37.0,2.8108108108108,104.0,2020-01-10
DBL RAIL Whiskey,3459,35.0,5.0714285714286,177.5,2020-01-10
Skyy Ginger BOMB,3371,34.0,2.1176470588235,72.0,2020-01-10
GRILLED CHEESE,2734,34.0,4.3088235294118,146.5,2020-01-10
PINT LKFT Hazy Rabbit,3348,33.0,3.5909090909091,118.5,2020-01-10
BTL Miller Lite,3391,32.0,3.046875,97.5,2020-01-10
PINT Miller High Life,3137,31.0,3.0,93.0,2020-01-10
SHOT Hennessey,3450,30.0,4.6666666666667,140.0,2020-01-10
Soda/Juice,3183,27.0,1.5,40.5,2020-01-10
Locust St Wings FULL,2729,27.0,10.648148148148,287.5,2020-01-10
3 PART COMBO,2831,23.0,11.495652173913,264.4,2020-01-10
CHEESE burger,2841,23.0,7.304347826087,168.0,2020-01-10
All American Burger,2840,22.0,6.8181818181818,150.0,2020-01-10
Sriracha Strips,2730,20.0,8.3,166.0,2020-01-10
FISH FRY,2722,19.0,10.107894736842,192.05,2020-01-10
Cheese Curds,2728,19.0,6.5263157894737,124.0,2020-01-10
COMBO FRY,2736,18.0,10.647222222222,191.65,2020-01-10
PIT Schlitz,3144,17.0,11.0,187.0,2020-01-10
CAN Press Blk/Hyb,3130,17.0,4.7058823529412,80.0,2020-01-10
SHOT Jameson,3317,17.0,3.0588235294118,52.0,2020-01-10
HH PINT Guinness,3350,15.0,4.4,66.0,2020-01-10
PINT Miller Lite,3138,15.0,3.0,45.0,2020-01-10
Bloody Mary,3199,15.0,7.1333333333333,107.0,2020-01-10
RIVERWEST BURGER,2714,15.0,9.7166666666667,145.75,2020-01-10
Locust St. Wings HALF,2858,15.0,6.0333333333333,90.5,2020-01-10
Perch FRY,2830,14.0,10.271428571429,143.8,2020-01-10
HH PINT Abita Wrought Iron,3354,14.0,3.4285714285714,48.0,2020-01-10
PINT Beer of the Week,3356,14.0,3.0,42.0,2020-01-10
DBL RAIL Gin,3453,14.0,5.0714285714286,71.0,2020-01-10
PIT WATER,3400,13.0,0.0,0.0,2020-01-10
SHOT Dr McGullicuddys,3226,13.0,2.0769230769231,27.0,2020-01-10
PIT Miller Lite,3143,13.0,11.0,143.0,2020-01-10
Cheese Curd Burger,2879,12.0,8.75,105.0,2020-01-10
DBL Titos,3654,12.0,7.5,90.0,2020-01-10
DBL Captain Morgan,3496,11.0,8.0,88.0,2020-01-10
SHOT Cazadores Reposado,3479,11.0,2.5454545454545,28.0,2020-01-10
Monday Special,3032,11.0,6.8636363636364,75.5,2020-01-10
BTL Corona,3117,11.0,4.5,49.5,2020-01-10
French Fries,2731,11.0,2.0,22.0,2020-01-10
SHOT Goldschlager,3230,11.0,3.6363636363636,40.0,2020-01-10
CAN PBR 16oz,3129,11.0,4.0,44.0,2020-01-10
Irish Coffee,3202,10.0,6.3,63.0,2020-01-10
DBL of the WEEK,3251,10.0,5.0,50.0,2020-01-10
Skyy Peach BOMB,3367,10.0,3.2,32.0,2020-01-10
Skyy Apricot BOMB,3368,10.0,4.0,40.0,2020-01-10
Mush Swiss Burger,2715,10.0,8.45,84.5,2020-01-10
Cubano,2716,10.0,8.2,82.0,2020-01-10
Soft Pretzel Bites,2835,10.0,5.0,50.0,2020-01-10
CAN Coors Light,3116,10.0,4.0,40.0,2020-01-10
WAR Burger,3028,10.0,7.4,74.0,2020-01-10
Cup SOUP,2872,9.0,2.5,22.5,2020-01-10
PINT Abita TurboDog,3353,9.0,3.5,31.5,2020-01-10
SHOT Bulleit Rye,3590,9.0,4.0,36.0,2020-01-10
DBL Skyy Ginger,3672,9.0,7.0,63.0,2020-01-10
DBL Jim Beam,3530,8.0,7.0,56.0,2020-01-10
Camel Lights,3247,8.0,10.0,80.0,2020-01-10
Iggy Pop,2860,8.0,9.4375,75.5,2020-01-10
HOLY MO!,2839,8.0,10.375,83.0,2020-01-10
Bowl CHILI,2696,8.0,3.5,28.0,2020-01-10
Chix Caeser Wrap,2838,7.0,8.1428571428571,57.0,2020-01-10
Tater Tots,2836,7.0,2.2142857142857,15.5,2020-01-10
PINT K4 Fantasy Factory,3351,7.0,3.6428571428571,25.5,2020-01-10
DBL RAIL Tequila,3461,7.0,4.1428571428571,29.0,2020-01-10
DBL Ketel One,3658,7.0,8.0,56.0,2020-01-10
DBL Skyy,3662,7.0,4.2857142857143,30.0,2020-01-10
SHOT Skyy Raspb,3669,6.0,3.0,18.0,2020-01-10
DBL Jameson,3538,6.0,8.0,48.0,2020-01-10
DBL Bacardi,3492,6.0,6.0,36.0,2020-01-10
DBL RAIL Brandy,3448,6.0,5.3333333333333,32.0,2020-01-10
Skyy Cherry BOMB,3370,6.0,4.0,24.0,2020-01-10
Coke,3154,6.0,1.5,9.0,2020-01-10
Plain Chicken Strips,2867,6.0,8.3333333333333,50.0,2020-01-10
Tracks Scramble,3045,6.0,8.0,48.0,2020-01-10
BTL Bud Light,3114,5.0,4.5,22.5,2020-01-10
BTL Budweiser,3115,5.0,4.5,22.5,2020-01-10
Thai Chicken Wrap,2880,5.0,8.1,40.5,2020-01-10
House Salad SM,2837,5.0,3.5,17.5,2020-01-10
Nachos,2808,5.0,7.2,36.0,2020-01-10
Fish Tacos,2851,5.0,6.5,32.5,2020-01-10
PIT Miller High Life,3142,5.0,11.0,55.0,2020-01-10
Mimosa,3206,5.0,4.0,20.0,2020-01-10
Moscow Mule,3207,5.0,7.0,35.0,2020-01-10
PIT Spotted Cow,3145,5.0,15.0,75.0,2020-01-10
CAN Press Pom/Gin,3131,5.0,5.0,25.0,2020-01-10
PINT Angry Orchard,3352,5.0,3.3,16.5,2020-01-10
RAIL Vodka,3339,5.0,3.5,17.5,2020-01-10
Skyy Cherry,3297,4.0,4.0,16.0,2020-01-10
BTL Pabst,3126,4.0,3.25,13.0,2020-01-10
BBQ Pulled Pork,2842,4.0,7.0,28.0,2020-01-10
House Salad LG,2697,4.0,3.875,15.5,2020-01-10
Club Sub,2733,4.0,7.25,29.0,2020-01-10
Jive Turkey,2859,4.0,8.0,32.0,2020-01-10
Cup Chili,2873,4.0,2.5,10.0,2020-01-10
Breakfast BURGER,3033,4.0,8.0,32.0,2020-01-10
DBL Hennessey,3449,4.0,8.25,33.0,2020-01-10
DBL Tanqueray,3488,4.0,8.0,32.0,2020-01-10
SHOT Cazadores Blanco,3481,4.0,3.0,12.0,2020-01-10
DBL Jack Daniels,3526,4.0,6.0,24.0,2020-01-10
PINT LKFT Oktoberfest,3697,4.0,3.75,15.0,2020-01-10
SHOT Fireball,3584,3.0,4.0,12.0,2020-01-10
SHOT Pearl Cucumber,3641,3.0,4.0,12.0,2020-01-10
DBl Smirnoff,3646,3.0,6.0,18.0,2020-01-10
DBL Jack D Honey,3532,3.0,8.0,24.0,2020-01-10
SHOT Jack Ds Honey,3533,3.0,4.0,12.0,2020-01-10
DBL Makers Mark,3534,3.0,8.6666666666667,26.0,2020-01-10
SHOT Bacardi Limon,3495,3.0,3.0,9.0,2020-01-10
DBL Korbel,3452,3.0,6.0,18.0,2020-01-10
Diet Coke - Refill,3465,3.0,0.0,0.0,2020-01-10
BTL LKFT Fixed Gear,3120,3.0,5.0,15.0,2020-01-10
Spicy Popcorn Shrimp,2864,3.0,6.0,18.0,2020-01-10
Thurs Burger,2886,3.0,5.5,16.5,2020-01-10
SHRIMP FRY,2735,3.0,10.95,32.85,2020-01-10
SIDE Sm Nacho Chez,2852,3.0,0.75,2.25,2020-01-10
Hush Puppies,2809,3.0,6.5,19.5,2020-01-10
Chili Cheese Poutine,2801,3.0,7.0,21.0,2020-01-10
CAN Press GF/CAR,3133,3.0,5.0,15.0,2020-01-10
7-UP,3147,3.0,1.5,4.5,2020-01-10
Coffee,3153,3.0,1.5,4.5,2020-01-10
Black Manhattan,3194,3.0,8.0,24.0,2020-01-10
SHOT Car Bomb,3269,3.0,6.0,18.0,2020-01-10
Absolut,3286,3.0,8.0,24.0,2020-01-10
Cocktail of the Week,3250,3.0,6.0,18.0,2020-01-10
OUTSIDE,3253,3.0,0.0,0.0,2020-01-10
Bag Snacks,3246,2.0,0.375,0.75,2020-01-10
Bulleit Bourbon,3308,2.0,5.0,10.0,2020-01-10
Chardonnay,3331,2.0,5.0,10.0,2020-01-10
Pinot Grigio,3333,2.0,5.0,10.0,2020-01-10
PIT LKFT Hazy Rabbit,3359,2.0,15.0,30.0,2020-01-10
Texas Cosmo,3211,2.0,8.0,16.0,2020-01-10
Trinidad Tea,3213,2.0,8.0,16.0,2020-01-10
Tully Peach Tea,3214,2.0,8.0,16.0,2020-01-10
Tanqueray,3219,2.0,2.5,5.0,2020-01-10
Cranberry JC,3156,2.0,1.5,3.0,2020-01-10
Diet Coke,3158,2.0,1.5,3.0,2020-01-10
Lemonade,3170,2.0,1.5,3.0,2020-01-10
CAN Press Lime,3132,2.0,5.0,10.0,2020-01-10
BTL ODouls,3125,2.0,3.25,6.5,2020-01-10
SIDE RANCH,2815,2.0,0.25,0.5,2020-01-10
Bowl SOUP,2713,2.0,4.0,8.0,2020-01-10
Kung Fu Quesadilla,2870,2.0,6.0,12.0,2020-01-10
Fancy Fries,2878,2.0,5.0,10.0,2020-01-10
Shrimp Tacos,2874,2.0,6.5,13.0,2020-01-10
BTL LH Milk Stout,3119,2.0,6.0,12.0,2020-01-10
Breakfast BURRITO,3034,2.0,7.5,15.0,2020-01-10
Ham n Swiss,3048,2.0,7.0,14.0,2020-01-10
SHOT Jose Cuervo,3475,2.0,3.0,6.0,2020-01-10
DBL Bombay Sapphire,3486,2.0,8.0,16.0,2020-01-10
DBL Meyers Dark,3504,2.0,6.0,12.0,2020-01-10
SHOT Baileys Irish,3541,2.0,2.0,4.0,2020-01-10
SHOT Campari,3549,2.0,3.0,6.0,2020-01-10
 SHOT Crown Royal,3529,2.0,4.0,8.0,2020-01-10
SHOT Skyy Watermelon,3674,2.0,3.0,6.0,2020-01-10
DBL Skyy W-melon,3675,1.0,7.0,7.0,2020-01-10
DBL Amaretto,3560,1.0,7.0,7.0,2020-01-10
DBL Bulleit Bourbon,3587,1.0,8.0,8.0,2020-01-10
DBL Bulleit Rye,3589,1.0,8.0,8.0,2020-01-10
DBL Absolut Citron,3656,1.0,8.0,8.0,2020-01-10
DBL Skyy Cherry,3670,1.0,7.0,7.0,2020-01-10
SHOT Absolut,3661,1.0,4.0,4.0,2020-01-10
7-Up Refill,3463,1.0,0.0,0.0,2020-01-10
SHOT Bacardi,3493,1.0,3.0,3.0,2020-01-10
DBL Tullamore Dew,3536,1.0,8.0,8.0,2020-01-10
SHOT Jack Daniels,3527,1.0,4.0,4.0,2020-01-10
DBL Crown Royal,3528,1.0,8.0,8.0,2020-01-10
DBL Patron XO,3476,1.0,7.0,7.0,2020-01-10
SHOT Patron XO,3477,1.0,4.0,4.0,2020-01-10
DBL Cazadores Reposado,3478,1.0,7.0,7.0,2020-01-10
DBL RAIL Rum,3457,1.0,5.5,5.5,2020-01-10
SHOT RAIL Brandy,3447,1.0,3.0,3.0,2020-01-10
BTL Blue Moon,3113,1.0,4.5,4.5,2020-01-10
Breakfast Sammy,3046,1.0,6.5,6.5,2020-01-10
Breakfast CLASSIC,3035,1.0,6.5,6.5,2020-01-10
BTL MGD,3121,1.0,3.25,3.25,2020-01-10
BTL Eastside Dark,3118,1.0,5.0,5.0,2020-01-10
SIDE Sweet Chili,2875,1.0,0.25,0.25,2020-01-10
Chix Caesar Salad,2871,1.0,0.0,0.0,2020-01-10
Fancy Tots,2883,1.0,5.0,5.0,2020-01-10
SIDE SOUR CREAM,2750,1.0,0.25,0.25,2020-01-10
SIDE HORSE MAYO,2753,1.0,0.25,0.25,2020-01-10
PC Pollack,2800,1.0,2.25,2.25,2020-01-10
SIDE Jalapeno,2846,1.0,0.5,0.5,2020-01-10
SIDE Mayo,2849,1.0,0.25,0.25,2020-01-10
BTL Spaten Lager,3127,1.0,5.0,5.0,2020-01-10
CAN Schlitz 16oz,3134,1.0,4.0,4.0,2020-01-10
Seltzer,3180,1.0,1.5,1.5,2020-01-10
Shirley Temple,3182,1.0,1.75,1.75,2020-01-10
Long Island,3204,1.0,8.0,8.0,2020-01-10
RAIL Whiskey,3340,1.0,3.5,3.5,2020-01-10
RAIL Rum,3343,1.0,3.5,3.5,2020-01-10
SHOT Jager Bomb,3274,1.0,5.0,5.0,2020-01-10
Cab/Merlot,3329,1.0,5.0,5.0,2020-01-10
SHOT Rumpleminz,3242,1.0,4.0,4.0,2020-01-10
Bacardi,3255,1.0,4.0,4.0,2020-01-10
SHOT Tullamore Dew,3327,61.0,3.1475409836066,192.0,2021-01-15
PINT Moon Man,3349,28.0,2.5714285714286,72.0,2021-01-15
PINT Spotted Cow,3140,28.0,4.125,115.5,2021-01-15
DBL RAIL Vodka,3455,28.0,5.2321428571429,146.5,2021-01-15
PINT Miller High Life,3137,27.0,3.0,81.0,2021-01-15
SHOT Seagrams VO,3325,23.0,2.3478260869565,54.0,2021-01-15
GRILLED CHEESE,2734,20.0,3.0,60.0,2021-01-15
SHOT Cazadores Reposado,3479,20.0,3.8,76.0,2021-01-15
Skyy Peach BOMB,3367,18.0,4.0,72.0,2021-01-15
CAN PBR 16oz,3129,17.0,4.0,68.0,2021-01-15
Locust St Wings FULL,2729,16.0,10.8125,173.0,2021-01-15
SHOT Fernet,3507,16.0,2.0,32.0,2021-01-15
PINT LKFT Hazy Rabbit,3348,15.0,3.5,52.5,2021-01-15
BTL Miller High Life,3122,15.0,3.25,48.75,2021-01-15
Locust St. Wings HALF,2858,14.0,5.1785714285714,72.5,2021-01-15
Skyy Cherry BOMB,3370,14.0,2.2857142857143,32.0,2021-01-15
Skyy Orange BOMB,3372,14.0,3.1428571428571,44.0,2021-01-15
SHOT Skyy Orange,3677,12.0,1.25,15.0,2021-01-15
FISH FRY,2722,12.0,10.625,127.5,2021-01-15
COMBO FRY,2736,12.0,13.666666666667,164.0,2021-01-15
PINT LKFT IPA,3136,12.0,3.25,39.0,2021-01-15
Skyy Apricot BOMB,3368,12.0,2.3333333333333,28.0,2021-01-15
RAIL Vodka,3339,11.0,2.8636363636364,31.5,2021-01-15
PINT Stein,3141,11.0,3.1363636363636,34.5,2021-01-15
CAN Coors Light,3116,11.0,3.2727272727273,36.0,2021-01-15
DBL RAIL Tequila,3461,11.0,5.3636363636364,59.0,2021-01-15
DBL Jack Daniels,3526,11.0,8.0,88.0,2021-01-15
DBL Titos,3654,10.0,7.6,76.0,2021-01-15
Cheese Curds,2728,10.0,7.2,72.0,2021-01-15
Sriracha Strips,2730,10.0,8.05,80.5,2021-01-15
BTL Miller Lite,3391,9.0,2.1666666666667,19.5,2021-01-15
Nashville Hot Chicken,3706,8.0,7.065,56.52,2021-01-15
DBL Jim Beam,3530,7.0,7.0,49.0,2021-01-15
Perch FRY,2830,7.0,13.275714285714,92.93,2021-01-15
SHOT Dr McGullicuddys,3226,7.0,1.2857142857143,9.0,2021-01-15
SHOT Rumpleminz,3242,6.0,0.0,0.0,2021-01-15
All American Burger,2840,6.0,7.1666666666667,43.0,2021-01-15
CHEESE burger,2841,6.0,6.5833333333333,39.5,2021-01-15
SHOT Jack Daniels,3527,6.0,3.3333333333333,20.0,2021-01-15
DBL RAIL Whiskey,3459,6.0,4.5833333333333,27.5,2021-01-15
DBL Skyy Raspb,3668,6.0,5.8333333333333,35.0,2021-01-15
DBL Skyy Cherry,3670,5.0,7.0,35.0,2021-01-15
SHOT Cazadores Blanco,3481,5.0,3.2,16.0,2021-01-15
DBL RAIL Gin,3453,5.0,4.1,20.5,2021-01-15
DBL Makers Mark,3534,5.0,8.0,40.0,2021-01-15
SHOT Makers Mark,3535,5.0,3.2,16.0,2021-01-15
BTL Bud Light,3114,5.0,4.5,22.5,2021-01-15
French Fries,2731,5.0,1.7,8.5,2021-01-15
PC Pollack,2800,4.0,2.375,9.5,2021-01-15
BTL Budweiser,3115,4.0,4.5,18.0,2021-01-15
RIVERWEST BURGER,2714,4.0,11.125,44.5,2021-01-15
Skyy Raspberry BOMB,3369,4.0,3.0,12.0,2021-01-15
