Michael 30,The Tracks Tavern and Grill,09/27/2021 12:35:04
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
DBL RAIL Vodka,3455,,170.0000,5.2147058823529,886.5
Skyy Orange BOMB,3372,,103.0000,4,412
Skyy Raspberry BOMB,3369,,97.0000,4,388
PINT Miller High Life,3137,,84.0000,3,252
SHOT Tullamore Dew,3327,,82.0000,4,328
BTL Miller High Life,3122,,79.0000,3.25,256.75
PINT Spotted Cow,3140,,64.0000,4.078125,261
PIT Miller Lite,3143,,61.0000,10.819672131148,660
PINT Stein,3141,,57.0000,3.8684210526316,220.5
SHOT Seagrams VO,3325,,49.0000,3,147
Sriracha Strips,2730,,48.0000,8.34375,400.5
Glass Water,3162,,45.0000,1.3337777777778,60.02
Skyy Cherry BOMB,3370,,42.0000,4,168
PINT LKFT Hazy Rabbit,3348,,42.0000,4,168
PIT Spotted Cow,3145,,41.0000,15,615
PIT Schlitz,3144,,40.0000,11,440
Cheese Curds,2728,,40.0000,6.5375,261.5
CAN Press Blk/Hyb,3130,,39.0000,5,195
PINT Miller Lite,3138,,38.0000,3,114
Locust St. Wings HALF,2858,,38.0000,5.9210526315789,225
OUTSIDE,3253,,37.0000,0,0
Locust St Wings FULL,2729,,34.0000,10.889705882353,370.25
PINT Moon Man,3349,,34.0000,3.75,127.5
CAN PBR 16oz,3129,,33.0000,4,132
PINT Schlitz,3139,,31.0000,3,93
PIT Miller High Life,3142,,31.0000,11,341
All American Burger,2840,,31.0000,6.9032258064516,214
PINT LKFT IPA,3136,,30.0000,3.95,118.5
SHOT Goldschlager,3230,,29.0000,4,116
GRILLED CHEESE,2734,,29.0000,4.1379310344828,120
Soda/Juice,3183,,27.0000,1.5,40.5
BTL Miller Lite,3391,,27.0000,3.25,87.75
PIT WATER,3400,,27.0000,0,0
DBL RAIL Gin,3453,,26.0000,5.0961538461538,132.5
DBL RAIL Whiskey,3459,,26.0000,4.9807692307692,129.5
Nachos,2808,,25.0000,7.08,177
PIT Stein,3146,,24.0000,15,360
SHOT Skyy,3663,,24.0000,3,72
DBL RAIL Rum,3457,,23.0000,4.9130434782609,113
VBALL LITE,3410,,23.0000,0,0
DBL Captain Morgan,3496,,22.0000,8,176
RIVERWEST BURGER,2714,,22.0000,9.7272727272727,214
WAR Burger,3028,,22.0000,8.3409090909091,183.5
French Fries,2731,,21.0000,2.0238095238095,42.5
FISH FRY,2722,,20.0000,10.039,200.78
CHEESE burger,2841,,20.0000,7.8625,157.25
CAN Coors Light,3116,,20.0000,4,80
3 PART COMBO,2831,,19.0000,12.055263157895,229.05
PINT Angry Orchard,3352,,19.0000,4.1052631578947,78
CAN Anit-Hero,3682,,19.0000,3.0789473684211,58.5
PIT Moon Man,3357,,18.0000,15,270
Skyy Ginger BOMB,3371,,18.0000,4,72
Perch FRY,2830,,18.0000,10.2,183.6
Monday Special,3032,,18.0000,7.3472222222222,132.25
Chix Caeser Wrap,2838,,17.0000,8.3529411764706,142
Skyy Peach BOMB,3367,,17.0000,4,68
SHOT Cazadores Blanco,3481,,17.0000,4,68
PINT Everyday Hero,3683,,17.0000,3.7941176470588,64.5
Skyy Apricot BOMB,3368,,16.0000,4,64
