Michael 30,The Tracks Tavern and Grill,09/27/2021 13:09:25
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
DBL RAIL Vodka,3455,,105.0000,4.8714285714286,511.5
SHOT Cazadores Reposado,3479,,97.0000,3.0927835051546,300
Skyy Cherry BOMB,3370,,82.0000,3.1219512195122,256
SHOT Tullamore Dew,3327,,82.0000,2.4390243902439,200
PIT Miller Lite,3143,,58.0000,11,638
PINT Stein,3141,,54.0000,3.75,202.5
SHOT Seagrams VO,3325,,54.0000,2.1666666666667,117
Skyy Peach BOMB,3367,,51.0000,3.2941176470588,168
BTL Miller High Life,3122,,47.0000,2.6276595744681,123.5
CAN Press Blk/Hyb,3130,,44.0000,5,220
PINT LKFT Hazy Rabbit,3348,,38.0000,3.7894736842105,144
CAN Press Pom/Gin,3131,,37.0000,5,185
GRILLED CHEESE,2734,,37.0000,3,111
SHOT Jameson,3317,,36.0000,3.4444444444444,124
CAN Coors Light,3116,,35.0000,3.2,112
Cheese Curds,2728,,33.0000,7.8939393939394,260.5
BTL Pabst,3126,,32.0000,2.7421875,87.75
PIT Schlitz,3144,,29.0000,11,319
All American Burger,2840,,28.0000,7.1964285714286,201.5
Locust St. Wings HALF,2858,,28.0000,7.5892857142857,212.5
PINT Miller High Life,3137,,26.0000,3,78
PINT Spotted Cow,3140,,26.0000,4.0961538461538,106.5
SHOT Cazadores Blanco,3481,,25.0000,3.04,76
PINT LKFT IPA,3136,,25.0000,3.9,97.5
BTL Corona,3117,,25.0000,4.5,112.5
PIT Miller High Life,3142,,24.0000,11,264
FISH FRY,2722,,24.0000,10.645833333333,255.5
Sriracha Strips,2730,,24.0000,7.9791666666667,191.5
Locust St Wings FULL,2729,,23.0000,15.130434782609,348
CHEESE burger,2841,,23.0000,7.1304347826087,164
Chix Caeser Wrap,2838,,22.0000,9.2272727272727,203
VBALL LITE,3410,,22.0000,0,0
Nashville Hot Chicken,3706,,22.0000,9.0340909090909,198.75
PINT Schlitz,3139,,21.0000,3,63
PINT Moon Man,3349,,20.0000,2.475,49.5
PINT Angry Orchard,3352,,20.0000,3.675,73.5
Buffalo Chicken Sammy,3707,,20.0000,8.875,177.5
Glass Water,3162,,19.0000,0,0
CAN Press GF/CAR,3133,,18.0000,5,90
Skyy Orange BOMB,3372,,18.0000,4,72
DBL Titos,3654,,18.0000,8,144
Patty Melt,3705,,17.0000,8.3823529411765,142.5
DBL RAIL Gin,3453,,17.0000,4.9117647058824,83.5
PIT LKFT Hazy Rabbit,3359,,17.0000,15,255
PIT Stein,3146,,16.0000,15,240
PIT Spotted Cow,3145,,15.0000,14,210
VBALL HI-LIFE,3411,,15.0000,0,0
BTL Miller Lite,3391,,14.0000,2.5535714285714,35.75
CAN PBR 16oz,3129,,14.0000,4,56
BTL Modelo Especial,3124,,14.0000,4.5,63
DBL Tullamore Dew,3536,,14.0000,8,112
SHOT Campari,3549,,13.0000,2.7692307692308,36
PIT LKFT Oktoberfest,3691,,13.0000,15,195
PINT LKFT Oktoberfest,3697,,13.0000,3.8076923076923,49.5
Perch FRY,2830,,13.0000,11.068461538462,143.89
RIVERWEST BURGER,2714,,13.0000,11.307692307692,147
DBL RAIL Rum,3457,,13.0000,4.1923076923077,54.5
DBL RAIL Tequila,3461,,13.0000,5.0384615384615,65.5
Chili Cheese Poutine,2801,,12.0000,7,84
3 PART COMBO,2831,,12.0000,15.99,191.88
CAN Press Lime,3132,,12.0000,5,60
French Fries,2731,,11.0000,2.0909090909091,23
