Michael 30,The Tracks Tavern and Grill,09/27/2021 13:06:23
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
DBL RAIL Vodka,3455,,86.0000,5.0232558139535,432
PINT Spotted Cow,3140,,73.0000,4.1917808219178,306
Skyy Cherry BOMB,3370,,71.0000,3.4366197183099,244
SHOT Fernet,3507,,68.0000,3,204
SHOT Tullamore Dew,3327,,61.0000,3.7377049180328,228
PIT Miller Lite,3143,,61.0000,11,671
SHOT Seagrams VO,3325,,60.0000,2.15,129
BTL Miller High Life,3122,,59.0000,2.4237288135593,143
PINT Stein,3141,,56.0000,3.9642857142857,222
PIT Spotted Cow,3145,,44.0000,14.318181818182,630
CAN Press Blk/Hyb,3130,,44.0000,5,220
CAN PBR 16oz,3129,,43.0000,3.8139534883721,164
Cheese Curds,2728,,40.0000,8.0375,321.5
CAN Press GF/CAR,3133,,38.0000,4.8684210526316,185
Skyy Peach BOMB,3367,,37.0000,2.9189189189189,108
CAN Press Pom/Gin,3131,,35.0000,5,175
Locust St Wings FULL,2729,,29.0000,10.810344827586,313.5
Locust St. Wings HALF,2858,,29.0000,5.4137931034483,157
CHEESE burger,2841,,28.0000,7.625,213.5
PINT LKFT IPA,3136,,28.0000,3.5892857142857,100.5
Glass Water,3162,,27.0000,0,0
RIVERWEST BURGER,2714,,27.0000,10.87037037037,293.5
SHOT Cazadores Blanco,3481,,27.0000,3.2592592592593,88
PINT LKFT Hazy Rabbit,3348,,26.0000,3.8076923076923,99
Sriracha Strips,2730,,26.0000,8.0576923076923,209.5
DBL RAIL Whiskey,3459,,25.0000,5.18,129.5
SHOT Cazadores Reposado,3479,,23.0000,3.8260869565217,88
PINT Moon Man,3349,,21.0000,3,63
PINT Miller High Life,3137,,21.0000,3,63
CAN Press Lime,3132,,21.0000,5,105
French Fries,2731,,20.0000,2,40
DBL RAIL Tequila,3461,,19.0000,5.4210526315789,103
DBL Jack Daniels,3526,,18.0000,7.5555555555556,136
PINT Angry Orchard,3352,,18.0000,3.4166666666667,61.5
PINT Beer of the Week,3356,,18.0000,3,54
Skyy Raspberry BOMB,3369,,18.0000,3.3333333333333,60
CAN Coors Light,3116,,18.0000,4,72
DBL RAIL Gin,3453,,17.0000,4.3529411764706,74
GRILLED CHEESE,2734,,16.0000,3,48
FISH FRY,2722,,16.0000,10.59375,169.5
DBL Titos,3654,,16.0000,8,128
PINT LKFT Oktoberfest,3697,,16.0000,3.65625,58.5
Chix Caeser Wrap,2838,,15.0000,9.4166666666667,141.25
BTL Miller Lite,3391,,15.0000,2.3833333333333,35.75
Absolut,3286,,15.0000,8,120
DBL Captain Morgan,3496,,14.0000,8,112
Perch FRY,2830,,14.0000,12.99,181.86
Tater Tots,2836,,14.0000,1.8571428571429,26
BTL Bud Light,3114,,14.0000,4.1785714285714,58.5
PIT Miller High Life,3142,,14.0000,11,154
SHOT Rumpleminz,3242,,14.0000,3.7142857142857,52
DBL RAIL Rum,3457,,13.0000,4.6923076923077,61
Nashville Hot Chicken,3706,,13.0000,8.6538461538462,112.5
DBL Bulleit Bourbon,3587,,12.0000,8,96
Skyy Raspberry,3302,,12.0000,4,48
SHOT Jameson,3317,,12.0000,4,48
Skyy Orange BOMB,3372,,12.0000,4,48
OUTSIDE,3253,,12.0000,0,0
BTL Corona,3117,,12.0000,3.75,45
Chili Cheese Poutine,2801,,12.0000,7.0416666666667,84.5
Cup SOUP,2872,,11.0000,2.5,27.5
VBALL LITE,3410,,11.0000,0,0
RAIL Vodka,3339,,11.0000,3.7272727272727,41
Buffalo Chicken Sammy,3707,,11.0000,9.4090909090909,103.5
PIT LKFT Hazy Rabbit,3359,,10.0000,15,150
Plain Chicken Strips,2867,,10.0000,7.6,76
COMBO FRY,2736,,10.0000,13.6,136
All American Burger,2840,,9.0000,7.2222222222222,65
SHOT Jagermeister,3234,,9.0000,4,36
DBL Kraken,3500,,9.0000,8,72
