Michael 30,The Tracks Tavern and Grill,09/27/2021 12:26:31
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
RAIL Vodka,3339,,136.0000,4.9963235294118,679.5
SHOT Tullamore Dew,3327,,111.0000,4.0990990990991,455
HH PINT Guinness,3350,,103.0000,4.621359223301,476
PINT Stein,3141,,99.0000,3.4545454545455,342
BTL Miller High Life,3122,,92.0000,3.25,299
Glass Water,3162,,84.0000,0,0
PINT Green Beer,3406,,83.0000,2.2771084337349,189
PINT Miller High Life,3137,,76.0000,3,228
Skyy Raspberry BOMB,3369,,71.0000,4,284
PINT LKFT IPA,3136,,66.0000,3.5681818181818,235.5
PINT Spotted Cow,3140,,61.0000,3.5901639344262,219
PINT Moon Man,3349,,46.0000,3.5869565217391,165
RAIL Whiskey,3340,,46.0000,4.5978260869565,211.5
Reuben,3402,,44.0000,7.9204545454545,348.5
Sriracha Strips,2730,,40.0000,7.8625,314.5
Cazadores Blanco,3280,,36.0000,4.2222222222222,152
Skyy Peach BOMB,3367,,36.0000,3.2222222222222,116
PINT Beer of the Week,3356,,34.0000,3,102
Perch FRY,2830,,34.0000,10.023529411765,340.8
SHOT Seagrams VO,3325,,33.0000,3.2727272727273,108
3 PART COMBO,2831,,31.0000,11.998387096774,371.95
FISH FRY,2722,,30.0000,10.033333333333,301
Locust St Wings FULL,2729,,29.0000,11.051724137931,320.5
Hennessey,3190,,29.0000,5.5172413793103,160
Cheese Curds,2728,,28.0000,6.5,182
PINT K4 Fantasy Factory,3351,,28.0000,3.9107142857143,109.5
Locust St. Wings HALF,2858,,27.0000,6,162
PINT Schlitz,3139,,26.0000,3,78
Corned Beef & Cabbage,3401,,26.0000,9.0192307692308,234.5
SHOT Jameson,3317,,25.0000,4.84,121
PINT Miller Lite,3138,,24.0000,4.7083333333333,113
SHOT Car Bomb,3269,,24.0000,6,144
Soda/Juice,3183,,24.0000,1.5,36
CHEESE burger,2841,,24.0000,7.25,174
COMBO FRY,2736,,22.0000,10.746818181818,236.43
Skyy Orange BOMB,3372,,22.0000,4,88
SHOT Ballyhoo,3405,,21.0000,3,63
Jack Daniels,3315,,21.0000,6.4761904761905,136
CAN PBR 16oz,3129,,21.0000,4,84
SHOT Dr McGullicuddys,3226,,19.0000,3,57
HH PINT Abita Wrought Iron,3354,,19.0000,3.6315789473684,69
Bloody Mary,3199,,18.0000,7.1111111111111,128
PIT Miller Lite,3143,,17.0000,10,170
Soft Pretzel Bites,2835,,17.0000,5,85
GRILLED CHEESE,2734,,15.0000,4.6,69
PIT Schlitz,3144,,15.0000,10,150
