Michael 30,The Tracks Tavern and Grill,09/27/2021 12:39:09
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
SHOT Bulleit Rye,3590,,6.0000,4,24
DBL Ketel One,3658,,6.0000,8.8333333333333,53
VBALL HAZY RABBIT,3418,,6.0000,4,24
Coke - Refill,3464,,6.0000,0,0
PIT Moon Man,3357,,6.0000,15,90
PIT Abita Wrought Iron,3364,,6.0000,15,90
VBALL SPOT COW,3415,,6.0000,4,24
CAN Press Lime,3132,,6.0000,5,30
BTL Modelo Especial,3124,,6.0000,4.5,27
SHOT Jagermeister,3234,,6.0000,2,12
Camel Lights,3247,,6.0000,10,60
Titos,3307,,6.0000,5,30
Shrimp Tacos,2874,,6.0000,6.75,40.5
Chix Caesar Salad,2871,,6.0000,8.0833333333333,48.5
HOLY MO!,2839,,6.0000,10.333333333333,62
Club Sub,2733,,6.0000,7.6666666666667,46
FISH SANDWICH,2737,,5.0000,7.65,38.25
House Salad LG,2697,,5.0000,7.6,38
House Salad SM,2837,,5.0000,3.9,19.5
Spicy Popcorn Shrimp,2864,,5.0000,6,30
SIDE Sriracha Mayo,2865,,5.0000,0.25,1.25
SHOT Jager Bomb,3274,,5.0000,3,15
Fancy Fries,2878,,5.0000,5.1,25.5
RAIL Gin,3341,,5.0000,3.5,17.5
Chardonnay,3331,,5.0000,5,25
DBL Bacardi,3492,,4.0000,6,24
SHOT Jose Cuervo,3475,,4.0000,2.25,9
SHOT Skyy Orange,3677,,4.0000,1.5,6
PIT LKFT Oktoberfest,3691,,4.0000,15,60
SHOT Sambuca,3555,,4.0000,3,12
SHOT Fireball,3584,,4.0000,4,16
BTL LH Milk Stout,3119,,4.0000,6,24
BTL ODouls,3125,,4.0000,3.25,13
CAN Schlitz 16oz,3134,,4.0000,4,16
CAN N.G. Staghorn,3135,,4.0000,5,20
Mango Mimosa,3205,,4.0000,6,24
Lemonade,3170,,4.0000,1.5,6
SIDE Jalapeno,2846,,4.0000,0.5,2
SIDE Sweet Chili,2875,,4.0000,0.25,1
Fancy Tots,2883,,4.0000,5,20
Breakfast BURRITO,3034,,4.0000,7.5,30
SIDE RANCH,2815,,4.0000,0.375,1.5
SIDE Tartar Sauce,2834,,4.0000,0.25,1
Toasted Roll,2812,,3.0000,0.5,1.5
Breakfast CLASSIC,3035,,3.0000,6.5,19.5
SIDE Garlic Parm,2877,,3.0000,0.16666666666667,0.5
Cup Chili,2873,,3.0000,2.5,7.5
Fish Tacos,2851,,3.0000,6.5,19.5
Coffee,3153,,3.0000,1.5,4.5
Diet Coke,3158,,3.0000,1.5,4.5
Trinidad Tea,3213,,3.0000,8,24
CAN Crispin 16oz,3128,,3.0000,6,18
BTL Pabst,3126,,3.0000,3.25,9.75
BTL MGD,3121,,3.0000,3.25,9.75
SHOT Amaretto,3561,,3.0000,3,9
DBL J. Walker Red,3607,,3.0000,11,33
DBL Stoli Razz,3644,,3.0000,8,24
DBL Skyy Orange,3676,,3.0000,7.1666666666667,21.5
DBL Crown Royal,3528,,3.0000,8,24
DBL Rumpleminz,3515,,3.0000,5.3333333333333,16
Pinot Grigio,3333,,3.0000,5,15
PIT Angry Orchard,3361,,3.0000,15,45
VBALL STEIN,3416,,3.0000,4,12
VBALL MOON MAN,3414,,3.0000,4,12
VBALL Beer of the Week,3413,,2.0000,0,0
RAIL Rum,3343,,2.0000,3.5,7
SHOT Kraken,3501,,2.0000,4,8
SHOT Jack Daniels,3527,,2.0000,4,8
DBL Hendricks Gin,3485,,2.0000,9,18
DBL Hennessey,3449,,2.0000,11,22
SHOT RAIL Vodka,3456,,2.0000,3,6
BTL Pumpkin,3693,,2.0000,4.5,9
DBL Skyy Cherry,3670,,2.0000,0,0
DBL Absolut Citron,3656,,2.0000,8,16
SHOT Skyy Peach,3665,,2.0000,3,6
DBL Tullamore Dew,3536,,2.0000,8,16
BTL Spaten Lager,3127,,2.0000,5,10
7-UP,3147,,2.0000,1.5,3
CAN Ginger Ale,3150,,2.0000,1.5,3
CAN Mountain Dew,3152,,2.0000,1.5,3
Red Bull,3175,,2.0000,1.75,3.5
Camel Menthol,3248,,2.0000,10,20
SIDE Mayo,2849,,2.0000,0.25,0.5
SIDE LG NACHO CHEESE,2816,,2.0000,1.5,3
SIDE HOT SAUCE,2817,,2.0000,0.25,0.5
SIDE BLEU CHEZ,2818,,2.0000,0.25,0.5
Bowl CHILI,2696,,2.0000,4,8
Cheese Fries,2740,,1.0000,3,3
SIDE HONEY MUSTARD,2751,,1.0000,0.25,0.25
SIDE HORSE MAYO,2753,,1.0000,0.25,0.25
SIDE BALSAMIC,2754,,1.0000,0.25,0.25
SIDE BBQ,2821,,1.0000,0.75,0.75
BROILED FISH FRY,2813,,1.0000,12.95,12.95
SHRIMP FRY,2735,,1.0000,9.95,9.95
SIDE Sm Nacho Chez,2852,,1.0000,0.75,0.75
Toast SIDE,2854,,1.0000,1.5,1.5
B.L.T. Sandwich,2843,,1.0000,7,7
2 EGGS,3036,,1.0000,2,2
Breakfast Sammy,3046,,1.0000,0,0
El Diablo,3047,,1.0000,7,7
Ham n Swiss,3048,,1.0000,7,7
BTL Blue Moon,3113,,1.0000,4.5,4.5
Jack Daniels,3315,,1.0000,5,5
Cab/Merlot,3329,,1.0000,5,5
Skyy Orange,3299,,1.0000,4,4
Bag Snacks,3246,,1.0000,0.75,0.75
Seltzer,3180,,1.0000,1.5,1.5
Orange JC,3173,,1.0000,1.5,1.5
Iced Tea,3167,,1.0000,1.5,1.5
Sangria,3210,,1.0000,6,6
Texas Cosmo,3211,,1.0000,8,8
Black Manhattan,3194,,1.0000,8,8
Long Island,3204,,1.0000,8,8
Cranberry JC,3156,,1.0000,1.5,1.5
DBL Bulleit Bourbon,3587,,1.0000,8,8
DBL Bulleit Rye,3589,,1.0000,8,8
DBl Smirnoff,3646,,1.0000,6,6
SHOT Wild Turkey 101,3616,,1.0000,4,4
SHOT Pearl Pom.,3639,,1.0000,4,4
Dewars,3593,,1.0000,5,5
DBL Seagrams 7,3594,,1.0000,7,7
SHOT South. Comfort,3597,,1.0000,4,4
VBALL Staghorn,3692,,1.0000,4,4
SHOT Casamigos,3686,,1.0000,5,5
SHOT Skyy Ginger,3673,,1.0000,3,3
SHOT RAIL GIN,3454,,1.0000,3,3
VBALL Summer Shandy,3421,,1.0000,4,4
Diet Coke - Refill,3465,,1.0000,0,0
Seltzer - Refill,3469,,1.0000,0,0
SHOT RAIL Tequila,3462,,1.0000,3,3
SHOT RAIL Whiskey,3460,,1.0000,3,3
SHOT Gilbeys,3491,,1.0000,0,0
DBL Cazadores Blanco,3480,,1.0000,7,7
DBL Meyers Dark,3504,,1.0000,6,6
PIT K4 Fantasy Factory,3360,,1.0000,15,15
Skyy Watermelon BOMB,3374,,1.0000,4,4
