Michael 30,The Tracks Tavern and Grill,09/27/2021 13:02:53
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
SHOT Tullamore Dew,3327,,78.0000,3.2820512820513,256
DBL RAIL Vodka,3455,,51.0000,4.9852941176471,254.25
BTL Miller High Life,3122,,48.0000,3.25,156
SHOT Seagrams VO,3325,,44.0000,2.5909090909091,114
PINT Spotted Cow,3140,,42.0000,3.6071428571429,151.5
PINT Moon Man,3349,,39.0000,3.0384615384615,118.5
CAN PBR 16oz,3129,,34.0000,3.8823529411765,132
PINT LKFT IPA,3136,,33.0000,3.4090909090909,112.5
Skyy Orange BOMB,3372,,30.0000,3.6,108
PINT Stein,3141,,21.0000,3.3571428571429,70.5
RAIL Vodka,3339,,21.0000,3.5,73.5
FISH FRY,2722,,20.0000,10.675,213.5
Locust St. Wings HALF,2858,,19.0000,5.8684210526316,111.5
DBL RAIL Whiskey,3459,,18.0000,4.4444444444444,80
DBL Captain Morgan,3496,,17.0000,8.3529411764706,142
SHOT Fireball,3584,,16.0000,3,48
Skyy Raspberry BOMB,3369,,16.0000,2.5,40
Skyy Cherry BOMB,3370,,16.0000,3,48
SHOT Jameson,3317,,16.0000,3.25,52
PINT Miller High Life,3137,,16.0000,3,48
Cheese Curds,2728,,15.0000,8.0333333333333,120.5
Locust St Wings FULL,2729,,15.0000,11.133333333333,167
Perch FRY,2830,,14.0000,13.204285714286,184.86
CAN Press Pom/Gin,3131,,14.0000,5,70
Glass Water,3162,,14.0000,0,0
PINT LKFT Hazy Rabbit,3348,,14.0000,3.75,52.5
Skyy Peach BOMB,3367,,13.0000,2.4615384615385,32
GRILLED CHEESE,2734,,13.0000,3,39
DBL RAIL Tequila,3461,,13.0000,4.9615384615385,64.5
SHOT Fernet,3507,,13.0000,2.1538461538462,28
SHOT Captain Morgan,3497,,12.0000,4,48
SHOT Cazadores Blanco,3481,,12.0000,3.3333333333333,40
CAN Press GF/CAR,3133,,12.0000,5,60
RIVERWEST BURGER,2714,,12.0000,11.125,133.5
CHEESE burger,2841,,12.0000,6.6875,80.25
SHOT Bulleit Rye,3590,,11.0000,4,44
DBL Jack Daniels,3526,,10.0000,8,80
DBL RAIL Gin,3453,,10.0000,4.1,41
All American Burger,2840,,10.0000,7.088,70.88
Sriracha Strips,2730,,10.0000,8.15,81.5
PINT Beer of the Week,3356,,9.0000,2.6666666666667,24
