Michael 30,The Tracks Tavern and Grill,09/27/2021 12:48:05
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
DBL RAIL Vodka,3455,,43.0000,4.6046511627907,198
SHOT Tullamore Dew,3327,,42.0000,2.8571428571429,120
SHOT Seagrams VO,3325,,39.0000,0.61538461538462,24
Skyy Orange BOMB,3372,,31.0000,2.5806451612903,80
FISH FRY,2722,,31.0000,10.095161290323,312.95
BTL Miller High Life,3122,,28.0000,1.1607142857143,32.5
PINT Miller High Life,3137,,23.0000,3,69
PINT LKFT IPA,3136,,20.0000,3.45,69
Reuben,3402,,19.0000,8.5789473684211,163
Locust St Wings FULL,2729,,18.0000,10,180
Perch FRY,2830,,18.0000,9.9777777777778,179.6
SHOT Cazadores Reposado,3479,,17.0000,3.2941176470588,56
Corned Beef & Cabbage,3401,,15.0000,9.4,141
Sriracha Strips,2730,,15.0000,7.6666666666667,115
Cheese Curds,2728,,13.0000,6.5384615384615,85
PINT Moon Man,3349,,13.0000,3.8076923076923,49.5
PINT Schlitz,3139,,12.0000,2.5,30
PINT Spotted Cow,3140,,12.0000,4,48
3 PART COMBO,2831,,11.0000,12.086363636364,132.95
CHEESE burger,2841,,11.0000,4.9090909090909,54
SHOT Jameson,3317,,11.0000,1.4545454545455,16
DBL Titos,3654,,11.0000,8,88
DBL Skyy Ginger,3672,,10.0000,2.1,21
PINT LKFT Hazy Rabbit,3348,,10.0000,3.45,34.5
COMBO FRY,2736,,10.0000,11.05,110.5
GRILLED CHEESE,2734,,9.0000,5.2222222222222,47
DBL RAIL Gin,3453,,9.0000,5.5,49.5
SHOT Fernet,3507,,8.0000,2,16
SHOT Hennessey,3450,,8.0000,5,40
DBL RAIL Whiskey,3459,,8.0000,4.75,38
Locust St. Wings HALF,2858,,8.0000,5.375,43
French Fries,2731,,7.0000,1.7142857142857,12
PINT Stein,3141,,7.0000,3.8571428571429,27
Skyy Watermelon BOMB,3374,,7.0000,1.7142857142857,12
PINT Beer of the Week,3356,,7.0000,3,21
SHOT Dr McGullicuddys,3226,,7.0000,2.5714285714286,18
SHOT Lemon Drop,3276,,6.0000,4,24
PINT Angry Orchard,3352,,6.0000,4.5,27
HH PINT Guinness,3350,,6.0000,5,30
Skyy Cherry BOMB,3370,,6.0000,2.6666666666667,16
SHOT Skyy Orange,3677,,6.0000,1.5,9
SHOT Jack Daniels,3527,,6.0000,4,24
PIT Schlitz,3144,,6.0000,11,66
Monday Special,3032,,6.0000,5.75,34.5
Cup SOUP,2872,,6.0000,2.1666666666667,13
Jive Turkey,2859,,5.0000,8,40
SIDE Tartar Sauce,2834,,5.0000,0.25,1.25
Bowl SOUP,2713,,5.0000,4.1,20.5
CAN PBR 16oz,3129,,5.0000,4,20
CAN Coors Light,3116,,5.0000,4,20
SHOT Skyy Ginger,3673,,5.0000,1.2,6
Skyy Ginger BOMB,3371,,5.0000,2.4,12
DBL of the WEEK,3251,,5.0000,5,25
Irish Coffee,3202,,5.0000,7,35
BTL Miller Lite,3391,,4.0000,2.4375,9.75
Skyy Raspberry BOMB,3369,,4.0000,3,12
PINT K4 Fantasy Factory,3351,,4.0000,4.5,18
SHOT Fireball,3584,,4.0000,4,16
DBL Cazadores Reposado,3478,,4.0000,7,28
CAN Press GF/CAR,3133,,4.0000,5,20
PINT Miller Lite,3138,,4.0000,3,12
Soda/Juice,3183,,4.0000,1.5,6
Bloody Mary,3199,,4.0000,7,28
CAN Press Blk/Hyb,3130,,4.0000,5,20
RIVERWEST BURGER,2714,,4.0000,10.125,40.5
Nachos,2808,,4.0000,5.375,21.5
Soft Pretzel Bites,2835,,4.0000,5,20
Tater Tots,2836,,4.0000,2.125,8.5
All American Burger,2840,,4.0000,6.875,27.5
Kung Fu Quesadilla,2870,,3.0000,6.1666666666667,18.5
Hush Puppies,2809,,3.0000,6.5,19.5
Mush Swiss Burger,2715,,3.0000,9.3333333333333,28
Cheese Curd Burger,2879,,3.0000,10.166666666667,30.5
BTL Bud Light,3114,,3.0000,4.5,13.5
CAN N.G. Staghorn,3135,,3.0000,5,15
SHOT Cazadores Blanco,3481,,3.0000,2.6666666666667,8
PINT LKFT Oktoberfest,3697,,3.0000,4.5,13.5
RAIL Vodka,3339,,3.0000,2.3333333333333,7
PINT Abita TurboDog,3353,,3.0000,3,9
Bag Snacks,3246,,3.0000,0.75,2.25
SHOT Jagermeister,3234,,2.0000,4,8
Long Island,3204,,2.0000,8,16
SHOT Car Bomb,3269,,2.0000,6,12
Cab/Merlot,3329,,2.0000,5,10
Skyy Peach BOMB,3367,,2.0000,4,8
SHOT South. Comfort,3597,,2.0000,4,8
DBL Tullamore Dew,3536,,2.0000,8,16
DBL Jameson,3538,,2.0000,8,16
DBL Jim Beam,3530,,2.0000,7,14
DBL RAIL Tequila,3461,,2.0000,5.5,11
Hendricks Gin,3427,,2.0000,5.5,11
BTL Corona,3117,,2.0000,4.5,9
BTL MGD,3121,,2.0000,3.25,6.5
PIT Miller High Life,3142,,2.0000,11,22
7-UP,3147,,2.0000,1.5,3
BTL Budweiser,3115,,2.0000,4.5,9
WAR Burger,3028,,2.0000,8,16
CAN Press Pom/Gin,3131,,2.0000,5,10
Tracks Scramble,3045,,2.0000,8,16
Breakfast Sammy,3046,,2.0000,6.5,13
SHRIMP FRY,2735,,2.0000,9.95,19.9
SIDE LG NACHO CHEESE,2816,,2.0000,1.5,3
SIDE HORSE MAYO,2753,,2.0000,0.25,0.5
Fancy Fries,2878,,2.0000,5.25,10.5
Iggy Pop,2860,,2.0000,9.5,19
Plain Chicken Strips,2867,,2.0000,8,16
HOLY MO!,2839,,2.0000,10,20
