Michael 30,The Tracks Tavern and Grill,09/27/2021 12:59:23
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
DBL RAIL Vodka,3455,,52.0000,5.4038461538462,281
PINT Spotted Cow,3140,,48.0000,3.75,180
PINT Schlitz,3139,,33.0000,3,99
SHOT Tullamore Dew,3327,,33.0000,3.7575757575758,124
Skyy Raspberry BOMB,3369,,29.0000,2.8965517241379,84
PINT Stein,3141,,29.0000,3.6724137931034,106.5
Skyy Cherry BOMB,3370,,28.0000,3,84
Skyy Orange BOMB,3372,,27.0000,2.6666666666667,72
PINT Moon Man,3349,,26.0000,1.5,39
SHOT Seagrams VO,3325,,23.0000,0.91304347826087,21
BTL Miller High Life,3122,,22.0000,3.1022727272727,68.25
Locust St Wings FULL,2729,,19.0000,11.157894736842,212
GRILLED CHEESE,2734,,18.0000,3,54
SHOT Fireball,3584,,17.0000,3.7647058823529,64
Locust St. Wings HALF,2858,,16.0000,5.5625,89
CAN PBR 16oz,3129,,16.0000,4,64
PINT LKFT IPA,3136,,16.0000,3.28125,52.5
FISH FRY,2722,,15.0000,10.8,162
PINT LKFT Hazy Rabbit,3348,,15.0000,3.5,52.5
Cheese Curds,2728,,14.0000,8.0714285714286,113
All American Burger,2840,,13.0000,7.5384615384615,98
BTL Bud Light,3114,,12.0000,4.5,54
Sriracha Strips,2730,,12.0000,7.7083333333333,92.5
RIVERWEST BURGER,2714,,11.0000,11.068181818182,121.75
BTL Miller Lite,3391,,11.0000,2.0681818181818,22.75
DBL Skyy Raspb,3668,,10.0000,6.3,63
SHOT Skyy Raspb,3669,,10.0000,2.1,21
SHOT Skyy Orange,3677,,9.0000,1,9
French Fries,2731,,9.0000,1.9444444444444,17.5
SIDE RANCH,2815,,9.0000,0.25,2.25
PIT Miller Lite,3143,,9.0000,11,99
SHOT Jagermeister,3234,,9.0000,3.6111111111111,32.5
Glass Water,3162,,8.0000,0,0
CAN Press Blk/Hyb,3130,,8.0000,5,40
COMBO FRY,2736,,8.0000,13.8125,110.5
CAN Coors Light,3116,,8.0000,4,32
SHOT Cazadores Blanco,3481,,8.0000,4,32
PINT Abita TurboDog,3353,,7.0000,3.4285714285714,24
Tracks Big Boy,3704,,7.0000,10.321428571429,72.25
Patty Melt,3705,,7.0000,8.5,59.5
DBL Titos,3654,,7.0000,6.8571428571429,48
BTL MGD,3121,,7.0000,3.25,22.75
PINT Miller High Life,3137,,6.0000,3,18
Tater Tots,2836,,6.0000,2.0833333333333,12.5
Chili Cheese Poutine,2801,,5.0000,6.4,32
SHOT South. Comfort,3597,,5.0000,4,20
DBL Tullamore Dew,3536,,5.0000,8,40
Nashville Hot Chicken,3706,,5.0000,8.4,42
Skyy Peach BOMB,3367,,5.0000,3.2,16
PINT Angry Orchard,3352,,5.0000,4.2,21
SHOT Cazadores Reposado,3479,,5.0000,4,20
DBL RAIL Whiskey,3459,,4.0000,4,16
SHOT Jameson,3317,,4.0000,0,0
DBL RAIL Brandy,3448,,4.0000,5.5,22
DBL Skyy Orange,3676,,4.0000,5.25,21
SHOT Skyy Peach,3665,,4.0000,3,12
Perch FRY,2830,,4.0000,13.115,52.46
Bowl SOUP,2713,,4.0000,4.125,16.5
Bowl CHILI,2696,,4.0000,4.125,16.5
House Salad SM,2837,,4.0000,3.5,14
SIDE Cocktail Sauce,2845,,4.0000,0.375,1.5
Chix Caesar Salad,2871,,4.0000,8.375,33.5
BTL Blue Moon,3113,,4.0000,4.5,18
PIT Schlitz,3144,,4.0000,11,44
CAN Press Pom/Gin,3131,,4.0000,5,20
BTL Modelo Especial,3124,,4.0000,4.5,18
PIT Miller High Life,3142,,4.0000,11,44
Cocktail of the Week,3250,,4.0000,4,16
SHOT Jager Bomb,3274,,3.0000,5,15
SHOT Rumpleminz,3242,,3.0000,4,12
Coke,3154,,3.0000,1.5,4.5
PIT Spotted Cow,3145,,3.0000,15,45
BTL Corona,3117,,3.0000,4.5,13.5
SIDE Mayo,2849,,3.0000,0.25,0.75
CHEESE burger,2841,,3.0000,7.6666666666667,23
3 PART COMBO,2831,,3.0000,15.99,47.97
SIDE LG NACHO CHEESE,2816,,3.0000,1.1666666666667,3.5
SHRIMP FRY,2735,,3.0000,10.49,31.47
DBL Jack Daniels,3526,,3.0000,8,24
Buffalo Chicken Sammy,3707,,3.0000,6.1666666666667,18.5
SHOT RAIL Tequila,3462,,3.0000,0,0
DBL Bacardi Limon,3494,,3.0000,6,18
DBL Captain Morgan,3496,,3.0000,8,24
SHOT RumChata,3503,,3.0000,4,12
SHOT Fernet,3507,,2.0000,4,8
SHOT Bacardi Limon,3495,,2.0000,1.5,3
DBL Bacardi,3492,,2.0000,6,12
DBL Jose Cuervo,3474,,2.0000,6,12
DBL Cazadores Reposado,3478,,2.0000,7,14
DBL Cazadores Blanco,3480,,2.0000,3.5,7
DBL RAIL Gin,3453,,2.0000,4.75,9.5
SHOT Bulleit Rye,3590,,2.0000,2,4
DBL Seagrams 7,3594,,2.0000,7,14
DBL South. Comfort,3596,,2.0000,9,18
Chix Caeser Wrap,2838,,2.0000,9.5,19
BTL Budweiser,3115,,2.0000,4.5,9
SIDE BLEU CHEZ,2818,,2.0000,0.25,0.5
Cup SOUP,2872,,2.0000,2.5,5
Cup Chili,2873,,2.0000,2.5,5
BTL ODouls,3125,,2.0000,3.25,6.5
Coffee,3153,,2.0000,1.5,3
Lemonade,3170,,2.0000,1.5,3
SHOT Dr McGullicuddys,3226,,2.0000,3,6
SHOT Liquid Cocaine,3277,,2.0000,4,8
Absolut,3286,,2.0000,8,16
Skyy Raspberry,3302,,1.0000,0,0
SHOT Goldschlager,3230,,1.0000,4,4
Bloody Mary,3199,,1.0000,7,7
Long Island,3204,,1.0000,8,8
BTL Spaten Lager,3127,,1.0000,5,5
CAN Press Lime,3132,,1.0000,5,5
CAN Schlitz 16oz,3134,,1.0000,0,0
7-UP,3147,,1.0000,1.5,1.5
SIDE Sm Nacho Chez,2852,,1.0000,0.75,0.75
Plain Chicken Strips,2867,,1.0000,8.5,8.5
SIDE HOT SAUCE,2817,,1.0000,0.25,0.25
House Salad LG,2697,,1.0000,7.5,7.5
SHOT Titos,3655,,1.0000,4,4
DBL Skyy Cherry,3670,,1.0000,7,7
 SHOT Crown Royal,3529,,1.0000,4,4
SHOT Makers Mark,3535,,1.0000,4,4
SHOT Baileys Irish,3541,,1.0000,4,4
DBL Fireball,3583,,1.0000,8,8
DBL Bulleit Bourbon,3587,,1.0000,8,8
SHOT Bulleit Bourbon,3588,,1.0000,4,4
DBL Bulleit Rye,3589,,1.0000,8,8
PIT Moon Man,3357,,1.0000,15,15
SHOT Korbel,3451,,1.0000,3,3
RAIL Vodka,3339,,1.0000,3.5,3.5
RAIL Gin,3341,,1.0000,3.5,3.5
PINT K4 Fantasy Factory,3351,,1.0000,4.5,4.5
SHOT RAIL Whiskey,3460,,1.0000,0,0
DBL RAIL Rum,3457,,1.0000,4,4
SHOT Captain Morgan,3497,,1.0000,4,4
