Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
RAIL Vodka,3339,133.0,4.8195488721805,641.0,2019-03-15
PINT Spotted Cow,3140,89.0,3.7752808988764,336.0,2019-03-15
PINT Stein,3141,72.0,3.5625,256.5,2019-03-15
BTL Miller High Life,3122,70.0,3.25,227.5,2019-03-15
PINT Miller High Life,3137,59.0,3.0,177.0,2019-03-15
PINT Moon Man,3349,58.0,3.3879310344828,196.5,2019-03-15
PINT LKFT IPA,3136,54.0,3.4444444444444,186.0,2019-03-15
Glass Water,3162,54.0,0.0,0.0,2019-03-15
RAIL Whiskey,3340,52.0,5.0576923076923,263.0,2019-03-15
Cazadores Blanco,3280,49.0,4.3061224489796,211.0,2019-03-15
SHOT Seagrams VO,3325,44.0,3.2045454545455,141.0,2019-03-15
HH PINT Abita Wrought Iron,3354,37.0,3.5675675675676,132.0,2019-03-15
Skyy Ginger BOMB,3371,36.0,4.0,144.0,2019-03-15
SHOT Tullamore Dew,3327,36.0,4.0555555555556,146.0,2019-03-15
SHOT Jameson,3317,36.0,5.3611111111111,193.0,2019-03-15
Skyy Raspberry BOMB,3369,35.0,4.0,140.0,2019-03-15
FISH FRY,2722,32.0,9.8415625,314.93,2019-03-15
SHOT of the WEEK,3254,31.0,3.0,93.0,2019-03-15
RAIL Rum,3343,31.0,4.7096774193548,146.0,2019-03-15
Perch FRY,2830,30.0,9.9666666666667,299.0,2019-03-15
Cheese Curds,2728,29.0,6.5,188.5,2019-03-15
CAN PBR 16oz,3129,29.0,4.0,116.0,2019-03-15
Locust St. Wings HALF,2858,28.0,6.0178571428571,168.5,2019-03-15
Sriracha Strips,2730,27.0,8.2222222222222,222.0,2019-03-15
Locust St Wings FULL,2729,25.0,11.04,276.0,2019-03-15
Skyy Orange BOMB,3372,24.0,4.0,96.0,2019-03-15
COMBO FRY,2736,23.0,10.767391304348,247.65,2019-03-15
CHEESE burger,2841,22.0,7.1022727272727,156.25,2019-03-15
PINT Beer of the Week,3356,22.0,3.0,66.0,2019-03-15
BTL Miller Lite,3391,21.0,3.25,68.25,2019-03-15
HH PINT Guinness,3350,21.0,4.2857142857143,90.0,2019-03-15
RAIL Gin,3341,19.0,4.7631578947368,90.5,2019-03-15
PINT Miller Lite,3138,19.0,3.0,57.0,2019-03-15
Soda/Juice,3183,18.0,1.5,27.0,2019-03-15
Bloody Mary,3199,18.0,7.1527777777778,128.75,2019-03-15
3 PART COMBO,2831,18.0,12.227777777778,220.1,2019-03-15
RAIL Tequila,3344,18.0,4.5,81.0,2019-03-15
PINT LKFT Hazy Rabbit,3348,17.0,3.8823529411765,66.0,2019-03-15
Cuervo Gold,3282,17.0,4.0,68.0,2019-03-15
