Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
DBL RAIL Vodka,3455,190.0,5.1473684210526,978.0,2019-08-23
BTL Miller High Life,3122,116.0,3.25,377.0,2019-08-23
Skyy Raspberry BOMB,3369,93.0,4.0,372.0,2019-08-23
Skyy Orange BOMB,3372,93.0,4.0,372.0,2019-08-23
PIT Miller Lite,3143,70.0,11.0,770.0,2019-08-23
Glass Water,3162,69.0,0.0,0.0,2019-08-23
PINT Spotted Cow,3140,68.0,4.0808823529412,277.5,2019-08-23
CAN Press Blk/Hyb,3130,65.0,5.0,325.0,2019-08-23
PINT LKFT IPA,3136,63.0,3.5952380952381,226.5,2019-08-23
PINT LKFT Hazy Rabbit,3348,51.0,3.9705882352941,202.5,2019-08-23
PIT Spotted Cow,3145,49.0,15.0,735.0,2019-08-23
PINT Stein,3141,47.0,3.8297872340426,180.0,2019-08-23
CAN PBR 16oz,3129,47.0,4.0,188.0,2019-08-23
Locust St Wings FULL,2729,47.0,11.031914893617,518.5,2019-08-23
Sriracha Strips,2730,45.0,8.2666666666667,372.0,2019-08-23
PIT Schlitz,3144,45.0,11.0,495.0,2019-08-23
SHOT Seagrams VO,3325,45.0,3.0,135.0,2019-08-23
SHOT Tullamore Dew,3327,45.0,4.0,180.0,2019-08-23
OUTSIDE,3253,42.0,0.0,0.0,2019-08-23
PIT WATER,3400,41.0,0.0,0.0,2019-08-23
Skyy Cherry BOMB,3370,39.0,4.0,156.0,2019-08-23
PIT Miller High Life,3142,39.0,11.0,429.0,2019-08-23
PINT Miller High Life,3137,34.0,3.0,102.0,2019-08-23
PINT Schlitz,3139,34.0,3.0,102.0,2019-08-23
Cheese Curds,2728,34.0,6.5,221.0,2019-08-23
SHOT Cazadores Reposado,3479,33.0,4.0,132.0,2019-08-23
DBL RAIL Whiskey,3459,32.0,5.171875,165.5,2019-08-23
Locust St. Wings HALF,2858,32.0,6.078125,194.5,2019-08-23
PINT Angry Orchard,3352,32.0,4.078125,130.5,2019-08-23
Bloody Mary,3199,31.0,7.0322580645161,218.0,2019-08-23
Skyy Ginger BOMB,3371,30.0,4.0,120.0,2019-08-23
Skyy Apricot BOMB,3368,29.0,4.0,116.0,2019-08-23
DBL RAIL Rum,3457,29.0,4.6206896551724,134.0,2019-08-23
GRILLED CHEESE,2734,29.0,5.2758620689655,153.0,2019-08-23
PINT Miller Lite,3138,28.0,3.0,84.0,2019-08-23
CAN Coors Light,3116,27.0,4.0,108.0,2019-08-23
Skyy Peach BOMB,3367,26.0,4.0,104.0,2019-08-23
PIT LKFT Hazy Rabbit,3359,25.0,15.0,375.0,2019-08-23
French Fries,2731,25.0,2.08,52.0,2019-08-23
All American Burger,2840,25.0,7.04,176.0,2019-08-23
SHOT Cazadores Blanco,3481,24.0,4.0,96.0,2019-08-23
Perch FRY,2830,23.0,9.9717391304348,229.35,2019-08-23
PIT Stein,3146,23.0,15.0,345.0,2019-08-23
SHOT Jameson,3317,21.0,4.0,84.0,2019-08-23
PINT Everyday Hero,3683,21.0,3.5714285714286,75.0,2019-08-23
BTL Miller Lite,3391,20.0,3.25,65.0,2019-08-23
PINT Moon Man,3349,20.0,3.6,72.0,2019-08-23
Tater Tots,2836,20.0,2.05,41.0,2019-08-23
RIVERWEST BURGER,2714,20.0,9.85,197.0,2019-08-23
COMBO FRY,2736,20.0,10.975,219.5,2019-08-23
Plain Chicken Strips,2867,19.0,8.0,152.0,2019-08-23
VBALL LITE,3410,19.0,0.0,0.0,2019-08-23
DBL RAIL Tequila,3461,19.0,5.3684210526316,102.0,2019-08-23
WAR Burger,3028,18.0,8.125,146.25,2019-08-23
Jive Turkey,2859,18.0,8.0277777777778,144.5,2019-08-23
BTL Corona,3117,18.0,4.5,81.0,2019-08-23
Soda/Juice,3183,18.0,1.5,27.0,2019-08-23
CAN Press Pom/Gin,3131,17.0,5.0,85.0,2019-08-23
Nachos,2808,17.0,7.0294117647059,119.5,2019-08-23
DBL Titos,3654,17.0,8.0,136.0,2019-08-23
3 PART COMBO,2831,16.0,12.059375,192.95,2019-08-23
CAN Press GF/CAR,3133,15.0,5.0,75.0,2019-08-23
DBL RAIL Gin,3453,15.0,4.9,73.5,2019-08-23
SHOT Fernet,3507,15.0,4.0,60.0,2019-08-23
DBL Captain Morgan,3496,14.0,8.0,112.0,2019-08-23
VBALL HI-LIFE,3411,14.0,0.0,0.0,2019-08-23
PIT Moon Man,3357,14.0,15.0,210.0,2019-08-23
CHEESE burger,2841,14.0,7.5178571428571,105.25,2019-08-23
Thurs Burger,2886,14.0,5.0714285714286,71.0,2019-08-23
FISH FRY,2722,13.0,10.296153846154,133.85,2019-08-23
Mush Swiss Burger,2715,12.0,8.3125,99.75,2019-08-23
Kung Fu Quesadilla,2870,12.0,6.0833333333333,73.0,2019-08-23
VBALL SCHLITZ,3412,12.0,0.0,0.0,2019-08-23
SHOT Hennessey,3450,12.0,5.0,60.0,2019-08-23
RAIL Gin,3341,11.0,3.5,38.5,2019-08-23
DBL Jameson,3538,11.0,8.0,88.0,2019-08-23
CAN Press Lime,3132,11.0,5.0,55.0,2019-08-23
Soft Pretzel Bites,2835,10.0,5.0,50.0,2019-08-23
DBL RAIL Brandy,3448,10.0,4.45,44.5,2019-08-23
DBL Skyy Cherry,3670,10.0,7.0,70.0,2019-08-23
BTL LKFT Junk,3685,10.0,4.5,45.0,2019-08-23
PIT LKFT IPA,3358,9.0,15.0,135.0,2019-08-23
DBL Bacardi,3492,9.0,6.0,54.0,2019-08-23
Cubano,2716,9.0,8.3888888888889,75.5,2019-08-23
Cheese Curd Burger,2879,9.0,10.222222222222,92.0,2019-08-23
BTL Bud Light,3114,9.0,4.5,40.5,2019-08-23
BTL Modelo Especial,3124,9.0,4.5,40.5,2019-08-23
Coke,3154,9.0,1.5,13.5,2019-08-23
PINT Abita TurboDog,3353,9.0,3.5,31.5,2019-08-23
SHOT Rumpleminz,3242,8.0,4.0,32.0,2019-08-23
Diet Coke,3158,8.0,1.5,12.0,2019-08-23
BTL Pabst,3126,8.0,3.25,26.0,2019-08-23
BTL MGD,3121,8.0,3.25,26.0,2019-08-23
Cup SOUP,2872,8.0,2.5,20.0,2019-08-23
SHOT Jose Cuervo,3475,8.0,3.0,24.0,2019-08-23
DBL Jack Daniels,3526,8.0,8.0,64.0,2019-08-23
PIT Angry Orchard,3361,7.0,15.0,105.0,2019-08-23
DBL Skyy Raspb,3668,7.0,7.5714285714286,53.0,2019-08-23
SHOT Fireball,3584,7.0,4.0,28.0,2019-08-23
Iggy Pop,2860,7.0,8.7142857142857,61.0,2019-08-23
Monday Special,3032,7.0,6.1428571428571,43.0,2019-08-23
Chix Caesar Salad,2871,7.0,8.0,56.0,2019-08-23
Hush Puppies,2809,7.0,6.5714285714286,46.0,2019-08-23
SHOT Goldschlager,3230,7.0,4.0,28.0,2019-08-23
SHOT Dr McGullicuddys,3226,6.0,3.0,18.0,2019-08-23
Moscow Mule,3207,6.0,7.0,42.0,2019-08-23
Absolut,3286,6.0,9.1666666666667,55.0,2019-08-23
CAN Crispin 16oz,3128,6.0,6.0,36.0,2019-08-23
House Salad SM,2837,6.0,3.5,21.0,2019-08-23
Chix Caeser Wrap,2838,6.0,8.0,48.0,2019-08-23
HOLY MO!,2839,6.0,10.5,63.0,2019-08-23
BBQ Pulled Pork,2842,6.0,7.0833333333333,42.5,2019-08-23
House Salad LG,2697,6.0,7.5,45.0,2019-08-23
Thai Chicken Wrap,2880,6.0,8.1666666666667,49.0,2019-08-23
Spicy Popcorn Shrimp,2864,6.0,6.0,36.0,2019-08-23
RAIL Vodka,3339,6.0,3.5,21.0,2019-08-23
SHOT Makers Mark,3535,6.0,4.0,24.0,2019-08-23
Diet Coke - Refill,3465,6.0,0.0,0.0,2019-08-23
SHOT RAIL Tequila,3462,5.0,3.0,15.0,2019-08-23
Coke - Refill,3464,5.0,0.0,0.0,2019-08-23
DBL Amaretto,3560,5.0,7.0,35.0,2019-08-23
DBL Crown Royal,3528,5.0,8.0,40.0,2019-08-23
 SHOT Crown Royal,3529,5.0,4.0,20.0,2019-08-23
DBL Jim Beam,3530,5.0,7.2,36.0,2019-08-23
DBL Hennessey,3449,5.0,11.0,55.0,2019-08-23
VBALL STEIN,3416,5.0,4.0,20.0,2019-08-23
Fancy Fries,2878,5.0,5.0,25.0,2019-08-23
BTL Blue Moon,3113,5.0,4.5,22.5,2019-08-23
Breakfast CLASSIC,3035,5.0,6.5,32.5,2019-08-23
Club Sub,2733,5.0,7.4,37.0,2019-08-23
SHRIMP FRY,2735,5.0,10.05,50.25,2019-08-23
Coffee,3153,5.0,1.5,7.5,2019-08-23
Long Island,3204,5.0,8.0,40.0,2019-08-23
Camel Lights,3247,5.0,10.0,50.0,2019-08-23
Black Manhattan,3194,5.0,8.0,40.0,2019-08-23
HH PINT Abita Wrought Iron,3354,5.0,4.5,22.5,2019-08-23
HH PINT Guinness,3350,4.0,4.0,16.0,2019-08-23
Mango Mimosa,3205,4.0,6.0,24.0,2019-08-23
CAN N.G. Staghorn,3135,4.0,5.0,20.0,2019-08-23
FISH SANDWICH,2737,4.0,7.5,30.0,2019-08-23
SIDE RANCH,2815,4.0,0.375,1.5,2019-08-23
Breakfast BURRITO,3034,4.0,7.5,30.0,2019-08-23
Cup Chili,2873,4.0,2.5,10.0,2019-08-23
VBALL HAZY RABBIT,3418,4.0,4.0,16.0,2019-08-23
VBALL SPOT COW,3415,4.0,4.0,16.0,2019-08-23
SHOT Jack Ds Honey,3533,4.0,4.0,16.0,2019-08-23
SHOT Kraken,3501,4.0,4.0,16.0,2019-08-23
SHOT Wild Turkey 101,3616,4.0,4.0,16.0,2019-08-23
DBL Skyy Orange,3676,4.0,7.0,28.0,2019-08-23
PIT Everyday Hero,3684,4.0,14.0,56.0,2019-08-23
DBL Absolut Citron,3656,3.0,8.0,24.0,2019-08-23
DBL Ketel One,3658,3.0,8.0,24.0,2019-08-23
SHOT Skyy,3663,3.0,3.0,9.0,2019-08-23
DBL Pearl Cucumber,3640,3.0,7.0,21.0,2019-08-23
DBL J. Walker Black,3605,3.0,11.0,33.0,2019-08-23
DBL Gran Marnier,3546,3.0,10.0,30.0,2019-08-23
DBL Kraken,3500,3.0,8.0,24.0,2019-08-23
SHOT Patron XO,3477,3.0,4.0,12.0,2019-08-23
Lemonade - Refill,3472,3.0,0.0,0.0,2019-08-23
DBL Bacardi Limon,3494,3.0,6.0,18.0,2019-08-23
SHOT RAIL Whiskey,3460,3.0,3.0,9.0,2019-08-23
VBALL MOON MAN,3414,3.0,4.0,12.0,2019-08-23
Skyy Watermelon BOMB,3374,3.0,4.0,12.0,2019-08-23
Chili Cheese Poutine,2801,3.0,7.1666666666667,21.5,2019-08-23
Fancy Tots,2883,3.0,5.0,15.0,2019-08-23
Breakfast BURGER,3033,3.0,8.0833333333333,24.25,2019-08-23
Fish Tacos,2851,3.0,6.5,19.5,2019-08-23
CAN Schlitz 16oz,3134,3.0,4.0,12.0,2019-08-23
Root Beer,3178,3.0,1.5,4.5,2019-08-23
7-UP,3147,3.0,1.5,4.5,2019-08-23
PINT K4 Fantasy Factory,3351,3.0,3.5,10.5,2019-08-23
Trinidad Tea,3213,3.0,8.0,24.0,2019-08-23
Titos,3307,3.0,5.0,15.0,2019-08-23
Crown Royal,3312,2.0,5.0,10.0,2019-08-23
Sangria,3210,2.0,6.0,12.0,2019-08-23
Bag Snacks,3246,2.0,0.75,1.5,2019-08-23
PINT Beer of the Week,3356,2.0,3.0,6.0,2019-08-23
SHOT Jager Bomb,3274,2.0,5.0,10.0,2019-08-23
Pinot Grigio,3333,2.0,5.0,10.0,2019-08-23
Lemonade,3170,2.0,1.5,3.0,2019-08-23
Brew Crew Margarita,3200,2.0,7.0,14.0,2019-08-23
SIDE Sm Nacho Chez,2852,2.0,0.75,1.5,2019-08-23
BROILED FISH FRY,2813,2.0,9.95,19.9,2019-08-23
PC Pollack,2800,2.0,2.25,4.5,2019-08-23
Shrimp Tacos,2874,2.0,6.5,13.0,2019-08-23
SIDE Garlic Parm,2877,2.0,0.25,0.5,2019-08-23
Ham n Swiss,3048,2.0,8.0,16.0,2019-08-23
Side Breakfast POTATO,3038,2.0,2.0,4.0,2019-08-23
BTL LKFT Fixed Gear,3120,2.0,5.0,10.0,2019-08-23
VBALL Angry Orchard,3422,2.0,4.0,8.0,2019-08-23
Hendricks Gin,3427,2.0,5.5,11.0,2019-08-23
DBL Tanqueray,3488,2.0,8.0,16.0,2019-08-23
DBL Cazadores Blanco,3480,2.0,7.0,14.0,2019-08-23
Root Beer - Refill,3468,2.0,0.0,0.0,2019-08-23
SHOT Jim Beam,3531,2.0,4.0,8.0,2019-08-23
DBL Tullamore Dew,3536,2.0,8.0,16.0,2019-08-23
SHOT Campari,3549,2.0,3.0,6.0,2019-08-23
DBL Seagrams VO,3578,2.0,7.0,14.0,2019-08-23
DBL Bulleit Rye,3589,2.0,8.0,16.0,2019-08-23
SHOT Skyy Orange,3677,2.0,3.0,6.0,2019-08-23
SHOT South. Comfort,3597,2.0,4.0,8.0,2019-08-23
Vball Fee A&B,3679,1.0,206.0,206.0,2019-08-23
DBL Seagrams 7,3594,1.0,7.0,7.0,2019-08-23
DBL South. Comfort,3596,1.0,8.0,8.0,2019-08-23
DBL Mt. Royal Light,3613,1.0,7.0,7.0,2019-08-23
SHOT Gran Marnier,3547,1.0,5.0,5.0,2019-08-23
DBL Makers Mark,3534,1.0,8.0,8.0,2019-08-23
DBL Hendricks Gin,3485,1.0,10.0,10.0,2019-08-23
SHOT Bacardi,3493,1.0,3.0,3.0,2019-08-23
VBALL LKFT IPA,3417,1.0,4.0,4.0,2019-08-23
RAIL Whiskey,3340,1.0,3.5,3.5,2019-08-23
PIT Abita TurboDog,3363,1.0,15.0,15.0,2019-08-23
PIT Abita Wrought Iron,3364,1.0,15.0,15.0,2019-08-23
BTL ODouls,3125,1.0,3.25,3.25,2019-08-23
BTL Eastside Dark,3118,1.0,5.0,5.0,2019-08-23
Tracks Scramble,3045,1.0,8.0,8.0,2019-08-23
El Diablo,3047,1.0,7.0,7.0,2019-08-23
SIDE English Muffin,3049,1.0,1.75,1.75,2019-08-23
SIDE HORSE MAYO,2753,1.0,0.25,0.25,2019-08-23
Bowl CHILI,2696,1.0,4.0,4.0,2019-08-23
Bowl SOUP,2713,1.0,4.0,4.0,2019-08-23
SIDE BLEU CHEZ,2818,1.0,0.25,0.25,2019-08-23
SIDE BBQ,2821,1.0,0.25,0.25,2019-08-23
SIDE Jalapeno,2846,1.0,0.5,0.5,2019-08-23
SIDE Bacon,2848,1.0,1.0,1.0,2019-08-23
SIDE Mayo,2849,1.0,0.25,0.25,2019-08-23
Tonic,3187,1.0,1.5,1.5,2019-08-23
Red Bull SF,3176,1.0,3.5,3.5,2019-08-23
CAN Ginger Beer,3151,1.0,1.55,1.55,2019-08-23
BTL Spaten Lager,3127,1.0,5.0,5.0,2019-08-23
Jim Beam,3318,1.0,5.0,5.0,2019-08-23
Cab/Merlot,3329,1.0,5.0,5.0,2019-08-23
Chardonnay,3331,1.0,5.0,5.0,2019-08-23
Skyy Cherry,3297,1.0,4.0,4.0,2019-08-23
Camel Menthol,3248,1.0,10.0,10.0,2019-08-23
Meyers Dark,3261,1.0,4.0,4.0,2019-08-23
