Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
SHOT Cazadores Blanco,3481,37.0,1.6216216216216,60.0,2020-06-19
SHOT Tullamore Dew,3327,32.0,3.75,120.0,2020-06-19
PINT LKFT Hazy Rabbit,3348,28.0,2.0,56.0,2020-06-19
SHOT Cazadores Reposado,3479,28.0,4.0,112.0,2020-06-19
PINT Spotted Cow,3140,24.0,3.2083333333333,77.0,2020-06-19
Locust St. Wings HALF,2858,19.0,6.0,114.0,2020-06-19
CAN PBR 16oz,3129,17.0,4.0,68.0,2020-06-19
PINT Schlitz,3139,17.0,2.0,34.0,2020-06-19
BTL Miller Lite,3391,17.0,3.25,55.25,2020-06-19
DBL Titos,3654,15.0,8.0,120.0,2020-06-19
PINT Stein,3141,15.0,2.0,30.0,2020-06-19
SHOT Jameson,3317,14.0,1.1428571428571,16.0,2020-06-19
RIVERWEST BURGER,2714,13.0,11.13,144.69,2020-06-19
Cheese Curds,2728,13.0,7.4230769230769,96.5,2020-06-19
PINT LKFT IPA,3136,12.0,2.0,24.0,2020-06-19
FISH FRY,2722,11.0,10.681818181818,117.5,2020-06-19
Tracks Big Boy,3704,11.0,9.5209090909091,104.73,2020-06-19
PINT K4 Fantasy Factory,3351,11.0,1.8181818181818,20.0,2020-06-19
Buffalo Chicken Sammy,3707,10.0,8.2,82.0,2020-06-19
Nashville Hot Chicken,3706,9.0,8.8333333333333,79.5,2020-06-19
DBL RAIL Vodka,3455,9.0,4.8333333333333,43.5,2020-06-19
SIDE RANCH,2815,9.0,0.25,2.25,2020-06-19
Perch FRY,2830,9.0,13.212222222222,118.91,2020-06-19
3 PART COMBO,2831,9.0,16.156666666667,145.41,2020-06-19
All American Burger,2840,9.0,7.3011111111111,65.71,2020-06-19
Bulleit Bourbon,3308,9.0,5.8888888888889,53.0,2020-06-19
RAIL Vodka,3339,9.0,3.5,31.5,2020-06-19
Skyy Apricot BOMB,3368,8.0,1.0,8.0,2020-06-19
SHOT Captain Morgan,3497,7.0,1.7142857142857,12.0,2020-06-19
DBL Tullamore Dew,3536,7.0,8.0,56.0,2020-06-19
Locust St Wings FULL,2729,7.0,11.178571428571,78.25,2020-06-19
Sriracha Strips,2730,6.0,6.75,40.5,2020-06-19
GRILLED CHEESE,2734,6.0,2.0,12.0,2020-06-19
COMBO FRY,2736,6.0,11.333333333333,68.0,2020-06-19
BTL Budweiser,3115,6.0,4.5,27.0,2020-06-19
CAN Press Blk/Hyb,3130,6.0,4.1666666666667,25.0,2020-06-19
SHOT Jim Beam,3531,6.0,4.0,24.0,2020-06-19
DBL Cazadores Blanco,3480,6.0,7.0,42.0,2020-06-19
Patty Melt,3705,6.0,7.9166666666667,47.5,2020-06-19
DBL Captain Morgan,3496,5.0,8.0,40.0,2020-06-19
RAIL Brandy,3342,5.0,3.5,17.5,2020-06-19
Chili Cheese Poutine,2801,5.0,7.1,35.5,2020-06-19
SHOT Rumpleminz,3242,5.0,4.0,20.0,2020-06-19
Coke,3154,4.0,1.5,6.0,2020-06-19
RAIL Whiskey,3340,4.0,3.5,14.0,2020-06-19
CHEESE burger,2841,4.0,8.25,33.0,2020-06-19
Tater Tots,2836,4.0,2.0,8.0,2020-06-19
Chix Caeser Wrap,2838,4.0,8.75,35.0,2020-06-19
Plain Chicken Strips,2867,4.0,8.0,32.0,2020-06-19
SHRIMP FRY,2735,4.0,10.115,40.46,2020-06-19
SIDE BLEU CHEZ,2818,4.0,0.25,1.0,2020-06-19
Skyy Cherry BOMB,3370,4.0,2.0,8.0,2020-06-19
PINT Angry Orchard,3352,4.0,2.0,8.0,2020-06-19
DBL Hendricks Gin,3485,4.0,9.0,36.0,2020-06-19
SHOT Campari,3549,4.0,3.0,12.0,2020-06-19
SHOT RAIL GIN,3454,3.0,3.0,9.0,2020-06-19
SHOT Bulleit Bourbon,3588,3.0,4.0,12.0,2020-06-19
SHOT Wild Turkey 101,3616,3.0,0.0,0.0,2020-06-19
DBL Skyy Orange,3676,3.0,7.0,21.0,2020-06-19
PINT LKFT Oktoberfest,3697,3.0,4.5,13.5,2020-06-19
DBL Bombay Sapphire,3486,3.0,8.0,24.0,2020-06-19
SHOT Fernet,3507,3.0,4.0,12.0,2020-06-19
Tullamore Dew,3537,3.0,5.0,15.0,2020-06-19
SHOT RAIL Vodka,3456,3.0,2.0,6.0,2020-06-19
BTL Eastside Dark,3118,3.0,5.0,15.0,2020-06-19
BTL LKFT Fixed Gear,3120,3.0,5.0,15.0,2020-06-19
PINT Moon Man,3349,3.0,3.5,10.5,2020-06-19
HH PINT Guinness,3350,3.0,2.3333333333333,7.0,2020-06-19
Diet Coke,3158,3.0,1.5,4.5,2020-06-19
CAN Press Lime,3132,3.0,5.0,15.0,2020-06-19
CAN Press GF/CAR,3133,3.0,3.3333333333333,10.0,2020-06-19
PIT Spotted Cow,3145,3.0,15.0,45.0,2020-06-19
PIT Stein,3146,3.0,7.0,21.0,2020-06-19
7-UP,3147,2.0,1.5,3.0,2020-06-19
PINT Miller High Life,3137,2.0,2.0,4.0,2020-06-19
Black Manhattan,3194,2.0,8.0,16.0,2020-06-19
Long Island,3204,2.0,8.0,16.0,2020-06-19
RAIL Gin,3341,2.0,3.5,7.0,2020-06-19
Pinot Grigio,3333,2.0,5.0,10.0,2020-06-19
BTL MGD,3121,2.0,1.625,3.25,2020-06-19
BTL Miller High Life,3122,2.0,3.25,6.5,2020-06-19
CAN Coors Light,3116,2.0,4.0,8.0,2020-06-19
Sandwich of the Week,2887,2.0,3.25,6.5,2020-06-19
French Fries,2731,2.0,2.0,4.0,2020-06-19
Bowl CHILI,2696,2.0,4.0,8.0,2020-06-19
SHOT Jose Cuervo,3475,2.0,3.0,6.0,2020-06-19
DBL Cazadores Reposado,3478,2.0,7.0,14.0,2020-06-19
DBL RAIL Gin,3453,2.0,5.5,11.0,2020-06-19
DBL Jameson,3538,2.0,8.0,16.0,2020-06-19
Jameson,3539,2.0,5.0,10.0,2020-06-19
SHOT Jack Daniels,3527,2.0,4.0,8.0,2020-06-19
SHOT Kahlua,3543,2.0,4.0,8.0,2020-06-19
DBL Skyy Ginger,3672,2.0,7.0,14.0,2020-06-19
SHOT Skyy Peach,3665,2.0,3.0,6.0,2020-06-19
SHOT Fireball,3584,2.0,4.0,8.0,2020-06-19
DBL Bulleit Bourbon,3587,2.0,4.0,8.0,2020-06-19
SHOT Midori,3553,1.0,3.0,3.0,2020-06-19
SHOT Blue Caracao,3567,1.0,3.0,3.0,2020-06-19
SHOT Peppermint,3571,1.0,3.0,3.0,2020-06-19
DBL Skyy Raspb,3668,1.0,7.0,7.0,2020-06-19
DBL Absolut Citron,3656,1.0,8.0,8.0,2020-06-19
DBL Skyy,3662,1.0,4.0,4.0,2020-06-19
DBL Skyy Peach,3664,1.0,7.0,7.0,2020-06-19
DBL Crown Royal,3528,1.0,9.0,9.0,2020-06-19
DBL Bacardi,3492,1.0,6.0,6.0,2020-06-19
SHOT Baileys Irish,3541,1.0,0.0,0.0,2020-06-19
DBL Jack D Honey,3532,1.0,8.0,8.0,2020-06-19
DBL Makers Mark,3534,1.0,8.0,8.0,2020-06-19
SHOT Makers Mark,3535,1.0,4.0,4.0,2020-06-19
DBL RAIL Brandy,3448,1.0,6.5,6.5,2020-06-19
DBL Korbel,3452,1.0,7.0,7.0,2020-06-19
PIT Moon Man,3357,1.0,15.0,15.0,2020-06-19
DBL RAIL Rum,3457,1.0,4.0,4.0,2020-06-19
DBL RAIL Whiskey,3459,1.0,6.5,6.5,2020-06-19
SHOT RAIL Tequila,3462,1.0,3.0,3.0,2020-06-19
House Salad LG,2697,1.0,8.5,8.5,2020-06-19
SIDE BBQ,2821,1.0,0.25,0.25,2020-06-19
Soft Pretzel Bites,2835,1.0,4.5,4.5,2020-06-19
SIDE HONEY MUSTARD,2751,1.0,0.25,0.25,2020-06-19
BTL Bud Light,3114,1.0,4.5,4.5,2020-06-19
BTL ODouls,3125,1.0,3.25,3.25,2020-06-19
BTL Pabst,3126,1.0,3.25,3.25,2020-06-19
BTL Spaten Lager,3127,1.0,5.0,5.0,2020-06-19
Cup SOUP,2872,1.0,2.5,2.5,2020-06-19
Cup Chili,2873,1.0,2.5,2.5,2020-06-19
Camel Lights,3247,1.0,10.0,10.0,2020-06-19
SHOT Car Bomb,3269,1.0,6.0,6.0,2020-06-19
Red Bull,3175,1.0,3.5,3.5,2020-06-19
Red Bull SF,3176,1.0,3.5,3.5,2020-06-19
Soda/Juice,3183,1.0,1.5,1.5,2020-06-19
PINT Miller Lite,3138,1.0,2.0,2.0,2020-06-19
Coffee,3153,1.0,1.5,1.5,2020-06-19
PIT Miller High Life,3142,1.0,7.0,7.0,2020-06-19
PIT Schlitz,3144,1.0,0.0,0.0,2020-06-19
