Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
RAIL Vodka,3339,136.0,5.0294117647059,684.0,2019-05-03
BTL Miller High Life,3122,120.0,3.25,390.0,2019-05-03
PINT Miller High Life,3137,97.0,2.9690721649485,288.0,2019-05-03
PINT LKFT IPA,3136,94.0,4.0531914893617,381.0,2019-05-03
Skyy Raspberry BOMB,3369,89.0,4.0,356.0,2019-05-03
Glass Water,3162,82.0,0.0,0.0,2019-05-03
PIT Miller Lite,3143,79.0,11.0,869.0,2019-05-03
PINT Stein,3141,78.0,3.8846153846154,303.0,2019-05-03
SHOT Tullamore Dew,3327,78.0,3.4871794871795,272.0,2019-05-03
PINT Spotted Cow,3140,76.0,3.9473684210526,300.0,2019-05-03
PINT Beer of the Week,3356,64.0,3.0,192.0,2019-05-03
Skyy Ginger BOMB,3371,63.0,3.9365079365079,248.0,2019-05-03
RWPC Pint,3408,60.0,2.0,120.0,2019-05-03
RAIL Whiskey,3340,60.0,4.95,297.0,2019-05-03
Sriracha Strips,2730,59.0,8.5,501.5,2019-05-03
PINT Moon Man,3349,55.0,3.7363636363636,205.5,2019-05-03
Locust St Wings FULL,2729,53.0,11.037735849057,585.0,2019-05-03
Skyy Orange BOMB,3372,48.0,4.0,192.0,2019-05-03
CAN PBR 16oz,3129,43.0,3.8139534883721,164.0,2019-05-03
Locust St. Wings HALF,2858,39.0,6.0,234.0,2019-05-03
PIT Miller High Life,3142,38.0,11.0,418.0,2019-05-03
PIT Schlitz,3144,38.0,10.710526315789,407.0,2019-05-03
Titos,3307,38.0,8.0065789473684,304.25,2019-05-03
Skyy Cherry BOMB,3370,37.0,4.0,148.0,2019-05-03
SHOT Seagrams VO,3325,36.0,3.3333333333333,120.0,2019-05-03
RAIL Tequila,3344,35.0,4.7428571428571,166.0,2019-05-03
Cheese Curds,2728,35.0,6.5142857142857,228.0,2019-05-03
Cazadores Blanco,3280,32.0,4.09375,131.0,2019-05-03
PINT O&apos;&apos;so Hop Debacle,3355,31.0,3.5322580645161,109.5,2019-05-03
CHEESE burger,2841,31.0,7.3870967741935,229.0,2019-05-03
PINT Miller Lite,3138,31.0,3.0,93.0,2019-05-03
PIT Spotted Cow,3145,30.0,15.0,450.0,2019-05-03
OUTSIDE,3253,30.0,0.0,0.0,2019-05-03
Skyy Peach BOMB,3367,28.0,4.0,112.0,2019-05-03
