Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
DBL RAIL Vodka,3455,153.0,5.1911764705882,794.25,2019-10-04
Skyy Ginger BOMB,3371,133.0,2.4360902255639,324.0,2019-10-04
SHOT Tullamore Dew,3327,121.0,2.7438016528926,332.0,2019-10-04
Skyy Raspberry BOMB,3369,108.0,2.8888888888889,312.0,2019-10-04
Skyy Orange BOMB,3372,76.0,2.7894736842105,212.0,2019-10-04
BTL Miller High Life,3122,73.0,3.0719178082192,224.25,2019-10-04
Glass Water,3162,70.0,0.0,0.0,2019-10-04
DBL RAIL Whiskey,3459,64.0,4.921875,315.0,2019-10-04
PINT Spotted Cow,3140,59.0,4.0423728813559,238.5,2019-10-04
PINT Miller High Life,3137,56.0,2.7321428571429,153.0,2019-10-04
Locust St Wings FULL,2729,54.0,10.675925925926,576.5,2019-10-04
PINT Beer of the Week,3356,54.0,3.0,162.0,2019-10-04
PIT Miller Lite,3143,46.0,11.0,506.0,2019-10-04
CAN Coors Light,3116,46.0,3.9130434782609,180.0,2019-10-04
PINT LKFT IPA,3136,45.0,3.7,166.5,2019-10-04
Cheese Curds,2728,45.0,6.4611111111111,290.75,2019-10-04
GRILLED CHEESE,2734,44.0,4.1022727272727,180.5,2019-10-04
PINT Schlitz,3139,44.0,2.9318181818182,129.0,2019-10-04
Sriracha Strips,2730,43.0,8.2558139534884,355.0,2019-10-04
Locust St. Wings HALF,2858,43.0,5.9302325581395,255.0,2019-10-04
PINT LKFT Hazy Rabbit,3348,42.0,3.5357142857143,148.5,2019-10-04
PINT Stein,3141,40.0,4.125,165.0,2019-10-04
PIT Miller High Life,3142,40.0,11.0,440.0,2019-10-04
Soda/Juice,3183,38.0,1.5,57.0,2019-10-04
SHOT Seagrams VO,3325,38.0,1.9736842105263,75.0,2019-10-04
BTL Miller Lite,3391,35.0,2.9714285714286,104.0,2019-10-04
PINT Miller Lite,3138,34.0,3.0,102.0,2019-10-04
CAN PBR 16oz,3129,34.0,4.0,136.0,2019-10-04
PINT Moon Man,3349,32.0,3.5625,114.0,2019-10-04
SHOT Cazadores Blanco,3481,31.0,3.4838709677419,108.0,2019-10-04
Skyy Cherry BOMB,3370,30.0,3.3333333333333,100.0,2019-10-04
SHOT Skyy,3663,29.0,3.0,87.0,2019-10-04
SHOT Jameson,3317,29.0,3.7241379310345,108.0,2019-10-04
PIT Spotted Cow,3145,29.0,15.0,435.0,2019-10-04
WAR Burger,3028,27.0,7.8055555555556,210.75,2019-10-04
DBL Titos,3654,25.0,7.52,188.0,2019-10-04
Perch FRY,2830,23.0,10.036956521739,230.85,2019-10-04
3 PART COMBO,2831,23.0,12.210869565217,280.85,2019-10-04
PIT Schlitz,3144,23.0,11.0,253.0,2019-10-04
Bloody Mary,3199,23.0,7.1739130434783,165.0,2019-10-04
French Fries,2731,22.0,1.9318181818182,42.5,2019-10-04
DBL Skyy Ginger,3672,22.0,6.9545454545455,153.0,2019-10-04
Skyy Peach BOMB,3367,21.0,3.2380952380952,68.0,2019-10-04
PIT Beer of the Week,3362,21.0,11.0,231.0,2019-10-04
HH PINT Abita Wrought Iron,3354,20.0,4.05,81.0,2019-10-04
DBL RAIL Tequila,3461,20.0,5.55,111.0,2019-10-04
