Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
Sriracha Strips,2730,4.0,8.75,35.0,2020-03-27
RIVERWEST BURGER,2714,3.0,9.5,28.5,2020-03-27
Cheese Curds,2728,3.0,6.5,19.5,2020-03-27
SIDE RANCH,2815,2.0,0.25,0.5,2020-03-27
SIDE BLEU CHEZ,2818,1.0,0.25,0.25,2020-03-27
BBQ Pulled Pork,2842,1.0,7.25,7.25,2020-03-27
Iggy Pop,2860,1.0,9.0,9.0,2020-03-27
Kung Fu Quesadilla,2870,1.0,6.0,6.0,2020-03-27
Fancy Fries,2878,1.0,5.0,5.0,2020-03-27
Locust St Wings FULL,2729,1.0,11.0,11.0,2020-03-27
Mush Swiss Burger,2715,1.0,8.0,8.0,2020-03-27
French Fries,2731,1.0,2.0,2.0,2020-03-27
Club Sub,2733,1.0,10.0,10.0,2020-03-27
GRILLED CHEESE,2734,1.0,7.0,7.0,2020-03-27
SIDE HONEY MUSTARD,2751,1.0,0.25,0.25,2020-03-27
