Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
BTL Miller High Life,3122,57.0,3.25,185.25,2020-12-04
SHOT Seagrams VO,3325,38.0,1.9736842105263,75.0,2020-12-04
Skyy Orange BOMB,3372,33.0,2.1818181818182,72.0,2020-12-04
PINT Stein,3141,32.0,3.65625,117.0,2020-12-04
DBL RAIL Vodka,3455,27.0,4.9444444444444,133.5,2020-12-04
PINT Spotted Cow,3140,25.0,4.32,108.0,2020-12-04
GRILLED CHEESE,2734,25.0,2.88,72.0,2020-12-04
SHOT Tullamore Dew,3327,23.0,3.4782608695652,80.0,2020-12-04
PINT Moon Man,3349,19.0,2.0526315789474,39.0,2020-12-04
DBL RAIL Whiskey,3459,19.0,4.9473684210526,94.0,2020-12-04
Skyy Raspberry BOMB,3369,18.0,1.7777777777778,32.0,2020-12-04
Locust St. Wings HALF,2858,18.0,5.7222222222222,103.0,2020-12-04
PINT Schlitz,3139,16.0,3.0,48.0,2020-12-04
BTL Miller Lite,3391,15.0,1.5166666666667,22.75,2020-12-04
Skyy Cherry BOMB,3370,14.0,2.2857142857143,32.0,2020-12-04
SHOT Canad. Club,3618,14.0,2.1428571428571,30.0,2020-12-04
SHOT Jameson,3317,14.0,3.7142857142857,52.0,2020-12-04
CAN PBR 16oz,3129,13.0,4.0,52.0,2020-12-04
All American Burger,2840,13.0,7.4230769230769,96.5,2020-12-04
FISH FRY,2722,13.0,10.692307692308,139.0,2020-12-04
PINT LKFT IPA,3136,12.0,3.875,46.5,2020-12-04
PINT Miller High Life,3137,12.0,3.0,36.0,2020-12-04
Locust St Wings FULL,2729,11.0,11.181818181818,123.0,2020-12-04
RIVERWEST BURGER,2714,10.0,11.175,111.75,2020-12-04
SHOT Jim Beam,3531,10.0,4.0,40.0,2020-12-04
PINT LKFT Hazy Rabbit,3348,9.0,4.0,36.0,2020-12-04
SHOT Skyy Raspb,3669,9.0,2.0,18.0,2020-12-04
SHOT Skyy Orange,3677,9.0,0.0,0.0,2020-12-04
Buffalo Chicken Sammy,3707,9.0,6.5144444444444,58.63,2020-12-04
COMBO FRY,2736,9.0,13.611111111111,122.5,2020-12-04
Perch FRY,2830,9.0,13.156666666667,118.41,2020-12-04
