Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
DBL RAIL Vodka,3455,166.0,5.2228915662651,867.0,2019-07-26
BTL Miller High Life,3122,125.0,3.25,406.25,2019-07-26
Skyy Raspberry BOMB,3369,120.0,4.0,480.0,2019-07-26
SHOT Tullamore Dew,3327,96.0,4.0,384.0,2019-07-26
Glass Water,3162,85.0,0.0,0.0,2019-07-26
Skyy Cherry BOMB,3370,81.0,4.0,324.0,2019-07-26
PINT Stein,3141,78.0,4.0192307692308,313.5,2019-07-26
PINT Spotted Cow,3140,70.0,3.6,252.0,2019-07-26
PINT Miller High Life,3137,67.0,3.0,201.0,2019-07-26
Skyy Orange BOMB,3372,62.0,4.0,248.0,2019-07-26
Sriracha Strips,2730,53.0,8.2358490566038,436.5,2019-07-26
OUTSIDE,3253,52.0,0.0,0.0,2019-07-26
PINT LKFT IPA,3136,50.0,3.78,189.0,2019-07-26
PIT Miller Lite,3143,49.0,10.775510204082,528.0,2019-07-26
Locust St Wings FULL,2729,49.0,11.107142857143,544.25,2019-07-26
PINT LKFT Hazy Rabbit,3348,48.0,3.96875,190.5,2019-07-26
PIT Schlitz,3144,45.0,11.0,495.0,2019-07-26
DBL RAIL Whiskey,3459,42.0,5.0595238095238,212.5,2019-07-26
CAN PBR 16oz,3129,41.0,4.0,164.0,2019-07-26
Cheese Curds,2728,37.0,6.527027027027,241.5,2019-07-26
DBL Titos,3654,36.0,8.0,288.0,2019-07-26
PINT Miller Lite,3138,35.0,3.0,105.0,2019-07-26
PINT Schlitz,3139,34.0,3.0,102.0,2019-07-26
CAN Press Blk/Hyb,3130,32.0,5.0,160.0,2019-07-26
SHOT Seagrams VO,3325,31.0,3.0,93.0,2019-07-26
PIT WATER,3400,31.0,0.0,0.0,2019-07-26
PINT Moon Man,3349,30.0,3.9,117.0,2019-07-26
DBL of the WEEK,3251,30.0,5.0,150.0,2019-07-26
PINT Beer of the Week,3356,27.0,3.0,81.0,2019-07-26
PIT Spotted Cow,3145,26.0,15.0,390.0,2019-07-26
Locust St. Wings HALF,2858,26.0,6.0192307692308,156.5,2019-07-26
RIVERWEST BURGER,2714,25.0,9.84,246.0,2019-07-26
Soft Pretzel Bites,2835,25.0,5.04,126.0,2019-07-26
SHOT Cazadores Blanco,3481,25.0,4.0,100.0,2019-07-26
DBL RAIL Brandy,3448,24.0,4.9166666666667,118.0,2019-07-26
VBALL LITE,3410,23.0,0.0,0.0,2019-07-26
PIT Miller High Life,3142,23.0,11.0,253.0,2019-07-26
Kung Fu Quesadilla,2870,22.0,6.0227272727273,132.5,2019-07-26
CHEESE burger,2841,20.0,7.7875,155.75,2019-07-26
Skyy Ginger BOMB,3371,20.0,4.0,80.0,2019-07-26
SHOT Hennessey,3450,20.0,5.0,100.0,2019-07-26
DBL RAIL Rum,3457,20.0,4.525,90.5,2019-07-26
DBL RAIL Tequila,3461,19.0,5.2894736842105,100.5,2019-07-26
Tater Tots,2836,19.0,2.0263157894737,38.5,2019-07-26
CAN Press GF/CAR,3133,19.0,5.0,95.0,2019-07-26
PINT Angry Orchard,3352,18.0,3.75,67.5,2019-07-26
DBL RAIL Gin,3453,17.0,5.2352941176471,89.0,2019-07-26
BTL Miller Lite,3391,17.0,3.25,55.25,2019-07-26
BTL Pabst,3126,17.0,3.25,55.25,2019-07-26
PIT Stein,3146,17.0,15.0,255.0,2019-07-26
Camel Lights,3247,17.0,10.0,170.0,2019-07-26
Cubano,2716,17.0,8.3529411764706,142.0,2019-07-26
FISH FRY,2722,17.0,10.008823529412,170.15,2019-07-26
French Fries,2731,17.0,2.0588235294118,35.0,2019-07-26
Nachos,2808,16.0,7.125,114.0,2019-07-26
WAR Burger,3028,16.0,8.3125,133.0,2019-07-26
PINT Abita TurboDog,3353,16.0,3.9375,63.0,2019-07-26
HH PINT Abita Wrought Iron,3354,16.0,3.9375,63.0,2019-07-26
PIT Beer of the Week,3362,16.0,11.0,176.0,2019-07-26
DBL Skyy Cherry,3670,16.0,7.0,112.0,2019-07-26
Vball Fee A&B,3679,15.0,206.0,3090.0,2019-07-26
Skyy Apricot BOMB,3368,15.0,4.0,60.0,2019-07-26
Iggy Pop,2860,15.0,9.0,135.0,2019-07-26
Chix Caeser Wrap,2838,15.0,8.3333333333333,125.0,2019-07-26
All American Burger,2840,15.0,7.2166666666667,108.25,2019-07-26
GRILLED CHEESE,2734,15.0,5.6666666666667,85.0,2019-07-26
COMBO FRY,2736,15.0,10.983333333333,164.75,2019-07-26
Soda/Juice,3183,15.0,1.5,22.5,2019-07-26
BTL Corona,3117,15.0,4.5,67.5,2019-07-26
BTL Modelo Especial,3124,14.0,4.5,63.0,2019-07-26
SHOT of the WEEK,3254,14.0,3.0,42.0,2019-07-26
SHOT Jameson,3317,14.0,4.0,56.0,2019-07-26
Plain Chicken Strips,2867,14.0,8.0357142857143,112.5,2019-07-26
 SHOT Crown Royal,3529,14.0,4.0,56.0,2019-07-26
DBL Jim Beam,3530,14.0,7.0,98.0,2019-07-26
