Michael 30,The Tracks Tavern and Grill,09/23/2021 11:30:02
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
Skyy Orange BOMB,3372,,157.0000,4,628
RAIL Vodka,3339,,153.0000,5.1356209150327,785.75
Skyy Raspberry BOMB,3369,,144.0000,4,576
BTL Miller High Life,3122,,140.0000,3.25,455
SHOT Tullamore Dew,3327,,101.0000,4.2475247524752,429
PINT Spotted Cow,3140,,74.0000,3.8716216216216,286.5
PINT Miller High Life,3137,,72.0000,3,216
PIT Miller Lite,3143,,67.0000,11,737
PINT Stein,3141,,66.0000,3.7045454545455,244.5
OUTSIDE,3253,,54.0000,0,0
Skyy,3296,,47.0000,3.4893617021277,164
PIT Miller High Life,3142,,45.0000,11,495
PIT Schlitz,3144,,45.0000,11,495
DBL RAIL Vodka,3455,,39.0000,4.8846153846154,190.5
PINT Abita TurboDog,3353,,38.0000,3.5131578947368,133.5
PINT Beer of the Week,3356,,38.0000,3,114
RAIL Whiskey,3340,,38.0000,5.1578947368421,196
SHOT Seagrams VO,3325,,38.0000,3.7105263157895,141
BTL Miller Lite,3391,,37.0000,3.25,120.25
CAN Press Blk/Hyb,3130,,36.0000,5,180
PINT LKFT IPA,3136,,35.0000,3.7285714285714,130.5
PINT Moon Man,3349,,32.0000,3.796875,121.5
PINT Miller Lite,3138,,31.0000,3,93
Skyy Cherry BOMB,3370,,30.0000,4,120
RAIL Tequila,3344,,28.0000,4.8035714285714,134.5
Titos,3307,,27.0000,7.8888888888889,213
PIT Spotted Cow,3145,,24.0000,15,360
PIT Stein,3146,,23.0000,15,345
PIT LKFT IPA,3358,,23.0000,15,345
VBALL LITE,3410,,23.0000,0,0
Skyy Peach BOMB,3367,,22.0000,3.8181818181818,84
Skyy Apricot BOMB,3368,,22.0000,4,88
SHOT Jameson,3317,,22.0000,5.1363636363636,113
Cazadores Blanco,3280,,21.0000,4.2857142857143,90
PINT Schlitz,3139,,20.0000,3,60
BTL Corona,3117,,20.0000,4.5,90
Skyy Ginger BOMB,3371,,20.0000,4,80
HH PINT Angry Orchard,3352,,20.0000,3.825,76.5
SHOT Dr McGullicuddys,3226,,19.0000,3,57
PIT Moon Man,3357,,17.0000,15,255
HH PINT Abita Wrought Iron,3354,,17.0000,3.8823529411765,66
PIT Beer of the Week,3362,,16.0000,11,176
PINT Summer Shandy,3425,,16.0000,4.40625,70.5
PINT LKFT Hazy Rabbit,3348,,16.0000,4.3125,69
RAIL Gin,3341,,15.0000,4.1,61.5
Fernet,3228,,15.0000,4,60
Cazadores Reposado,3281,,15.0000,4,60
CAN PBR 16oz,3129,,15.0000,4,60
Hennessey,3190,,15.0000,6.4,96
Captain Morgan,3258,,14.0000,8,112
Skyy Cherry,3297,,14.0000,6,84
VBALL HI-LIFE,3411,,14.0000,0,0
VBALL STEIN,3416,,13.0000,4,52
Skyy Orange,3299,,13.0000,4.6923076923077,61
PINT K4 Fantasy Factory,3351,,13.0000,4.2692307692308,55.5
Bloody Mary,3199,,13.0000,7.0769230769231,92
CAN Press Pom/Gin,3131,,12.0000,5,60
PINT Guinness,3350,,12.0000,3.1666666666667,38
Jim Beam,3318,,11.0000,6.6363636363636,73
Jack Daniels,3315,,11.0000,7.6363636363636,84
Bacardi,3255,,10.0000,6,60
PIT LKFT Hazy Rabbit,3359,,10.0000,15,150
CAN Coors Light,3116,,10.0000,4,40
BTL Blue Moon,3113,,9.0000,4.5,40.5
CAN N.G. Staghorn,3135,,9.0000,5,45
BTL Bud Light,3388,,9.0000,4.5,40.5
VBALL SCHLITZ,3412,,8.0000,0,0
Fireball,3313,,8.0000,4,32
Seagrams 7,3324,,8.0000,6,48
CAN Press Lime,3132,,8.0000,5,40
Kraken,3260,,8.0000,5.75,46
SHOT Goldschlager,3230,,7.0000,2.8571428571429,20
SHOT Rumpleminz,3242,,7.0000,4,28
Mimosa,3206,,7.0000,4,28
BTL Miller Lite,3123,,7.0000,2.7857142857143,19.5
Skyy Raspberry,3302,,7.0000,6,42
BTL Bud Light,3114,,6.0000,4.5,27
White Russian,3215,,6.0000,5,30
Camel Lights,3247,,6.0000,10,60
Absolut Citron,3287,,5.0000,8,40
BTL MGD,3121,,5.0000,3.25,16.25
RAIL Brandy,3342,,5.0000,4.6,23
RAIL Rum,3343,,5.0000,4.3,21.5
DBL RAIL Rum,3457,,5.0000,5.2,26
PIT Angry Orchard,3361,,5.0000,15,75
PIT Abita TurboDog,3363,,4.0000,15,60
VBALL SPOT COW,3415,,4.0000,4,16
Jack Daniels Honey,3316,,4.0000,4,16
Makers Mark,3322,,4.0000,6,24
CAN Press GF/CAR,3133,,4.0000,5,20
BTL Eastside Dark,3118,,4.0000,2.5,10
Mango Mimosa,3205,,4.0000,6,24
Trinidad Tea,3213,,3.0000,8,24
Sangria,3210,,3.0000,6,18
Tanqueray,3219,,3.0000,8,24
Camel Menthol,3248,,3.0000,10,30
DBL of the WEEK,3251,,3.0000,6,18
Pearl Pomegranate,3294,,3.0000,4,12
BTL LH Milk Stout,3119,,3.0000,6,18
BTL Budweiser,3115,,3.0000,4.5,13.5
BTL ODouls,3125,,3.0000,3.25,9.75
BTL Pabst,3126,,3.0000,3.25,9.75
CAN Schlitz 16oz,3134,,3.0000,4,12
CAN Crispin 16oz,3128,,3.0000,6,18
Skyy Pear,3301,,3.0000,6,18
Cab/Merlot,3329,,3.0000,5,15
VBALL HAZY RABBIT,3418,,3.0000,4,12
Hendricks Gin,3427,,3.0000,8.5,25.5
DBL Hennessey,3449,,3.0000,9,27
SHOT Hennessey,3450,,2.0000,5,10
VBALL Beer of the Week,3413,,2.0000,0,0
PIT Abita Wrought Iron,3364,,2.0000,15,30
Skyy Watermelon,3373,,2.0000,6,12
PIT K4 Fantasy Factory,3360,,2.0000,15,30
Pinot Grigio,3333,,2.0000,5,10
Bulleit Rye,3309,,2.0000,4,8
Crown Royal,3312,,2.0000,8,16
BTL Spaten Lager,3127,,2.0000,5,10
Korbel,3191,,2.0000,4.5,9
Rehorst Vodka,3295,,2.0000,7.125,14.25
Ketel One,3292,,2.0000,6.5,13
Cuervo Gold,3282,,2.0000,4,8
Coconut Jack,3259,,2.0000,6,12
SHOT of the WEEK,3254,,2.0000,3,6
Bag Snacks,3246,,2.0000,0.75,1.5
SHOT Jagermeister,3234,,2.0000,4,8
Baileys Irish,3221,,2.0000,4,8
Bombay Sapphire,3216,,2.0000,8,16
Texas Cosmo,3211,,2.0000,8,16
Dewers White,3263,,1.0000,8,8
Johnnie Walker Black,3265,,1.0000,9,9
SHOT Jager,3273,,1.0000,4,4
Absolut,3286,,1.0000,8,8
Pearl Cucumber,3293,,1.0000,7,7
Black Manhattan,3194,,1.0000,8,8
Blind Russian,3196,,1.0000,6,6
Brew Crew Margarita,3200,,1.0000,7,7
Long Island,3204,,1.0000,8,8
Bulleit Bourbon,3308,,1.0000,8,8
Smirnoff Red,3303,,1.0000,4,4
Skyy Peach,3300,,1.0000,6,6
Skyy Mango,3298,,1.0000,6,6
Wild Turkey,3328,,1.0000,4,4
VBALL MOON MAN,3414,,1.0000,4,4
VBALL LKFT IPA,3417,,1.0000,4,4
VBALL Angry Orchard,3422,,1.0000,4,4
