Michael 30,The Tracks Tavern and Grill,09/23/2021 15:08:57
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
RAIL Vodka,3339,,109.0000,5,545
PINT LKFT IPA,3136,,87.0000,3.5172413793103,306
PINT Stein,3141,,69.0000,3.695652173913,255
SHOT Seagrams VO,3325,,59.0000,3.2796610169492,193.5
PINT Spotted Cow,3140,,52.0000,3.6346153846154,189
BTL Miller High Life,3122,,51.0000,3.25,165.75
PINT Miller High Life,3137,,47.0000,3,141
Skyy Raspberry BOMB,3369,,40.0000,4,160
SHOT Tullamore Dew,3327,,38.0000,4.0526315789474,154
RAIL Whiskey,3340,,38.0000,4.7894736842105,182
PINT Moon Man,3349,,36.0000,3.4166666666667,123
PINT Schlitz,3139,,32.0000,3.046875,97.5
PIT Schlitz,3144,,27.0000,10,270
PINT Miller Lite,3138,,25.0000,3,75
BTL Miller Lite,3391,,22.0000,3.25,71.5
Hennessey,3190,,21.0000,5.7619047619048,121
SHOT Jameson,3317,,21.0000,5.1904761904762,109
CAN PBR 16oz,3129,,20.0000,4,80
Skyy Orange BOMB,3372,,19.0000,4,76
PIT Miller Lite,3143,,17.0000,10,170
Bloody Mary,3199,,17.0000,7.1176470588235,121
Skyy Raspberry,3302,,17.0000,3,51
HH PINT Abita Wrought Iron,3354,,16.0000,3.46875,55.5
PINT Beer of the Week,3356,,16.0000,3,48
Skyy Cherry,3297,,14.0000,6,84
SHOT Rumpleminz,3242,,12.0000,4.4166666666667,53
PINT LKFT Hazy Rabbit,3348,,12.0000,4,48
RAIL Gin,3341,,11.0000,5.2272727272727,57.5
Captain Morgan,3258,,11.0000,7.1818181818182,79
BTL Corona,3117,,11.0000,4.5,49.5
CAN Coors Light,3116,,10.0000,4,40
BTL MGD,3121,,10.0000,3.25,32.5
PINT Abita TurboDog,3353,,10.0000,3.45,34.5
Skyy Apricot BOMB,3368,,10.0000,4,40
Jack Daniels,3315,,9.0000,7.5555555555556,68
Titos,3307,,9.0000,6.7777777777778,61
Jim Beam,3318,,9.0000,6.7777777777778,61
SHOT Dr McGullicuddys,3226,,8.0000,3,24
RAIL Rum,3343,,8.0000,4.8125,38.5
RAIL Tequila,3344,,7.0000,4.7857142857143,33.5
Seagrams 7,3324,,7.0000,4.8571428571429,34
HH PINT Angry Orchard,3352,,7.0000,3.8571428571429,27
SHOT Goldschlager,3230,,7.0000,4,28
Cazadores Blanco,3280,,7.0000,4.7142857142857,33
Skyy Orange,3299,,7.0000,4.2857142857143,30
BTL Pabst,3126,,7.0000,3.25,22.75
CAN Press GF/CAR,3133,,6.0000,5,30
BTL Blue Moon,3113,,6.0000,4.5,27
Skyy,3296,,6.0000,6.6666666666667,40
Skyy Pear,3301,,6.0000,5.6666666666667,34
Skyy Cherry BOMB,3370,,6.0000,4,24
Skyy Ginger BOMB,3371,,6.0000,4,24
PINT Guinness,3350,,5.0000,4.1,20.5
Makers Mark,3322,,5.0000,7.2,36
SHOT of the WEEK,3254,,5.0000,3,15
Tanqueray,3219,,5.0000,8,40
CAN Press Blk/Hyb,3130,,5.0000,5,25
PIT Stein,3146,,5.0000,14,70
PIT Miller High Life,3142,,4.0000,10,40
SHOT Jagermeister,3234,,4.0000,4,16
Ciroc,3289,,4.0000,7,28
PINT K4 Fantasy Factory,3351,,4.0000,3.75,15
PINT O&apos;&apos;so Hop Debacle,3355,,4.0000,4.125,16.5
Skyy Peach BOMB,3367,,4.0000,4,16
Pinot Grigio,3333,,3.0000,5,15
White Zin,3335,,3.0000,5,15
Deep Eddy Grapefruit,3291,,3.0000,8,24
Bacardi Limon,3257,,3.0000,5.3333333333333,16
Coconut Jack,3259,,3.0000,6,18
Amaretto,3220,,3.0000,5.3333333333333,16
Black Manhattan,3194,,3.0000,8,24
White Russian,3215,,3.0000,5,15
PIT Spotted Cow,3145,,3.0000,14,42
Long Island,3204,,3.0000,8,24
BTL LH Milk Stout,3119,,3.0000,4.5,13.5
BTL Bud Light,3114,,2.0000,4,8
BTL Miller Lite,3123,,2.0000,3.25,6.5
BTL ODouls,3125,,2.0000,3.25,6.5
CAN Press Pom/Gin,3131,,2.0000,5,10
CAN N.G. Staghorn,3135,,2.0000,5,10
Brew Crew Margarita,3200,,2.0000,7,14
Korbel,3191,,2.0000,4.5,9
Negroni,3208,,2.0000,8,16
Trinidad Tea,3213,,2.0000,8,16
Tully Peach Tea,3214,,2.0000,8,16
Rehorst Gin,3218,,2.0000,6,12
Cazadores Reposado,3281,,2.0000,4,8
Ketel One,3292,,2.0000,8,16
Skyy Peach,3300,,2.0000,3,6
Absolut,3286,,2.0000,8,16
Bulleit Bourbon,3308,,2.0000,4,8
Chardonnay,3331,,2.0000,5,10
RAIL Brandy,3342,,2.0000,3.5,7
PIT Moon Man,3357,,2.0000,14,28
BTL Bud Light,3388,,2.0000,4,8
South. Comfort,3326,,1.0000,8,8
Crown Royal,3312,,1.0000,4,4
Fireball,3313,,1.0000,4,4
Absolut Citron,3287,,1.0000,8,8
Pearl Pomegranate,3294,,1.0000,4,4
Cuervo Gold,3282,,1.0000,4,4
Meyers Dark,3261,,1.0000,6,6
Campari,3223,,1.0000,4,4
Bombay Sapphire,3216,,1.0000,8,8
Adm Byrds Bulldog,3192,,1.0000,7,7
Mango Mimosa,3205,,1.0000,6,6
Mimosa,3206,,1.0000,4,4
CAN Crispin 16oz,3128,,1.0000,5,5
CAN Press Lime,3132,,1.0000,5,5
BTL Budweiser,3115,,1.0000,4,4
