Michael 30,The Tracks Tavern and Grill,09/23/2021 11:45:11
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
Skyy Raspberry BOMB,3369,,141.0000,3.0921985815603,436
DBL RAIL Vodka,3455,,115.0000,4.9652173913043,571
Skyy Orange BOMB,3372,,103.0000,2.7572815533981,284
BTL Miller High Life,3122,,80.0000,3.25,260
SHOT Tullamore Dew,3327,,78.0000,2.4102564102564,188
PINT Spotted Cow,3140,,66.0000,3.5909090909091,237
PINT Miller Lite,3138,,53.0000,3,159
PINT Stein,3141,,46.0000,3.75,172.5
SHOT Seagrams VO,3325,,46.0000,2.4782608695652,114
SHOT Fernet,3507,,39.0000,2.7692307692308,108
Skyy Ginger BOMB,3371,,38.0000,3.1578947368421,120
PINT LKFT IPA,3136,,37.0000,2.9594594594595,109.5
DBL RAIL Whiskey,3459,,35.0000,5.2571428571429,184
PINT Moon Man,3349,,34.0000,3.9264705882353,133.5
PIT Miller Lite,3143,,32.0000,11,352
PINT Miller High Life,3137,,28.0000,2.8928571428571,81
SHOT Cazadores Blanco,3481,,26.0000,3.8461538461538,100
BTL Miller Lite,3391,,24.0000,2.9791666666667,71.5
Skyy Cherry BOMB,3370,,23.0000,3.8260869565217,88
CAN PBR 16oz,3129,,23.0000,4,92
PINT Schlitz,3139,,23.0000,2.7391304347826,63
Bloody Mary,3199,,23.0000,7.0434782608696,162
DBL RAIL Tequila,3461,,22.0000,5.1590909090909,113.5
SHOT Cazadores Reposado,3479,,21.0000,3.4285714285714,72
PIT Miller High Life,3142,,21.0000,11,231
PIT Schlitz,3144,,19.0000,11,209
PINT LKFT Hazy Rabbit,3348,,18.0000,3.6666666666667,66
HH PINT Abita Wrought Iron,3354,,18.0000,3.9166666666667,70.5
PINT Guinness,3350,,16.0000,3.875,62
PINT Beer of the Week,3356,,15.0000,3,45
DBL Captain Morgan,3496,,15.0000,8,120
DBL RAIL Gin,3453,,15.0000,4.9,73.5
DBL Titos,3654,,14.0000,8.1428571428571,114
CAN Press Blk/Hyb,3130,,14.0000,5,70
BTL Blue Moon,3113,,13.0000,4.5,58.5
DBL of the WEEK,3251,,12.0000,5,60
PINT K4 Fantasy Factory,3351,,11.0000,4.0909090909091,45
SHOT Jim Beam,3531,,11.0000,3.2727272727273,36
SHOT Hennessey,3450,,11.0000,5,55
DBL RAIL Brandy,3448,,10.0000,5.2,52
DBL RAIL Rum,3457,,10.0000,4.75,47.5
SHOT Jose Cuervo,3475,,10.0000,3,30
SHOT Fireball,3584,,10.0000,3.2,32
HH PINT Angry Orchard,3352,,10.0000,3.45,34.5
Black Manhattan,3194,,10.0000,8,80
SHOT Goldschlager,3230,,9.0000,3.1111111111111,28
SHOT Jameson,3317,,8.0000,4,32
CAN Coors Light,3116,,8.0000,4,32
SHOT Bulleit Bourbon,3588,,8.0000,3,24
SHOT Makers Mark,3535,,8.0000,4,32
DBL Skyy Ginger,3672,,8.0000,7,56
DBL Jack Daniels,3526,,7.0000,8.2857142857143,58
BTL Pabst,3126,,7.0000,3.25,22.75
PINT Abita TurboDog,3353,,7.0000,3.8571428571429,27
RAIL Brandy,3342,,6.0000,4.3333333333333,26
CAN Press Pom/Gin,3131,,6.0000,5,30
CAN Press Lime,3132,,6.0000,5,30
PIT Stein,3146,,6.0000,15,90
