Michael 30,The Tracks Tavern and Grill,09/23/2021 11:57:06
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
SHOT Tullamore Dew,3327,,31.0000,2.4516129032258,76
Absolut,3286,,24.0000,8.3333333333333,200
PINT Moon Man,3349,,18.0000,1.6666666666667,30
SHOT Cazadores Blanco,3481,,17.0000,2.1176470588235,36
DBL RAIL Vodka,3455,,16.0000,4.40625,70.5
PINT Stein,3141,,15.0000,3.7,55.5
PINT Spotted Cow,3140,,13.0000,4.1538461538462,54
Skyy Ginger BOMB,3371,,11.0000,1.8181818181818,20
Skyy Orange BOMB,3372,,10.0000,1.2,12
Skyy Cherry BOMB,3370,,9.0000,1.3333333333333,12
PINT LKFT Hazy Rabbit,3348,,8.0000,3.5625,28.5
SHOT Jose Cuervo,3475,,8.0000,2.625,21
SHOT Fernet,3507,,7.0000,2.8571428571429,20
SHOT Bulleit Bourbon,3588,,7.0000,4,28
SHOT Jack Daniels,3527,,6.0000,3.3333333333333,20
PINT Beer of the Week,3356,,6.0000,2,12
Pinot Grigio,3333,,6.0000,4.1666666666667,25
PINT Schlitz,3139,,6.0000,3,18
SHOT Jameson,3317,,5.0000,2.4,12
BTL MGD,3121,,5.0000,3.25,16.25
SHOT Jack Ds Honey,3533,,5.0000,4,20
SHOT Cazadores Reposado,3479,,5.0000,3.2,16
SHOT Ketel One,3659,,5.0000,4,20
SHOT Skyy Apricot,3667,,4.0000,0.75,3
DBL Ketel One,3658,,4.0000,8,32
DBL Bacardi,3492,,4.0000,6,24
Skyy Apricot BOMB,3368,,4.0000,4,16
PINT Abita TurboDog,3353,,4.0000,3.75,15
Skyy Watermelon BOMB,3374,,4.0000,1,4
BTL Miller Lite,3391,,4.0000,3.25,13
CAN PBR 16oz,3129,,4.0000,2,8
CAN Press Blk/Hyb,3130,,4.0000,3.75,15
PIT Miller Lite,3143,,4.0000,11,44
Long Island,3204,,3.0000,8,24
PINT LKFT IPA,3136,,3.0000,4,12
BTL Miller High Life,3122,,3.0000,3.25,9.75
Skyy Cherry,3297,,3.0000,4,12
Bulleit Rye,3309,,3.0000,5,15
RAIL Whiskey,3340,,3.0000,3.8333333333333,11.5
SHOT RAIL GIN,3454,,3.0000,3,9
DBL RAIL Rum,3457,,3.0000,5.5,16.5
DBL Captain Morgan,3496,,3.0000,8,24
DBL RAIL Tequila,3461,,3.0000,0,0
DBL Hendricks Gin,3485,,3.0000,9,27
DBL Skyy Ginger,3672,,3.0000,7,21
DBL Skyy Apricot,3666,,2.0000,3.5,7
SHOT J. Walker Red,3608,,2.0000,5,10
House Red,3699,,2.0000,4,8
DBL Cazadores Reposado,3478,,2.0000,7,14
SHOT Captain Morgan,3497,,2.0000,4,8
DBL Coconut Jack,3498,,2.0000,6,12
DBL RAIL Whiskey,3459,,2.0000,5.5,11
PINT K4 Fantasy Factory,3351,,2.0000,3.75,7.5
HH PINT Angry Orchard,3352,,2.0000,3.75,7.5
PIT LKFT Hazy Rabbit,3359,,2.0000,15,30
RAIL Tequila,3344,,2.0000,3.5,7
CAN Press GF/CAR,3133,,2.0000,5,10
Seagrams 7,3324,,2.0000,4,8
BTL Modelo Especial,3124,,2.0000,4.5,9
PINT Miller High Life,3137,,2.0000,3,6
BTL Bud Light,3114,,2.0000,4.5,9
BTL Corona,3117,,1.0000,4.5,4.5
BTL LH Milk Stout,3119,,1.0000,6,6
Bombay Sapphire,3216,,1.0000,0,0
SHOT Jagermeister,3234,,1.0000,4,4
Bag Snacks,3246,,1.0000,0.75,0.75
DBL of the WEEK,3251,,1.0000,6,6
BTL ODouls,3125,,1.0000,3.25,3.25
BTL Spaten Lager,3127,,1.0000,5,5
CAN Press Pom/Gin,3131,,1.0000,5,5
CAN Press Lime,3132,,1.0000,5,5
Chardonnay,3331,,1.0000,5,5
PINT Guinness,3350,,1.0000,3,3
RAIL Gin,3341,,1.0000,3.5,3.5
RAIL Rum,3343,,1.0000,3.5,3.5
RAIL Vodka,3339,,1.0000,3.5,3.5
SHOT Patron XO,3477,,1.0000,0,0
DBL Cazadores Blanco,3480,,1.0000,0,0
DBL Baileys Irish,3540,,1.0000,8,8
DBL Bulleit Bourbon,3587,,1.0000,8,8
DBL Crown Royal,3528,,1.0000,8,8
 SHOT Crown Royal,3529,,1.0000,4,4
DBL Jim Beam,3530,,1.0000,7,7
BTL Hop Refresher,3703,,1.0000,4.5,4.5
DBL Wild Turkey 101,3615,,1.0000,8,8
DBl Smirnoff,3646,,1.0000,6,6
SHOT Smirnoff,3647,,1.0000,3,3
DBL Titos,3654,,1.0000,8,8
SHOT Titos,3655,,1.0000,4,4
SHOT Skyy Ginger,3673,,1.0000,3,3
