Michael 30,The Tracks Tavern and Grill,09/23/2021 12:15:41
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
DBL RAIL Vodka,3455,,95.0000,5.2789473684211,501.5
Skyy Cherry BOMB,3370,,76.0000,3.3684210526316,256
SHOT Tullamore Dew,3327,,73.0000,3.2876712328767,240
CAN PBR 16oz,3129,,55.0000,3.7818181818182,208
PINT Spotted Cow,3140,,50.0000,3.99,199.5
Skyy Orange BOMB,3372,,50.0000,3.76,188
BTL Miller High Life,3122,,49.0000,2.719387755102,133.25
SHOT Cazadores Blanco,3481,,47.0000,3.6595744680851,172
PINT Stein,3141,,46.0000,3.8152173913043,175.5
PIT Miller Lite,3143,,42.0000,11,462
PINT LKFT IPA,3136,,38.0000,3.7894736842105,144
SHOT Cazadores Reposado,3479,,38.0000,3.7894736842105,144
PINT Miller High Life,3137,,37.0000,2.9189189189189,108
Skyy Peach BOMB,3367,,36.0000,3.7777777777778,136
CAN Press Blk/Hyb,3130,,34.0000,4.8529411764706,165
DBL RAIL Whiskey,3459,,30.0000,4.5666666666667,137
CAN Press GF/CAR,3133,,28.0000,5,140
SHOT Jameson,3317,,28.0000,3.8571428571429,108
CAN Press Pom/Gin,3131,,27.0000,4.8148148148148,130
PINT LKFT Hazy Rabbit,3348,,26.0000,4.1538461538462,108
PINT Moon Man,3349,,26.0000,3.1153846153846,81
VBALL LITE,3410,,26.0000,0,0
DBL Titos,3654,,26.0000,8,208
DBL RAIL Tequila,3461,,25.0000,5.28,132
PIT Spotted Cow,3145,,24.0000,15,360
PINT Schlitz,3139,,23.0000,3,69
CAN Coors Light,3116,,20.0000,3.6,72
RAIL Vodka,3339,,19.0000,3.3157894736842,63
HH PINT LKFT Oktoberfest,3697,,19.0000,4.1052631578947,78
SHOT Hennessey,3450,,18.0000,5,90
CAN Press Lime,3132,,16.0000,4.6875,75
PIT Miller High Life,3142,,14.0000,11,154
BTL Miller Lite,3391,,14.0000,2.7857142857143,39
PIT LKFT Hazy Rabbit,3359,,14.0000,15,210
DBL RAIL Rum,3457,,14.0000,4.3214285714286,60.5
SHOT Fernet,3507,,14.0000,3.7142857142857,52
DBL Makers Mark,3534,,13.0000,8.1538461538462,106
HH PINT Angry Orchard,3352,,13.0000,3.2307692307692,42
SHOT Seagrams VO,3325,,13.0000,1.3846153846154,18
PIT Stein,3146,,13.0000,13.846153846154,180
PIT Schlitz,3144,,12.0000,11,132
DBL RAIL Gin,3453,,12.0000,4.5416666666667,54.5
DBL Skyy Raspb,3668,,12.0000,7.1666666666667,86
PIT Moon Man,3357,,11.0000,15,165
PINT Guinness,3350,,10.0000,4,40
Skyy Raspberry BOMB,3369,,10.0000,4,40
DBL Hennessey,3449,,10.0000,12.2,122
SHOT RAIL Tequila,3462,,10.0000,3,30
DBL Captain Morgan,3496,,10.0000,8,80
PIT LKFT Oktoberfest,3691,,9.0000,15,135
CAN Schlitz 16oz,3134,,9.0000,4,36
BTL Pabst,3126,,8.0000,3.25,26
BTL Blue Moon,3113,,8.0000,4.5,36
Long Island,3204,,8.0000,8,64
DBL Cazadores Blanco,3480,,8.0000,6.125,49
DBL Coconut Jack,3498,,7.0000,6,42
DBL Jameson,3538,,7.0000,8,56
DBL D.E. Grapefruit,3713,,7.0000,4,28
BTL Corona,3117,,7.0000,4.5,31.5
VBALL HI-LIFE,3411,,7.0000,0,0
VBALL SCHLITZ,3412,,7.0000,0,0
Absolut,3286,,7.0000,8,56
VBALL SPOT COW,3415,,6.0000,4,24
BTL Bud Light,3114,,6.0000,4.5,27
DBL Absolut Citron,3656,,6.0000,8,48
DBL Bacardi,3492,,5.0000,4.8,24
DBL Jack Daniels,3526,,5.0000,8,40
DBL Crown Royal,3528,,5.0000,8,40
VBALL Angry Orchard,3422,,5.0000,4,20
VBALL STEIN,3416,,4.0000,3,12
VBALL MOON MAN,3414,,4.0000,4,16
RAIL Rum,3343,,4.0000,1.75,7
PIT LKFT IPA,3358,,4.0000,15,60
CAN N.G. Staghorn,3135,,4.0000,1.25,5
SHOT Goldschlager,3230,,4.0000,4,16
SHOT Rumpleminz,3242,,4.0000,4,16
SHOT Car Bomb,3269,,4.0000,6,24
 SHOT Crown Royal,3529,,4.0000,4,16
SHOT Titos,3655,,4.0000,4,16
