Michael 30,The Tracks Tavern and Grill,09/23/2021 12:01:49
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
SHOT Seagrams VO,3325,,52.0000,1.2692307692308,66
Skyy Cherry BOMB,3370,,48.0000,3.6666666666667,176
PINT Spotted Cow,3140,,39.0000,4,156
DBL RAIL Vodka,3455,,30.0000,4.9166666666667,147.5
BTL Miller High Life,3122,,26.0000,3.125,81.25
SHOT Cazadores Blanco,3481,,22.0000,3.0909090909091,68
SHOT Tullamore Dew,3327,,21.0000,2.8571428571429,60
PINT Stein,3141,,19.0000,3.7894736842105,72
Skyy Raspberry BOMB,3369,,18.0000,2,36
PINT Schlitz,3139,,16.0000,2.25,36
PINT Moon Man,3349,,14.0000,1.6071428571429,22.5
Skyy Peach BOMB,3367,,12.0000,4,48
BTL Miller Lite,3391,,12.0000,2.7083333333333,32.5
Cocktail of the Week,3250,,12.0000,4,48
CAN PBR 16oz,3129,,12.0000,3.6666666666667,44
CAN Coors Light,3116,,12.0000,4,48
CAN Press Pom/Gin,3131,,11.0000,4.5454545454545,50
PINT LKFT Hazy Rabbit,3348,,11.0000,4.3636363636364,48
SHOT Jameson,3317,,9.0000,0.88888888888889,8
BTL MGD,3121,,9.0000,3.25,29.25
CAN Press Blk/Hyb,3130,,8.0000,5,40
PINT LKFT IPA,3136,,8.0000,4.3125,34.5
DBL Titos,3654,,8.0000,8.25,66
PINT Miller High Life,3137,,7.0000,3,21
DBL RAIL Whiskey,3459,,7.0000,5.5714285714286,39
SHOT Cazadores Reposado,3479,,7.0000,2.2857142857143,16
DBL RAIL Tequila,3461,,7.0000,4.2142857142857,29.5
SHOT RAIL Tequila,3462,,6.0000,0.5,3
DBL Captain Morgan,3496,,6.0000,8,48
DBL RAIL Gin,3453,,6.0000,4.25,25.5
Mind Eraser,3267,,6.0000,6,36
SHOT Skyy Raspb,3669,,6.0000,0,0
PIT Schlitz,3144,,5.0000,6.6,33
Bloody Mary,3199,,4.0000,7,28
RAIL Vodka,3339,,4.0000,3.5,14
Seagrams 7,3324,,4.0000,4,16
Skyy Orange BOMB,3372,,4.0000,4,16
 SHOT Crown Royal,3529,,4.0000,4,16
DBL Jameson,3538,,4.0000,8,32
DBL Bacardi,3492,,4.0000,6,24
DBL Bulleit Bourbon,3587,,4.0000,8,32
SHOT Skyy Peach,3665,,4.0000,0.75,3
SHOT Fireball,3584,,3.0000,2.6666666666667,8
SHOT Fernet,3507,,3.0000,1.3333333333333,4
SHOT RAIL GIN,3454,,3.0000,3,9
SHOT RAIL Vodka,3456,,3.0000,3,9
DBL RAIL Rum,3457,,3.0000,5.5,16.5
Mimosa,3206,,3.0000,4,12
SHOT Jagermeister,3234,,3.0000,1.3333333333333,4
CAN Press GF/CAR,3133,,3.0000,5,15
CAN Schlitz 16oz,3134,,3.0000,4,12
BTL Corona,3117,,3.0000,4.5,13.5
BTL LH Milk Stout,3119,,3.0000,6,18
BTL Bud Light,3114,,2.0000,4.5,9
BTL Budweiser,3115,,2.0000,4.5,9
BTL Spaten Lager,3127,,2.0000,5,10
DBL of the WEEK,3251,,2.0000,5,10
RAIL Whiskey,3340,,2.0000,4,8
Skyy Raspberry,3302,,2.0000,4,8
DBL RAIL Brandy,3448,,2.0000,6.5,13
PINT Guinness,3350,,2.0000,3,6
DBL Makers Mark,3534,,2.0000,8,16
DBL Hendricks Gin,3485,,2.0000,9,18
House White,3698,,2.0000,0,0
SHOT Bulleit Rye,3590,,2.0000,4,8
SHOT Absolut Citron,3657,,2.0000,4,8
SHOT Absolut,3661,,1.0000,4,4
DBL Skyy Orange,3676,,1.0000,7,7
DBL South. Comfort,3596,,1.0000,8,8
SHOT Bulleit Bourbon,3588,,1.0000,4,4
BTL Hop Refresher,3703,,1.0000,4.5,4.5
DBL Kraken,3500,,1.0000,8,8
DBL Jose Cuervo,3474,,1.0000,6,6
DBL Jack Daniels,3526,,1.0000,8,8
DBL Fireball,3583,,1.0000,8,8
PINT Abita TurboDog,3353,,1.0000,3,3
SHOT Hennessey,3450,,1.0000,5,5
SHOT RAIL Whiskey,3460,,1.0000,3,3
Absolut,3286,,1.0000,8,8
Bacardi,3255,,1.0000,4,4
Captain Morgan,3258,,1.0000,5,5
Long Island,3204,,1.0000,8,8
BTL ODouls,3125,,1.0000,3.25,3.25
PIT Miller High Life,3142,,1.0000,11,11
