Michael 30,The Tracks Tavern and Grill,09/23/2021 11:37:44
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
DBL RAIL Vodka,3455,,190.0000,5.1473684210526,978
BTL Miller High Life,3122,,116.0000,3.25,377
Skyy Raspberry BOMB,3369,,93.0000,4,372
Skyy Orange BOMB,3372,,93.0000,4,372
PIT Miller Lite,3143,,70.0000,11,770
PINT Spotted Cow,3140,,68.0000,4.0808823529412,277.5
CAN Press Blk/Hyb,3130,,65.0000,5,325
PINT LKFT IPA,3136,,63.0000,3.5952380952381,226.5
PINT LKFT Hazy Rabbit,3348,,51.0000,3.9705882352941,202.5
PIT Spotted Cow,3145,,49.0000,15,735
PINT Stein,3141,,47.0000,3.8297872340426,180
CAN PBR 16oz,3129,,47.0000,4,188
PIT Schlitz,3144,,45.0000,11,495
SHOT Seagrams VO,3325,,45.0000,3,135
SHOT Tullamore Dew,3327,,45.0000,4,180
OUTSIDE,3253,,42.0000,0,0
PIT Miller High Life,3142,,39.0000,11,429
Skyy Cherry BOMB,3370,,39.0000,4,156
PINT Miller High Life,3137,,34.0000,3,102
PINT Schlitz,3139,,34.0000,3,102
SHOT Cazadores Reposado,3479,,33.0000,4,132
DBL RAIL Whiskey,3459,,32.0000,5.171875,165.5
HH PINT Angry Orchard,3352,,32.0000,4.078125,130.5
Bloody Mary,3199,,31.0000,7.0322580645161,218
Skyy Ginger BOMB,3371,,30.0000,4,120
Skyy Apricot BOMB,3368,,29.0000,4,116
DBL RAIL Rum,3457,,29.0000,4.6206896551724,134
PINT Miller Lite,3138,,28.0000,3,84
CAN Coors Light,3116,,27.0000,4,108
Skyy Peach BOMB,3367,,26.0000,4,104
PIT LKFT Hazy Rabbit,3359,,25.0000,15,375
SHOT Cazadores Blanco,3481,,24.0000,4,96
PIT Stein,3146,,23.0000,15,345
SHOT Jameson,3317,,21.0000,4,84
PINT Everyday Hero,3683,,21.0000,3.5714285714286,75
PINT Moon Man,3349,,20.0000,3.6,72
BTL Miller Lite,3391,,20.0000,3.25,65
VBALL LITE,3410,,19.0000,0,0
DBL RAIL Tequila,3461,,19.0000,5.3684210526316,102
BTL Corona,3117,,18.0000,4.5,81
CAN Press Pom/Gin,3131,,17.0000,5,85
DBL Titos,3654,,17.0000,8,136
CAN Press GF/CAR,3133,,15.0000,5,75
DBL RAIL Gin,3453,,15.0000,4.9,73.5
SHOT Fernet,3507,,15.0000,4,60
DBL Captain Morgan,3496,,14.0000,8,112
VBALL HI-LIFE,3411,,14.0000,0,0
PIT Moon Man,3357,,14.0000,15,210
VBALL SCHLITZ,3412,,12.0000,0,0
SHOT Hennessey,3450,,12.0000,5,60
DBL Jameson,3538,,11.0000,8,88
CAN Press Lime,3132,,11.0000,5,55
RAIL Gin,3341,,11.0000,3.5,38.5
DBL RAIL Brandy,3448,,10.0000,4.45,44.5
DBL Skyy Cherry,3670,,10.0000,7,70
BTL LKFT Junk,3685,,10.0000,4.5,45
PIT LKFT IPA,3358,,9.0000,15,135
DBL Bacardi,3492,,9.0000,6,54
PINT Abita TurboDog,3353,,9.0000,3.5,31.5
BTL Bud Light,3114,,9.0000,4.5,40.5
BTL Modelo Especial,3124,,9.0000,4.5,40.5
BTL MGD,3121,,8.0000,3.25,26
BTL Pabst,3126,,8.0000,3.25,26
SHOT Rumpleminz,3242,,8.0000,4,32
DBL Jack Daniels,3526,,8.0000,8,64
SHOT Jose Cuervo,3475,,8.0000,3,24
PIT Angry Orchard,3361,,7.0000,15,105
SHOT Fireball,3584,,7.0000,4,28
SHOT Goldschlager,3230,,7.0000,4,28
DBL Skyy Raspb,3668,,7.0000,7.5714285714286,53
Absolut,3286,,6.0000,9.1666666666667,55
SHOT Dr McGullicuddys,3226,,6.0000,3,18
RAIL Vodka,3339,,6.0000,3.5,21
CAN Crispin 16oz,3128,,6.0000,6,36
Moscow Mule,3207,,6.0000,7,42
SHOT Makers Mark,3535,,6.0000,4,24
DBL Amaretto,3560,,5.0000,7,35
DBL Crown Royal,3528,,5.0000,8,40
 SHOT Crown Royal,3529,,5.0000,4,20
DBL Jim Beam,3530,,5.0000,7.2,36
SHOT RAIL Tequila,3462,,5.0000,3,15
DBL Hennessey,3449,,5.0000,11,55
VBALL STEIN,3416,,5.0000,4,20
Long Island,3204,,5.0000,8,40
Black Manhattan,3194,,5.0000,8,40
BTL Blue Moon,3113,,5.0000,4.5,22.5
HH PINT Abita Wrought Iron,3354,,5.0000,4.5,22.5
Camel Lights,3247,,5.0000,10,50
PINT Guinness,3350,,4.0000,4,16
Mango Mimosa,3205,,4.0000,6,24
CAN N.G. Staghorn,3135,,4.0000,5,20
VBALL HAZY RABBIT,3418,,4.0000,4,16
VBALL SPOT COW,3415,,4.0000,4,16
SHOT Kraken,3501,,4.0000,4,16
SHOT Jack Ds Honey,3533,,4.0000,4,16
PIT Everyday Hero,3684,,4.0000,14,56
SHOT Wild Turkey 101,3616,,4.0000,4,16
DBL Skyy Orange,3676,,4.0000,7,28
DBL Absolut Citron,3656,,3.0000,8,24
DBL Ketel One,3658,,3.0000,8,24
SHOT Skyy,3663,,3.0000,3,9
DBL Pearl Cucumber,3640,,3.0000,7,21
DBL Gran Marnier,3546,,3.0000,10,30
DBL J. Walker Black,3605,,3.0000,11,33
DBL Bacardi Limon,3494,,3.0000,6,18
DBL Kraken,3500,,3.0000,8,24
SHOT Patron XO,3477,,3.0000,4,12
SHOT RAIL Whiskey,3460,,3.0000,3,9
VBALL MOON MAN,3414,,3.0000,4,12
Skyy Watermelon BOMB,3374,,3.0000,4,12
CAN Schlitz 16oz,3134,,3.0000,4,12
PINT K4 Fantasy Factory,3351,,3.0000,3.5,10.5
Trinidad Tea,3213,,3.0000,8,24
Titos,3307,,3.0000,5,15
Crown Royal,3312,,2.0000,5,10
SHOT Jager Bomb,3274,,2.0000,5,10
Bag Snacks,3246,,2.0000,0.75,1.5
PINT Beer of the Week,3356,,2.0000,3,6
Pinot Grigio,3333,,2.0000,5,10
