Michael 30,The Tracks Tavern and Grill,09/23/2021 12:04:36
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
DBL RAIL Vodka,3455,,38.0000,4.9342105263158,187.5
PINT Stein,3141,,35.0000,3.2142857142857,112.5
SHOT Tullamore Dew,3327,,34.0000,2.4705882352941,84
SHOT Cazadores Blanco,3481,,31.0000,3.4838709677419,108
CAN PBR 16oz,3129,,24.0000,3.8333333333333,92
PINT LKFT IPA,3136,,22.0000,3.8863636363636,85.5
PINT Miller High Life,3137,,20.0000,3,60
SHOT Bulleit Rye,3590,,20.0000,3.8,76
SHOT RAIL Tequila,3462,,19.0000,2.6842105263158,51
BTL Miller Lite,3391,,18.0000,1.4444444444444,26
SHOT Seagrams VO,3325,,18.0000,2.3333333333333,42
SHOT Skyy Orange,3677,,18.0000,1.8333333333333,33
PINT Spotted Cow,3140,,15.0000,4,60
Skyy Cherry BOMB,3370,,15.0000,3.4666666666667,52
Skyy Orange BOMB,3372,,15.0000,2.4,36
DBL RAIL Tequila,3461,,13.0000,5.3076923076923,69
HH PINT Angry Orchard,3352,,11.0000,3.8181818181818,42
CAN Coors Light,3116,,11.0000,3.6363636363636,40
SHOT Jameson,3317,,10.0000,2,20
PIT Spotted Cow,3145,,10.0000,15,150
Bloody Mary,3199,,10.0000,7,70
PINT LKFT Hazy Rabbit,3348,,10.0000,2.7,27
DBL Jack Daniels,3526,,10.0000,6.4,64
DBL Captain Morgan,3496,,10.0000,8,80
SHOT Jack Daniels,3527,,9.0000,3.1111111111111,28
SHOT Skyy Apricot,3667,,9.0000,0.66666666666667,6
DBL Titos,3654,,7.0000,8.2857142857143,58
SHOT Captain Morgan,3497,,7.0000,3.4285714285714,24
PINT Moon Man,3349,,7.0000,2.3571428571429,16.5
Moscow Mule,3207,,7.0000,7,49
BTL Corona,3117,,7.0000,4.5,31.5
PINT Beer of the Week,3356,,6.0000,3.5,21
Skyy Apricot BOMB,3368,,5.0000,2.4,12
SHOT Hennessey,3450,,5.0000,5,25
DBL Crown Royal,3528,,5.0000,10,50
 SHOT Crown Royal,3529,,5.0000,2.4,12
DBL RAIL Gin,3453,,5.0000,3,15
CAN Press Blk/Hyb,3130,,5.0000,4,20
CAN Schlitz 16oz,3134,,5.0000,4,20
SHOT Goldschlager,3230,,5.0000,4,20
DBL Seagrams 7,3594,,5.0000,7,35
DBL Jameson,3538,,4.0000,8,32
SHOT Titos,3655,,4.0000,4,16
DBL Skyy Raspb,3668,,4.0000,7,28
Long Island,3204,,4.0000,8,32
CAN Press Pom/Gin,3131,,4.0000,5,20
BTL Miller High Life,3122,,4.0000,3.25,13
SHOT RAIL Vodka,3456,,4.0000,2.25,9
DBL RAIL Whiskey,3459,,4.0000,4,16
DBL Jim Beam,3530,,4.0000,7,28
SHOT Fernet,3507,,4.0000,0,0
DBL Cazadores Blanco,3480,,4.0000,8.25,33
PIT LKFT IPA,3358,,4.0000,15,60
Skyy Raspberry BOMB,3369,,3.0000,4,12
PINT Guinness,3350,,3.0000,2.6666666666667,8
DBL RAIL Brandy,3448,,3.0000,5.5,16.5
Skyy Peach BOMB,3367,,3.0000,4,12
DBL Makers Mark,3534,,3.0000,8,24
BTL Budweiser,3115,,3.0000,4.5,13.5
BTL MGD,3121,,3.0000,3.25,9.75
CAN Press GF/CAR,3133,,3.0000,5,15
SHOT Rumpleminz,3242,,3.0000,4,12
BTL Hop Refresher,3703,,3.0000,4.5,13.5
DBL Amaretto,3560,,2.0000,7,14
DBL Seagrams VO,3578,,2.0000,7,14
DBL Bulleit Bourbon,3587,,2.0000,8,16
SHOT Dr McGullicuddys,3226,,2.0000,3,6
PIT Miller High Life,3142,,2.0000,11,22
BTL LH Milk Stout,3119,,2.0000,3,6
Skyy Ginger BOMB,3371,,2.0000,0,0
DBL Hennessey,3449,,2.0000,13,26
SHOT Korbel,3451,,2.0000,3,6
PIT LKFT Hazy Rabbit,3359,,2.0000,15,30
DBL Korbel,3452,,1.0000,6,6
SHOT Jim Beam,3531,,1.0000,0,0
SHOT Jose Cuervo,3475,,1.0000,3,3
DBL Cazadores Reposado,3478,,1.0000,7,7
DBL Bacardi,3492,,1.0000,6,6
DBL Bacardi Limon,3494,,1.0000,6,6
BTL LKFT Fixed Gear,3120,,1.0000,5,5
BTL Modelo Especial,3124,,1.0000,4.5,4.5
White Russian,3215,,1.0000,5,5
Mimosa,3206,,1.0000,4,4
Cocktail of the Week,3250,,1.0000,4,4
Bacardi,3255,,1.0000,4,4
SHOT Jager Bomb,3274,,1.0000,5,5
Titos,3307,,1.0000,5,5
Crown Royal,3312,,1.0000,7,7
RAIL Whiskey,3340,,1.0000,3.5,3.5
SHOT Bulleit Bourbon,3588,,1.0000,4,4
DBL Sloe Gin,3572,,1.0000,6,6
SHOT Gran Marnier,3547,,1.0000,5,5
HH PINT LKFT Oktoberfest,3697,,1.0000,4.5,4.5
House White,3698,,1.0000,4,4
DBL Skyy Peach,3664,,1.0000,0,0
