Michael 30,The Tracks Tavern and Grill,09/23/2021 11:39:39
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
DBL RAIL Vodka,3455,,198.0000,5.2436868686869,1038.25
Skyy Orange BOMB,3372,,151.0000,2.4635761589404,372
SHOT Tullamore Dew,3327,,118.0000,2.4067796610169,284
Skyy Ginger BOMB,3371,,113.0000,2.2300884955752,252
Skyy Raspberry BOMB,3369,,101.0000,2.2574257425743,228
PINT LKFT IPA,3136,,70.0000,3.7928571428571,265.5
SHOT Seagrams VO,3325,,64.0000,1.40625,90
PINT Stein,3141,,61.0000,4.0819672131148,249
PIT Miller Lite,3143,,58.0000,11,638
PINT LKFT Hazy Rabbit,3348,,58.0000,3.698275862069,214.5
PINT Spotted Cow,3140,,58.0000,3.9827586206897,231
BTL Miller Lite,3391,,58.0000,2.5775862068966,149.5
Skyy Peach BOMB,3367,,58.0000,2.4137931034483,140
CAN Press Blk/Hyb,3130,,56.0000,4.2857142857143,240
BTL Miller High Life,3122,,53.0000,2.3915094339623,126.75
PINT Moon Man,3349,,46.0000,3.9130434782609,180
PIT Miller High Life,3142,,42.0000,11,462
PINT Schlitz,3139,,41.0000,2.7073170731707,111
DBL RAIL Tequila,3461,,41.0000,5.3780487804878,220.5
Skyy Cherry BOMB,3370,,40.0000,3.2,128
PINT Miller Lite,3138,,40.0000,2.925,117
PINT Beer of the Week,3356,,38.0000,2.9210526315789,111
DBL RAIL Whiskey,3459,,38.0000,4.4605263157895,169.5
CAN PBR 16oz,3129,,37.0000,4,148
CAN Coors Light,3116,,37.0000,4,148
SHOT Jameson,3317,,37.0000,3.5675675675676,132
PINT Miller High Life,3137,,36.0000,2.8333333333333,102
SHOT Jagermeister,3234,,33.0000,4,132
PIT Schlitz,3144,,30.0000,10.266666666667,308
Bloody Mary,3199,,27.0000,7.1851851851852,194
DBL RAIL Rum,3457,,27.0000,4.7037037037037,127
DBL RAIL Gin,3453,,26.0000,5.1730769230769,134.5
HH PINT Angry Orchard,3352,,26.0000,3.6346153846154,94.5
DBL Titos,3654,,26.0000,7.3846153846154,192
PIT Spotted Cow,3145,,21.0000,15,315
SHOT Cazadores Blanco,3481,,20.0000,3.8,76
PINT Staghorn,3690,,20.0000,4.35,87
SHOT Skyy,3663,,19.0000,3,57
PINT K4 Fantasy Factory,3351,,19.0000,4.2631578947368,81
PIT Beer of the Week,3362,,18.0000,11,198
CAN Press Pom/Gin,3131,,17.0000,4.1176470588235,70
BTL Corona,3117,,16.0000,4.5,72
SHOT RAIL GIN,3454,,16.0000,2.8125,45
VBALL HI-LIFE,3411,,16.0000,0,0
DBL Skyy Ginger,3672,,16.0000,5.8125,93
VBALL LITE,3410,,15.0000,0,0
CAN Press Lime,3132,,15.0000,5,75
BTL Pabst,3126,,15.0000,3.25,48.75
HH PINT Abita Wrought Iron,3354,,15.0000,4.2,63
SHOT Rumpleminz,3242,,14.0000,3.1428571428571,44
SHOT Goldschlager,3230,,14.0000,3.4285714285714,48
BTL Modelo Especial,3124,,14.0000,4.5,63
DBL Seagrams 7,3594,,14.0000,7,98
DBL Captain Morgan,3496,,13.0000,8,104
DBL RAIL Brandy,3448,,13.0000,5,65
DBL Jameson,3538,,12.0000,7.3333333333333,88
BTL Bud Light,3114,,12.0000,4.5,54
Camel Lights,3247,,12.0000,10,120
SHOT Dr McGullicuddys,3226,,11.0000,1.6363636363636,18
PIT LKFT IPA,3358,,11.0000,15,165
PIT LKFT Hazy Rabbit,3359,,11.0000,15,165
Skyy Apricot BOMB,3368,,10.0000,4,40
DBL Hennessey,3449,,10.0000,11,110
DBL Makers Mark,3534,,10.0000,8,80
BTL Budweiser,3115,,10.0000,4.5,45
PIT Stein,3146,,10.0000,15,150
SHOT Ciroc,3637,,10.0000,2,20
BTL MGD,3121,,9.0000,3.25,29.25
DBL Jack Daniels,3526,,9.0000,8,72
DBL Jim Beam,3530,,9.0000,7,63
PIT Moon Man,3357,,9.0000,15,135
SHOT Jim Beam,3531,,8.0000,4,32
SHOT RAIL Tequila,3462,,8.0000,3,24
SHOT Fireball,3584,,8.0000,4,32
Mango Mimosa,3205,,8.0000,6,48
Mimosa,3206,,8.0000,4,32
OUTSIDE,3253,,8.0000,0,0
CAN Apple Press,3695,,8.0000,4.375,35
Moscow Mule,3207,,7.0000,7,49
Titos,3307,,7.0000,5,35
SHOT Jager Bomb,3274,,7.0000,5,35
CAN N.G. Staghorn,3135,,7.0000,5,35
BTL Spaten Lager,3127,,6.0000,5,30
SHOT Kraken,3501,,6.0000,2,12
SHOT Wild Turkey 101,3616,,6.0000,4,24
DBL Cazadores Blanco,3480,,6.0000,7,42
