Michael 30,The Tracks Tavern and Grill,09/23/2021 12:03:46
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
PINT Spotted Cow,3140,,64.0000,3.9375,252
DBL RAIL Vodka,3455,,37.0000,4.9459459459459,183
BTL Miller High Life,3122,,31.0000,3.25,100.75
PINT Stein,3141,,29.0000,3.5172413793103,102
SHOT Seagrams VO,3325,,26.0000,2.4230769230769,63
CAN PBR 16oz,3129,,24.0000,4,96
PINT Moon Man,3349,,21.0000,2.4285714285714,51
SHOT Jameson,3317,,20.0000,2.2,44
SHOT Skyy Peach,3665,,19.0000,1.1052631578947,21
Skyy Cherry BOMB,3370,,18.0000,2.6666666666667,48
SHOT Rumpleminz,3242,,17.0000,2.8235294117647,48
PINT LKFT IPA,3136,,14.0000,3.9642857142857,55.5
Skyy Peach BOMB,3367,,12.0000,3.3333333333333,40
Skyy Raspberry BOMB,3369,,12.0000,4,48
 SHOT Crown Royal,3529,,12.0000,3.3333333333333,40
SHOT Tullamore Dew,3327,,11.0000,3.6363636363636,40
DBL Jack Daniels,3526,,10.0000,6.4,64
DBL RAIL Tequila,3461,,10.0000,4.8,48
DBL RAIL Whiskey,3459,,10.0000,3.9,39
RAIL Vodka,3339,,9.0000,3.5,31.5
SHOT RAIL Vodka,3456,,8.0000,3,24
DBL Jim Beam,3530,,8.0000,7,56
SHOT Bulleit Rye,3590,,8.0000,4,32
DBL Skyy Raspb,3668,,7.0000,6,42
DBL Jose Cuervo,3474,,7.0000,6,42
SHOT Cazadores Reposado,3479,,7.0000,3.4285714285714,24
BTL Blue Moon,3113,,7.0000,4.5,31.5
BTL Budweiser,3115,,6.0000,4.5,27
SHOT Cazadores Blanco,3481,,6.0000,4,24
DBL RAIL Brandy,3448,,6.0000,5.3333333333333,32
Skyy Apricot BOMB,3368,,6.0000,1.3333333333333,8
PINT LKFT Hazy Rabbit,3348,,6.0000,3,18
DBL Tullamore Dew,3536,,6.0000,6.6666666666667,40
SHOT Campari,3549,,6.0000,3,18
DBL Seagrams 7,3594,,5.0000,7,35
Skyy Orange BOMB,3372,,5.0000,2.4,12
CAN Coors Light,3116,,5.0000,2.4,12
PINT Miller High Life,3137,,5.0000,3,15
Moscow Mule,3207,,5.0000,7,35
SHOT Dr McGullicuddys,3226,,4.0000,3,12
CAN Press Pom/Gin,3131,,4.0000,5,20
BTL Corona,3117,,4.0000,4.5,18
SHOT Captain Morgan,3497,,4.0000,4,16
SHOT Jim Beam,3531,,4.0000,1,4
House Red,3699,,4.0000,4,16
DBL Titos,3654,,3.0000,8,24
DBL Jameson,3538,,3.0000,8,24
DBL Gran Marnier,3546,,3.0000,10,30
SHOT Jack Daniels,3527,,3.0000,4,12
SHOT Fernet,3507,,3.0000,4,12
DBL Hendricks Gin,3485,,3.0000,9,27
BTL Miller Lite,3391,,3.0000,2.1666666666667,6.5
DBL RAIL Gin,3453,,3.0000,5,15
DBL RAIL Rum,3457,,3.0000,4,12
BTL Spaten Lager,3127,,3.0000,5,15
HH PINT Angry Orchard,3352,,3.0000,3,9
BTL MGD,3121,,3.0000,3.25,9.75
Bloody Mary,3199,,3.0000,7.6666666666667,23
Long Island,3204,,3.0000,8,24
PIT Miller Lite,3143,,2.0000,11,22
PIT Spotted Cow,3145,,2.0000,15,30
Cocktail of the Week,3250,,2.0000,4,8
DBL of the WEEK,3251,,2.0000,0,0
Captain Morgan,3258,,2.0000,5,10
RAIL Gin,3341,,2.0000,3.5,7
BTL ODouls,3125,,2.0000,3.25,6.5
BTL Eastside Dark,3118,,2.0000,5,10
BTL LKFT Fixed Gear,3120,,2.0000,5,10
SHOT RAIL GIN,3454,,2.0000,3,6
SHOT Jose Cuervo,3475,,2.0000,1.5,3
BTL Hop Refresher,3703,,2.0000,4.5,9
SHOT Skyy Cherry,3671,,2.0000,1.5,3
House White,3698,,2.0000,4,8
SHOT Skyy Raspb,3669,,1.0000,3,3
DBL Skyy Cherry,3670,,1.0000,7,7
SHOT Patron XO,3477,,1.0000,4,4
SHOT RAIL Tequila,3462,,1.0000,3,3
SHOT Meyers Dark,3505,,1.0000,3,3
SHOT Makers Mark,3535,,1.0000,4,4
SHOT RAIL Whiskey,3460,,1.0000,3,3
PINT Abita TurboDog,3353,,1.0000,4.5,4.5
PIT LKFT Hazy Rabbit,3359,,1.0000,15,15
BTL Bud Light,3114,,1.0000,4.5,4.5
BTL Modelo Especial,3124,,1.0000,4.5,4.5
PIT Miller High Life,3142,,1.0000,11,11
RAIL Rum,3343,,1.0000,3.5,3.5
Seagrams 7,3324,,1.0000,4,4
Absolut,3286,,1.0000,8,8
Fireball,3313,,1.0000,5,5
Jack Daniels,3315,,1.0000,5,5
PIT Stein,3146,,1.0000,15,15
