Michael 30,The Tracks Tavern and Grill,09/23/2021 12:15:07
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
DBL RAIL Vodka,3455,,124.0000,5.3125,658.75
SHOT Tullamore Dew,3327,,106.0000,3.5471698113208,376
PINT Stein,3141,,86.0000,3.8197674418605,328.5
Skyy Cherry BOMB,3370,,61.0000,3.2786885245902,200
Skyy Peach BOMB,3367,,59.0000,3.4576271186441,204
SHOT Seagrams VO,3325,,58.0000,2.0172413793103,117
SHOT Cazadores Blanco,3481,,58.0000,3.7241379310345,216
PINT Spotted Cow,3140,,56.0000,4.0446428571429,226.5
BTL Miller High Life,3122,,51.0000,2.3578431372549,120.25
PINT Schlitz,3139,,43.0000,2.6511627906977,114
PIT Miller Lite,3143,,43.0000,10.744186046512,462
PINT LKFT Hazy Rabbit,3348,,42.0000,3.8571428571429,162
CAN PBR 16oz,3129,,37.0000,3.1351351351351,116
PINT LKFT IPA,3136,,36.0000,3.5833333333333,129
SHOT Fernet,3507,,35.0000,2.5142857142857,88
CAN Press Blk/Hyb,3130,,34.0000,5,170
PIT Spotted Cow,3145,,32.0000,15,480
PINT Moon Man,3349,,31.0000,2.9516129032258,91.5
PINT Miller High Life,3137,,30.0000,2.8,84
CAN Press GF/CAR,3133,,29.0000,4.8275862068966,140
RAIL Vodka,3339,,29.0000,3.5,101.5
Skyy Orange BOMB,3372,,29.0000,3.5862068965517,104
DBL RAIL Gin,3453,,26.0000,4.25,110.5
DBL RAIL Whiskey,3459,,26.0000,5.0961538461538,132.5
CAN Press Lime,3132,,25.0000,5,125
SHOT Jameson,3317,,24.0000,3.5,84
PIT LKFT Hazy Rabbit,3359,,24.0000,15,360
PIT Miller High Life,3142,,23.0000,11,253
DBL Titos,3654,,23.0000,8.0869565217391,186
HH PINT LKFT Oktoberfest,3697,,23.0000,4.1739130434783,96
DBL Captain Morgan,3496,,22.0000,8,176
CAN Coors Light,3116,,22.0000,3.6363636363636,80
HH PINT Angry Orchard,3352,,22.0000,4.0909090909091,90
DBL Jack Daniels,3526,,21.0000,8,168
VBALL LITE,3410,,20.0000,0,0
CAN Press Pom/Gin,3131,,19.0000,4.4736842105263,85
DBL RAIL Tequila,3461,,18.0000,4.5555555555556,82
DBL Seagrams 7,3594,,15.0000,7,105
BTL Miller Lite,3391,,15.0000,2.8166666666667,42.25
Skyy Raspberry BOMB,3369,,14.0000,3.1428571428571,44
PIT Schlitz,3144,,14.0000,5.5,77
DBL Makers Mark,3534,,14.0000,8.2142857142857,115
PIT Stein,3146,,13.0000,15,195
SHOT Jagermeister,3234,,12.0000,4.375,52.5
SHOT Rumpleminz,3242,,11.0000,3.6363636363636,40
DBL Bacardi,3492,,11.0000,6,66
SHOT Jager Bomb,3274,,10.0000,5,50
VBALL HI-LIFE,3411,,10.0000,0,0
VBALL SPOT COW,3415,,9.0000,4,36
PIT Moon Man,3357,,9.0000,15,135
BTL Corona,3117,,9.0000,4.5,40.5
SHOT Cazadores Reposado,3479,,9.0000,4,36
PIT LKFT Oktoberfest,3691,,9.0000,15,135
SHOT RAIL Tequila,3462,,8.0000,3,24
DBL RAIL Rum,3457,,8.0000,4.0625,32.5
PINT Guinness,3350,,8.0000,3.5,28
SHOT RAIL Whiskey,3460,,7.0000,3,21
DBL Bulleit Bourbon,3587,,7.0000,8,56
DBL Jim Beam,3530,,6.0000,7,42
SHOT Jack Daniels,3527,,6.0000,3.3333333333333,20
DBL Skyy Orange,3676,,6.0000,7,42
3rd Space Frog Weiss,3717,,6.0000,5,30
PIT LKFT IPA,3358,,6.0000,15,90
PINT Miller Lite,3138,,6.0000,3,18
SHOT Liquid Cocaine,3277,,6.0000,4,24
Long Island,3204,,6.0000,8,48
CAN Schlitz 16oz,3134,,5.0000,4,20
VBALL HAZY RABBIT,3418,,5.0000,4,20
DBL D.E. Grapefruit,3713,,5.0000,1.4,7
DBL Wild Turkey 101,3615,,4.0000,8,32
DBL Absolut Citron,3656,,4.0000,8,32
DBL Skyy Raspb,3668,,4.0000,7,28
DBL Bombay Sapphire,3486,,4.0000,8,32
DBL Cazadores Reposado,3478,,4.0000,7,28
DBL Cazadores Blanco,3480,,4.0000,7,28
SHOT Campari,3549,,4.0000,3,12
DBL RAIL Brandy,3448,,4.0000,6.125,24.5
DBL Hennessey,3449,,4.0000,11.5,46
RAIL Brandy,3342,,4.0000,3.5,14
BTL Modelo Especial,3124,,4.0000,4.5,18
BTL Blue Moon,3113,,4.0000,4.5,18
BTL Spaten Lager,3127,,4.0000,5.125,20.5
BTL MGD,3121,,3.0000,2.1666666666667,6.5
OUTSIDE,3253,,3.0000,0,0
Jack Daniels,3315,,3.0000,5,15
PIT Angry Orchard,3361,,3.0000,15,45
SHOT Hennessey,3450,,3.0000,5,15
SHOT RAIL GIN,3454,,3.0000,3,9
SHOT RAIL Vodka,3456,,3.0000,3,9
VBALL STEIN,3416,,3.0000,4,12
VBALL SCHLITZ,3412,,3.0000,0,0
SHOT Amaretto,3561,,3.0000,3,9
DBL Bulleit Rye,3589,,3.0000,9,27
DBL Jameson,3538,,3.0000,8,24
DBL Bacardi Limon,3494,,3.0000,6,18
SHOT Skyy Peach,3665,,3.0000,2,6
SHOT Titos,3655,,3.0000,4,12
DBL Skyy Cherry,3670,,2.0000,7,14
House White,3698,,2.0000,4,8
DBL Tanqueray,3488,,2.0000,4,8
Jameson,3539,,2.0000,5,10
DBL Tullamore Dew,3536,,2.0000,8,16
Cab/Merlot,3329,,2.0000,2.5,5
Chardonnay,3331,,2.0000,5,10
Pinot Grigio,3333,,2.0000,5,10
SHOT Lemon Drop,3276,,2.0000,4,8
SHOT Car Bomb,3269,,2.0000,6,12
Moscow Mule,3207,,2.0000,7,14
BTL Pabst,3126,,2.0000,3.25,6.5
Titos,3307,,1.0000,5,5
RAIL Rum,3343,,1.0000,3.5,3.5
Seagrams 7,3324,,1.0000,4,4
VBALL MOON MAN,3414,,1.0000,4,4
VBALL LKFT IPA,3417,,1.0000,4,4
VBALL Summer Shandy,3421,,1.0000,4,4
VBALL Angry Orchard,3422,,1.0000,4,4
SHOT Jim Beam,3531,,1.0000,4,4
SHOT Jack Ds Honey,3533,,1.0000,4,4
DBL Coconut Jack,3498,,1.0000,6,6
Dewars,3593,,1.0000,0,0
DBL Glenlivet 12yr,3603,,1.0000,11,11
DBL Fireball,3583,,1.0000,8,8
DBL Amaretto,3560,,1.0000,7,7
SHOT Bacardi Limon,3495,,1.0000,3,3
 SHOT Crown Royal,3529,,1.0000,4,4
House Red,3699,,1.0000,4,4
SHOT Skyy Cherry,3671,,1.0000,3,3
SHOT Wild Turkey 101,3616,,1.0000,0,0
