Michael 30,The Tracks Tavern and Grill,09/23/2021 12:04:03
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
SHOT Tullamore Dew,3327,,61.0000,3.1475409836066,192
PINT Moon Man,3349,,28.0000,2.5714285714286,72
PINT Spotted Cow,3140,,28.0000,4.125,115.5
DBL RAIL Vodka,3455,,28.0000,5.2321428571429,146.5
PINT Miller High Life,3137,,27.0000,3,81
SHOT Seagrams VO,3325,,23.0000,2.3478260869565,54
SHOT Cazadores Reposado,3479,,20.0000,3.8,76
Skyy Peach BOMB,3367,,18.0000,4,72
CAN PBR 16oz,3129,,17.0000,4,68
SHOT Fernet,3507,,16.0000,2,32
PINT LKFT Hazy Rabbit,3348,,15.0000,3.5,52.5
BTL Miller High Life,3122,,15.0000,3.25,48.75
Skyy Cherry BOMB,3370,,14.0000,2.2857142857143,32
Skyy Orange BOMB,3372,,14.0000,3.1428571428571,44
PINT LKFT IPA,3136,,12.0000,3.25,39
Skyy Apricot BOMB,3368,,12.0000,2.3333333333333,28
SHOT Skyy Orange,3677,,12.0000,1.25,15
RAIL Vodka,3339,,11.0000,2.8636363636364,31.5
PINT Stein,3141,,11.0000,3.1363636363636,34.5
CAN Coors Light,3116,,11.0000,3.2727272727273,36
DBL RAIL Tequila,3461,,11.0000,5.3636363636364,59
DBL Jack Daniels,3526,,11.0000,8,88
DBL Titos,3654,,10.0000,7.6,76
BTL Miller Lite,3391,,9.0000,2.1666666666667,19.5
DBL Jim Beam,3530,,7.0000,7,49
SHOT Dr McGullicuddys,3226,,7.0000,1.2857142857143,9
SHOT Rumpleminz,3242,,6.0000,0,0
SHOT Jack Daniels,3527,,6.0000,3.3333333333333,20
DBL RAIL Whiskey,3459,,6.0000,4.5833333333333,27.5
DBL Skyy Raspb,3668,,6.0000,5.8333333333333,35
DBL Skyy Cherry,3670,,5.0000,7,35
SHOT Cazadores Blanco,3481,,5.0000,3.2,16
DBL RAIL Gin,3453,,5.0000,4.1,20.5
DBL Makers Mark,3534,,5.0000,8,40
SHOT Makers Mark,3535,,5.0000,3.2,16
BTL Bud Light,3114,,5.0000,4.5,22.5
BTL Budweiser,3115,,4.0000,4.5,18
Skyy Raspberry BOMB,3369,,4.0000,3,12
DBL RAIL Brandy,3448,,4.0000,6.5,26
SHOT Captain Morgan,3497,,4.0000,4,16
BTL Hop Refresher,3703,,3.0000,4.5,13.5
DBL RAIL Rum,3457,,3.0000,3.1666666666667,9.5
DBL Tullamore Dew,3536,,3.0000,8,24
DBL Crown Royal,3528,,3.0000,8,24
DBL Skyy Peach,3664,,3.0000,4.6666666666667,14
Moscow Mule,3207,,3.0000,7,21
BTL Corona,3117,,3.0000,4.5,13.5
BTL MGD,3121,,3.0000,3.25,9.75
CAN Press Pom/Gin,3131,,3.0000,5,15
Long Island,3204,,3.0000,8,24
PIT Miller High Life,3142,,2.0000,11,22
BTL ODouls,3125,,2.0000,3.25,6.5
BTL Spaten Lager,3127,,2.0000,5,10
Mind Eraser,3267,,2.0000,6,12
SHOT Jameson,3317,,2.0000,2,4
RAIL Whiskey,3340,,2.0000,1.75,3.5
DBL Seagrams 7,3594,,2.0000,7,14
SHOT Wild Turkey 101,3616,,2.0000,4,8
DBL Bulleit Rye,3589,,2.0000,8,16
 SHOT Crown Royal,3529,,2.0000,4,8
SHOT Gran Marnier,3547,,2.0000,5,10
SHOT RAIL Tequila,3462,,2.0000,3,6
DBL Jose Cuervo,3474,,2.0000,6,12
DBL Bacardi Limon,3494,,2.0000,6,12
DBL Skyy Orange,3676,,2.0000,7,14
House Red,3699,,2.0000,4,8
DBL Cazadores Blanco,3480,,1.0000,7,7
SHOT RAIL Vodka,3456,,1.0000,3,3
DBL Seagrams VO,3578,,1.0000,8,8
SHOT Bulleit Bourbon,3588,,1.0000,0,0
SHOT Bulleit Rye,3590,,1.0000,4,4
SHOT Jim Beam,3531,,1.0000,4,4
Pinot Grigio,3333,,1.0000,5,5
White Zin,3335,,1.0000,5,5
Cazadores Reposado,3281,,1.0000,5,5
SHOT Goldschlager,3230,,1.0000,4,4
CAN Press Blk/Hyb,3130,,1.0000,5,5
PIT Schlitz,3144,,1.0000,11,11
Mimosa,3206,,1.0000,4,4
