Michael 30,The Tracks Tavern and Grill,09/23/2021 11:53:53
Item,Item Code,Item Description,Quantity,Unit Price,Total Sales Amount
SHOT Jameson,3317,,24.0000,3.6666666666667,88
SHOT Tullamore Dew,3327,,18.0000,2.6666666666667,48
PINT Miller High Life,3137,,9.0000,2,18
2 for $5 Bottles,3708,,9.0000,5,45
SHOT Absolut Citron,3657,,8.0000,4,32
SHOT South. Comfort,3597,,7.0000,4,28
SHOT Cazadores Blanco,3481,,6.0000,4,24
DBL Bombay Sapphire,3486,,6.0000,8,48
CAN PBR 16oz,3129,,6.0000,4,24
BTL Miller Lite,3391,,5.0000,1.3,6.5
DBL Skyy Ginger,3672,,5.0000,7,35
DBL RAIL Gin,3453,,4.0000,4.375,17.5
DBL Skyy Apricot,3666,,4.0000,7,28
BTL Corona,3117,,4.0000,4.5,18
PINT Stein,3141,,4.0000,1.5,6
BTL Modelo Especial,3124,,3.0000,4.5,13.5
Camel Lights,3247,,3.0000,10,30
DBL Jack Daniels,3526,,3.0000,8,24
DBL Kraken,3500,,2.0000,8,16
PINT LKFT Hazy Rabbit,3348,,2.0000,2,4
DBL Titos,3654,,2.0000,8,16
DBL Makers Mark,3534,,2.0000,4.5,9
DBL Tullamore Dew,3536,,2.0000,8,16
Absolut,3286,,2.0000,8,16
RAIL Vodka,3339,,2.0000,3.5,7
BTL MGD,3121,,2.0000,3.25,6.5
BTL Miller High Life,3122,,1.0000,0,0
PIT Miller High Life,3142,,1.0000,7,7
PIT Miller Lite,3143,,1.0000,7,7
PIT Spotted Cow,3145,,1.0000,7,7
RAIL Brandy,3342,,1.0000,4.5,4.5
Makers Mark,3322,,1.0000,5,5
PINT Spotted Cow,3140,,1.0000,2,2
Jameson,3539,,1.0000,5,5
DBL Seagrams 7,3594,,1.0000,7,7
SHOT Titos,3655,,1.0000,4,4
PINT Guinness,3350,,1.0000,2,2
PINT Beer of the Week,3356,,1.0000,2,2
DBL RAIL Whiskey,3459,,1.0000,4,4
SHOT Jim Beam,3531,,1.0000,4,4
